matrix,n,sym,density_pct,cu,Auto,Auto_choice,opSparse,HSMU,dense,cnnz
1138_bus,1138,Y,0.2005,0.311,0.148,merge3,0.765,0.303,,11142
494_bus,494,Y,0.4426,0.307,0.145,merge3,0.705,0.324,,4062
662_bus,662,Y,0.3578,0.292,0.154,merge3,0.583,0.309,,6480
685_bus,685,Y,0.4192,0.329,0.134,merge3,0.584,0.308,,9337
arc130,130,N,7.5858,0.299,0.147,merge3,0.806,0.398,,15631
ash292,292,Y,1.466,0.281,0.133,merge3,0.469,0.299,,6042
ash85,85,Y,4.2076,0.268,0.126,merge3,0.679,0.288,,1317
bcspwr01,39,Y,5.5884,0.261,0.115,merge3,0.64,0.275,,275
bcspwr02,49,Y,4.4981,0.324,0.136,merge3,0.564,0.305,,403
bcspwr03,118,Y,2.133,0.308,0.131,merge3,0.586,0.225,,1270
bcspwr04,274,Y,1.2561,0.34,0.123,merge3,1.091,0.31,,4982
bcspwr05,443,Y,0.5264,0.292,0.122,merge3,0.489,0.309,,4249
bcspwr06,1454,Y,0.1597,0.295,0.163,merge3,0.764,0.311,,14110
bcspwr07,1612,Y,0.1431,0.286,0.163,merge3,0.598,0.348,,15684
bcspwr08,1624,Y,0.1455,0.278,0.167,merge3,0.627,0.243,,16916
bcspwr09,1723,Y,0.1387,0.323,0.145,merge3,0.588,0.303,,18485
bcspwr10,5300,Y,0.0483,0.396,0.184,merge3,0.62,0.912,,60498
bcsstk01,48,Y,9.7222,0.298,0.116,merge3,0.748,0.309,,1292
bcsstk02,66,Y,50.7576,0.352,0.154,merge3,0.649,0.665,,4356
bcsstk03,112,Y,2.9974,0.276,0.124,merge3,0.578,0.29,,1072
bcsstk04,132,Y,10.8471,0.373,0.151,merge3,0.601,0.382,,11968
bcsstk05,153,Y,5.5022,0.301,0.139,merge3,0.58,0.331,,7245
bcsstk06,420,Y,2.3469,0.391,0.163,merge3,0.596,0.35,,23660
bcsstk07,420,Y,2.3469,0.379,0.155,merge3,0.6,0.347,,23660
bcsstk08,1074,Y,0.6083,0.601,0.55,hash,0.892,0.814,,305612
bcsstk09,1083,Y,0.8321,0.476,0.175,merge3,0.719,0.33,,71289
bcsstk10,1086,Y,0.9817,0.447,0.193,merge3,0.725,0.392,,54504
bcsstk11,1473,Y,0.823,1.111,0.202,merge3,0.628,0.547,,94187
bcsstk12,1473,Y,0.823,0.553,0.217,merge3,0.615,0.531,,94187
bcsstk13,2003,Y,1.0704,0.852,0.833,hash,0.84,0.948,,396773
bcsstk14,1806,Y,1.0004,0.8,0.339,merge3,0.816,0.529,,195654
bcsstk15,3948,Y,0.3906,1.064,0.29,hash,0.843,0.69,,527688
bcsstk16,4884,Y,0.6189,1.821,0.496,hash,1.003,1.45,,1038782
bcsstk17,10974,Y,0.1825,2.284,0.661,hash,1.378,1.758,,1406936
bcsstk18,11948,Y,0.0564,0.816,0.38,hash,1.215,1.211,,713208
bcsstk19,817,Y,0.5745,0.411,0.132,merge3,0.594,0.309,,18305
bcsstk20,485,Y,0.7695,0.31,0.155,merge3,0.59,0.318,,5545
bcsstk21,3600,Y,0.1165,0.428,0.197,merge3,0.713,0.431,,93072
bcsstk22,138,Y,2.1897,0.316,0.123,merge3,0.985,0.293,,1552
bcsstk23,3134,Y,0.2459,0.606,0.266,merge3,0.722,0.543,,220632
bcsstk24,3562,Y,0.6442,1.116,0.355,hash,0.706,0.952,,446474
bcsstk25,15439,Y,0.0561,1.12,0.433,hash,0.992,1.241,,1168919
bcsstk26,1922,Y,0.4366,0.491,0.195,merge3,0.609,0.509,,92530
bcsstk27,1224,Y,1.914,0.75,0.316,merge3,0.731,0.675,,138106
bcsstk28,4410,Y,0.5744,1.303,0.392,hash,1.116,1.376,,596072
bcsstk29,13992,Y,0.1618,2.801,0.792,hash,1.309,1.709,,1965686
bcsstk30,28924,Y,0.1239,8.487,3.103,hash,3.166,4.67,,8946070
bcsstk31,35588,Y,0.048,4.898,1.354,hash,1.717,2.719,,4713580
bcsstk32,44609,Y,0.0517,8.059,2.15,hash,2.251,3.684,,6819653
bcsstk33,8738,Y,0.3933,2.89,1.028,hash,1.829,1.94,,2569536
bcsstm01,48,Y,2.0833,0.307,0.111,merge3,0.682,0.279,,48
bcsstm02,66,Y,1.5152,0.287,0.118,merge3,1.745,0.279,,66
bcsstm03,112,Y,0.8929,0.284,0.113,merge3,0.965,0.276,,112
bcsstm04,132,Y,0.7576,0.278,0.11,merge3,1.383,0.271,,132
bcsstm05,153,Y,0.6536,0.274,0.121,merge3,0.554,0.289,,153
bcsstm06,420,Y,0.2381,0.287,0.13,merge3,0.443,0.284,,420
bcsstm07,420,Y,2.1746,0.374,0.151,merge3,1.482,0.356,,22972
bcsstm08,1074,Y,0.0931,0.342,0.122,merge3,0.453,0.241,,1074
bcsstm09,1083,Y,0.0923,0.306,0.132,merge3,1.331,0.301,,1083
bcsstm10,1086,Y,0.9826,0.416,0.194,merge3,1.449,0.353,,54504
bcsstm11,1473,Y,0.0679,0.297,0.127,merge3,0.924,0.289,,1473
bcsstm12,1473,Y,0.487,0.411,0.179,merge3,1.644,0.338,,53615
bcsstm13,2003,Y,0.2984,0.548,0.313,merge3,0.779,0.591,,90811
bcsstm19,817,Y,0.1224,0.296,0.119,merge3,1.168,0.301,,817
bcsstm20,485,Y,0.2062,0.328,0.116,merge3,1.543,0.289,,485
bcsstm21,3600,Y,0.0278,0.305,0.145,merge3,0.588,0.498,,3600
bcsstm22,138,Y,0.7246,0.286,0.122,merge3,1.096,0.281,,138
bcsstm23,3134,Y,0.0319,0.293,0.141,merge3,1.282,0.482,,3134
bcsstm24,3562,Y,0.0281,0.345,0.144,merge3,0.879,0.499,,3562
bcsstm25,15439,Y,0.0065,0.337,0.268,merge3,1.072,0.502,,15439
bcsstm26,1922,Y,0.052,0.319,0.123,merge3,0.578,0.295,,1922
bcsstm27,1224,Y,1.914,0.703,0.314,merge3,1.583,0.667,,138106
blckhole,2132,Y,0.187,0.373,0.202,merge3,0.527,0.516,,41546
bp_0,822,N,0.4848,0.293,0.321,hash,1.171,0.443,,9384
bp_1000,822,N,0.6898,0.321,0.406,hash,1.438,0.489,,21373
bp_1200,822,N,0.6994,0.311,0.394,hash,1.04,0.479,,22313
bp_1400,822,N,0.7089,0.32,0.396,hash,1.137,0.478,,23154
bp_1600,822,N,0.7165,0.344,0.405,hash,1.286,0.56,,23625
bp_200,822,N,0.5627,0.338,0.327,hash,0.538,0.458,,13197
bp_400,822,N,0.5961,0.325,0.357,hash,1.141,0.473,,15238
bp_600,822,N,0.6174,0.317,0.404,hash,1.309,0.488,,16464
bp_800,822,N,0.671,0.318,0.41,hash,0.65,0.462,,20224
can_1054,1054,Y,0.5964,0.387,0.157,merge3,0.52,0.339,,60248
can_1072,1072,Y,0.5881,0.387,0.198,merge3,1.107,0.342,,62316
can_144,144,Y,3.4722,0.309,0.132,merge3,1.3,0.327,,3456
can_161,161,Y,2.9667,0.295,0.158,merge3,0.676,0.325,,3761
can_187,187,Y,2.3993,0.284,0.132,merge3,0.813,0.304,,3719
can_229,229,Y,1.9126,0.292,0.145,merge3,1.585,0.338,,5017
can_24,24,Y,15.9722,0.272,0.112,merge3,0.64,0.281,,336
can_256,256,Y,2.42,0.325,0.167,merge3,0.664,0.343,,18568
can_268,268,Y,2.3321,0.312,0.153,merge3,1.109,0.279,,15590
can_292,292,Y,1.6607,0.312,0.132,merge3,1.373,0.331,,11670
can_445,445,Y,1.0741,0.304,0.143,merge3,1.225,0.322,,11193
can_61,61,Y,8.3042,0.294,0.137,merge3,1.175,0.318,,1793
can_62,62,Y,3.642,0.272,0.122,merge3,0.878,0.283,,482
can_634,634,Y,0.978,0.387,0.149,merge3,0.593,0.343,,25446
can_715,715,Y,0.7218,0.395,0.282,merge3,0.938,0.371,,39785
can_73,73,Y,4.2222,0.284,0.119,merge3,0.719,0.298,,1377
can_838,838,Y,0.7724,0.396,0.156,merge3,1.468,0.337,,51156
can_96,96,Y,4.6875,0.286,0.107,merge3,1.278,0.227,,1920
