matrix,dense_ms
1138_bus,3287.250
494_bus,314.141
662_bus,550.129
685_bus,755.367
arc130,6.503
ash292,53.954
ash85,2.700
bcspwr01,0.674
bcspwr02,1.005
bcspwr03,6.554
bcspwr04,48.996
bcspwr05,241.131
bcspwr06,6176.880
bcspwr07,8371.630
bcspwr08,8903.890
bcspwr09,10201.700
bcspwr10,timeout
bcsstk01,0.977
bcsstk02,1.664
bcsstk03,6.410
bcsstk04,6.836
bcsstk05,9.354
bcsstk06,134.168
bcsstk07,134.147
bcsstk08,2620.170
bcsstk09,2640.300
bcsstk10,2646.230
bcsstk11,6333.790
bcsstk12,6333.550
bcsstk13,15990.800
bcsstk14,11483.700
bcsstk15,175791.000
bcsstk16,timeout
bcsstk17,timeout
bcsstk18,timeout
bcsstk19,1220.420
bcsstk20,337.202
bcsstk21,timeout
bcsstk22,7.500
bcsstk23,timeout
bcsstk24,timeout
bcsstk25,timeout
bcsstk26,13780.100
bcsstk27,3851.990
bcsstk28,timeout
bcsstk29,timeout
bcsstk30,timeout
