matrix,n,maxrow,skew,fp,t_hash,t_merge3,hash_overflow
band_n128000_x128,128000,134,1.3,1297803077,21.869,75.764,0
band_n128000_x16,128000,26,2.1,20265727,1.489,3.384,0
band_n1500000_x16,1500000,26,2.1,237816340,15.222,38.948,0
band_n2000_x1024,2000,1020,1.7,719940001,24.971,53.988,0
band_n2000_x128,2000,126,1.3,19029274,0.505,1.694,0
band_n2000_x16,2000,22,1.8,309905,0.221,0.189,0
band_n32000_x1024,32000,1023,1.3,20123095044,841.313,23.916,0
band_n32000_x128,32000,132,1.3,323234533,5.653,19.492,0
band_n32000_x16,32000,26,2.1,5072511,0.533,0.909,0
band_n512000_x16,512000,26,2.1,81154737,5.298,13.372,0
band_n8000_x1024,8000,1023,1.4,4551832402,183.27,,0
band_n8000_x128,,,,,,,
band_n8000_x16,,,,,,,
er_n128000_x16,,,,,,,
er_n128000_x4,,,,,,,
er_n128000_x48,,,,,,,
er_n1500000_x16,,,,,,,
er_n1500000_x4,,,,,,,
er_n2000_x16,,,,,,,
er_n2000_x4,,,,,,,
er_n2000_x48,,,,,,,
er_n32000_x16,,,,,,,
er_n32000_x4,,,,,,,
er_n32000_x48,,,,,,,
er_n512000_x16,,,,,,,
er_n512000_x4,,,,,,,
er_n512000_x48,,,,,,,
er_n8000_x16,,,,,,,
er_n8000_x4,,,,,,,
er_n8000_x48,,,,,,,
skew_n128000_x24,,,,,,,
skew_n2000_x24,,,,,,,
skew_n32000_x24,,,,,,,
skew_n512000_x24,,,,,,,
skew_n8000_x24,,,,,,,
