matrix,n,maxrow,skew,fp,t_hash,t_merge3,hash_overflow
G10,800,70,1.5,1838595,0.346,0.462,0
G11,800,4,1.0,12800,0.135,0.099,0
G13,800,4,1.0,12800,0.134,0.098,0
G18,800,132,11.2,110168,0.301,0.373,0
G19,800,153,13.1,108625,0.344,0.381,0
G20,800,123,10.5,109138,0.295,0.386,0
G21,800,143,12.3,108904,0.314,0.374,0
G23,2000,36,1.8,799200,0.314,0.349,0
G25,2000,39,2.0,799200,0.314,0.372,0
G27,2000,37,1.9,799200,0.314,0.353,0
G29,2000,38,1.9,799200,0.306,0.361,0
G3,800,69,1.4,1838595,0.322,0.472,0
G31,2000,40,2.0,799200,0.351,0.384,0
G33,2000,4,1.0,32000,0.173,0.113,0
G39,2000,210,17.8,277443,0.555,0.856,0
G40,2000,326,27.7,276878,0.59,1.298,0
G41,2000,279,23.7,277772,0.565,1.162,0
G42,2000,249,21.1,277490,0.573,1.171,0
G43,1000,36,1.8,399200,0.208,0.238,0
G45,1000,35,1.8,399200,0.217,0.241,0
G48,3000,4,1.0,48000,0.162,0.126,0
G50,3000,4,1.0,48000,0.182,0.126,0
G51,1000,156,13.2,139665,0.326,0.444,0
G52,1000,171,14.5,139996,0.332,0.44,0
G55,5000,15,3.0,124960,0.246,0.18,0
G58,5000,561,47.4,699508,1.071,6.55,0
G6,800,67,1.4,1838595,0.325,0.471,0
G61,7000,14,2.9,168031,0.262,0.21,0
G62,7000,4,1.0,112000,0.196,0.172,0
G63,7000,589,49.7,982199,1.31,9.275,0
G65,8000,4,1.0,128000,0.221,0.197,0
G8,800,69,1.4,1838595,0.336,0.481,0
af23560,23560,21,1.0,9953475,0.49,1.037,0
b1_ss,7,3,1.4,32,0.113,0.085,0
b2_ss,1089,11,2.8,16415,0.196,0.107,0
b_dyn,1089,11,2.8,16696,0.19,0.105,0
bayer02,13935,22,4.8,290995,0.356,0.326,0
bayer05,3268,73,8.6,237100,0.325,0.266,0
bayer07,3268,73,8.6,237100,0.303,0.28,0
bayer10,13436,27,3.8,670657,0.383,0.374,0
bcircuit,68902,34,6.2,2047021,0.81,1.109,0
bcsstk34,588,47,1.3,780154,0.227,0.187,0
bcsstk38,8032,614,13.9,15731052,1.013,7.709,0
bcsstm35,30237,6,8.8,14060,0.379,0.383,0
bcsstm36,23052,103,7.4,4458971,0.53,0.687,0
bcsstm37,25503,5,8.2,9451,0.344,0.344,0
bcsstm38,8032,20,15.3,13687,0.226,0.173,0
bcsstm39,46772,1,1.0,46772,0.509,0.55,0
bfwa782,782,24,2.5,72200,0.175,0.122,0
bfwb62,62,13,2.4,1887,0.154,0.09,0
bfwb782,782,13,1.7,45760,0.166,0.112,0
bwm200,200,4,1.0,3168,0.119,0.086,0
can_73,73,9,1.7,1947,0.144,0.091,0
can_838,838,32,2.7,119571,0.154,0.124,0
cavity01,317,62,2.7,169353,0.214,0.155,0
cavity02,317,62,2.7,169353,0.217,0.152,0
cavity05,1182,62,2.2,907247,0.267,0.215,0
cavity08,1182,62,2.2,907247,0.282,0.23,0
cavity10,2597,62,2.1,2245637,0.399,0.323,0
cavity13,2597,62,2.1,2245637,0.406,0.35,0
cavity14,2597,62,2.1,2245637,0.393,0.345,0
cavity17,4562,62,2.0,4185806,0.321,0.481,0
cavity20,4562,62,2.0,4185806,0.312,0.462,0
cavity21,4562,62,2.0,4185806,0.332,0.484,0
cavity24,4562,62,2.0,4185806,0.31,0.471,0
cavity25,4562,62,2.0,4185806,0.317,0.494,0
cdde2,961,5,1.0,22801,0.15,0.106,0
cdde5,961,5,1.0,22801,0.149,0.101,0
circuit_1,2624,2571,188.3,489058,3.105,22.649,0
circuit_3,12127,2305,580.7,191075,2.906,34.483,0
ck104,104,10,1.0,9462,0.103,0.092,0
ck400,400,10,1.4,20449,0.152,0.098,0
ck656,656,10,1.7,22996,0.159,0.093,0
coater1,1348,55,3.8,280842,0.211,0.329,0
