matrix,n,maxrow,skew,flop,hash_ms,merge3_ms,winner
1138_bus,1138,18,5.053,14442,0.253,0.158,merge3
494_bus,494,10,2.965,5619,0.205,0.117,merge3
662_bus,662,10,2.676,9246,0.216,0.149,merge3
685_bus,685,13,2.741,15410,0.223,0.133,merge3
arc130,130,124,12.574,12642,0.269,0.173,merge3
ash292,292,14,1.851,16696,0.199,0.133,merge3
ash85,85,10,1.625,3218,0.193,0.113,merge3
bcspwr01,39,6,1.786,440,0.182,0.126,merge3
bcspwr02,49,7,2.054,569,0.213,0.114,merge3
bcspwr03,118,10,2.479,1920,0.203,0.122,merge3
bcspwr04,274,16,2.72,9484,0.235,0.143,merge3
bcspwr05,443,10,2.73,5946,0.198,0.122,merge3
bcspwr06,1454,13,3.566,19319,0.229,0.153,merge3
bcspwr07,1612,13,3.598,21042,0.233,0.151,merge3
bcspwr08,1624,14,3.758,22538,0.243,0.164,merge3
bcspwr09,1723,15,3.969,24604,0.243,0.141,merge3
bcspwr10,5300,14,3.397,90014,0.311,0.209,merge3
bcsstk01,48,12,1.44,3333,0.212,0.117,merge3
bcsstk02,66,66,1.0,287496,0.26,0.138,merge3
bcsstk03,112,6,1.05,3657,0.18,0.118,merge3
bcsstk04,132,46,1.664,100817,0.21,0.155,merge3
bcsstk05,153,24,1.515,38372,0.189,0.126,merge3
bcsstk06,420,28,1.496,147094,0.22,0.165,merge3
bcsstk07,420,28,1.496,147094,0.238,0.158,merge3
bcsstk08,1074,339,28.093,156389,0.562,0.86,hash
bcsstk09,1083,23,1.351,313872,0.206,0.175,merge3
bcsstk10,1086,27,1.329,448513,0.23,0.196,merge3
bcsstk11,1473,33,1.42,795958,0.242,0.22,merge3
bcsstk12,1473,33,1.42,795958,0.224,0.196,merge3
bcsstk13,2003,95,2.268,3512909,0.832,0.611,merge3
bcsstk14,1806,48,1.366,2229463,8.494,0.32,merge3
bcsstk15,3948,44,1.474,3515859,0.331,0.454,hash
bcsstk16,4884,81,1.362,17264411,0.527,1.187,hash
bcsstk17,10974,150,3.84,16743286,0.608,1.207,hash
bcsstk18,11948,49,3.927,1860381,0.43,0.546,hash
bcsstk19,817,11,1.311,57483,0.206,0.14,merge3
bcsstk20,485,11,1.702,20264,0.21,0.162,merge3
bcsstk21,3600,9,1.218,196544,0.237,0.17,merge3
bcsstk22,138,8,1.586,3510,0.185,0.11,merge3
bcsstk23,3134,31,2.15,651261,0.293,0.249,merge3
bcsstk24,3562,57,1.27,7178891,0.361,0.469,hash
bcsstk25,15439,59,3.611,4121091,0.427,0.758,hash
bcsstk26,1922,33,2.091,478810,0.244,0.195,merge3
bcsstk27,1224,54,1.178,2573634,0.482,0.335,merge3
bcsstk28,4410,94,1.893,10877894,0.427,0.629,hash
bcsstk29,13992,71,1.604,27427486,0.775,1.431,hash
