class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,man_write,cu_compute_t,man_compute_t,merge_compute_t,merge2_compute_t,phases,cublas_ms,ocean_ms
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,0.0,,0.05899999999996908,0.22400000000004638,0.05299999999999727,0.1150000000000091,0.33600000000001273,0.659,,,,,1.154,1.953,0.606,,0.36000000000001364,0.8699999999998909,1.7539999999999054,0.4189999999999827,"{('cu', 'start'): 684.224, ('cu', 'h2dmalloc'): 684.289, ('cu', 'h2d'): 684.316, ('cu', 'workest'): 684.375, ('cu', 'compute'): 684.599, ('cu', 'copy'): 684.652, ('cu', 'pack'): 684.676, ('cu', 'd2h'): 684.791, ('gust', 'start'): 684.9, ('gust', 'h2d'): 684.988, ('gust', 'count'): 685.015, ('gust', 'scan'): 685.058, ('gust', 'expand'): 685.167, ('gust', 'sort'): 685.448, ('gust', 'reduce'): 685.617, ('gust', 'final'): 685.832, ('gust', 'pack'): 685.858, ('gust', 'd2h'): 685.87, ('merge', 'start'): 686.076, ('merge', 'h2d'): 686.157, ('merge', 'count'): 686.186, ('merge', 'scan'): 686.226, ('merge', 'expand'): 686.697, ('merge', 'merge'): 687.589, ('merge', 'final'): 687.716, ('merge', 'compact'): 687.885, ('merge', 'pack'): 687.911, ('merge', 'd2h'): 687.924, ('mrg2', 'start'): 688.036, ('mrg2', 'h2d'): 688.114, ('mrg2', 'count'): 688.149, ('mrg2', 'scan'): 688.191, ('mrg2', 'merge'): 688.373, ('mrg2', 'final'): 688.414, ('mrg2', 'compact'): 688.513, ('mrg2', 'pack'): 688.533, ('mrg2', 'd2h'): 688.546}",0.0391079811379313,0.7969088027486578
Dense,can_24,24,160,27.77777777777778,336,336,336,336,0.0,,0.05899999999996908,0.15400000000011005,0.05599999999992633,0.024999999999977263,0.26900000000000546,0.483,,,,,0.444,0.418,0.361,,0.2880000000000109,0.25900000000001455,0.22100000000000364,0.17899999999997362,"{('cu', 'start'): 680.625, ('cu', 'h2dmalloc'): 680.69, ('cu', 'h2d'): 680.703, ('cu', 'workest'): 680.762, ('cu', 'compute'): 680.916, ('cu', 'copy'): 680.972, ('cu', 'pack'): 680.991, ('cu', 'd2h'): 681.016, ('gust', 'start'): 681.12, ('gust', 'h2d'): 681.196, ('gust', 'count'): 681.219, ('gust', 'scan'): 681.258, ('gust', 'expand'): 681.284, ('gust', 'sort'): 681.331, ('gust', 'reduce'): 681.377, ('gust', 'final'): 681.434, ('gust', 'pack'): 681.455, ('gust', 'd2h'): 681.466, ('merge', 'start'): 681.573, ('merge', 'h2d'): 681.656, ('merge', 'count'): 681.677, ('merge', 'scan'): 681.715, ('merge', 'expand'): 681.743, ('merge', 'merge'): 681.792, ('merge', 'final'): 681.834, ('merge', 'compact'): 681.858, ('merge', 'pack'): 681.877, ('merge', 'd2h'): 681.888, ('mrg2', 'start'): 682.0, ('mrg2', 'h2d'): 682.072, ('mrg2', 'count'): 682.091, ('mrg2', 'scan'): 682.129, ('mrg2', 'merge'): 682.163, ('mrg2', 'final'): 682.199, ('mrg2', 'compact'): 682.231, ('mrg2', 'pack'): 682.251, ('mrg2', 'd2h'): 682.262}",0.0402280129492282,0.2041696011554449
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,0.0,,0.06199999999989814,0.25499999999999545,0.06400000000007822,0.1190000000000282,0.3809999999999718,0.704,,,,,0.862,1.316,0.52,,0.4009999999999536,0.6689999999999827,1.1240000000000236,0.30700000000001637,"{('cu', 'start'): 692.994, ('cu', 'h2dmalloc'): 693.061, ('cu', 'h2d'): 693.089, ('cu', 'workest'): 693.151, ('cu', 'compute'): 693.406, ('cu', 'copy'): 693.47, ('cu', 'pack'): 693.49, ('cu', 'd2h'): 693.609, ('gust', 'start'): 693.71, ('gust', 'h2d'): 693.789, ('gust', 'count'): 693.814, ('gust', 'scan'): 693.856, ('gust', 'expand'): 693.898, ('gust', 'sort'): 694.188, ('gust', 'reduce'): 694.299, ('gust', 'final'): 694.432, ('gust', 'pack'): 694.458, ('gust', 'd2h'): 694.476, ('merge', 'start'): 694.585, ('merge', 'h2d'): 694.661, ('merge', 'count'): 694.687, ('merge', 'scan'): 694.728, ('merge', 'expand'): 694.9, ('merge', 'merge'): 695.614, ('merge', 'final'): 695.661, ('merge', 'compact'): 695.761, ('merge', 'pack'): 695.785, ('merge', 'd2h'): 695.804, ('mrg2', 'start'): 695.92, ('mrg2', 'h2d'): 695.997, ('mrg2', 'count'): 696.022, ('mrg2', 'scan'): 696.064, ('mrg2', 'merge'): 696.222, ('mrg2', 'final'): 696.262, ('mrg2', 'compact'): 696.284, ('mrg2', 'pack'): 696.304, ('mrg2', 'd2h'): 696.322}",0.0416849507018923,0.522943999315612
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,0.0,,0.057999999999992724,0.1750000000000682,0.06100000000003547,0.029999999999972715,0.2940000000000964,0.55,,,,,0.556,0.497,0.421,,0.3180000000000973,0.34399999999993724,0.2820000000000391,0.21199999999998909,"{('cu', 'start'): 707.695, ('cu', 'h2dmalloc'): 707.759, ('cu', 'h2d'): 707.776, ('cu', 'workest'): 707.834, ('cu', 'compute'): 708.009, ('cu', 'copy'): 708.07, ('cu', 'pack'): 708.094, ('cu', 'd2h'): 708.124, ('gust', 'start'): 708.262, ('gust', 'h2d'): 708.35, ('gust', 'count'): 708.378, ('gust', 'scan'): 708.42, ('gust', 'expand'): 708.456, ('gust', 'sort'): 708.575, ('gust', 'reduce'): 708.62, ('gust', 'final'): 708.675, ('gust', 'pack'): 708.694, ('gust', 'd2h'): 708.705, ('merge', 'start'): 708.83, ('merge', 'h2d'): 708.914, ('merge', 'count'): 708.937, ('merge', 'scan'): 708.977, ('merge', 'expand'): 709.028, ('merge', 'merge'): 709.103, ('merge', 'final'): 709.149, ('merge', 'compact'): 709.177, ('merge', 'pack'): 709.196, ('merge', 'd2h'): 709.209, ('mrg2', 'start'): 709.34, ('mrg2', 'h2d'): 709.422, ('mrg2', 'count'): 709.445, ('mrg2', 'scan'): 709.483, ('mrg2', 'merge'): 709.539, ('mrg2', 'final'): 709.588, ('mrg2', 'compact'): 709.615, ('mrg2', 'pack'): 709.634, ('mrg2', 'd2h'): 709.647}",0.0492099206894636,0.2910847991472109
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,0.0,,0.06100000000003547,0.17899999999997362,0.057999999999992724,0.024999999999977263,0.2980000000000018,0.54,,,,,0.566,0.574,0.443,,0.3210000000000264,0.34699999999998,0.3690000000000282,0.23299999999994725,"{('cu', 'start'): 668.98, ('cu', 'h2dmalloc'): 669.052, ('cu', 'h2d'): 669.069, ('cu', 'workest'): 669.13, ('cu', 'compute'): 669.309, ('cu', 'copy'): 669.367, ('cu', 'pack'): 669.39, ('cu', 'd2h'): 669.415, ('gust', 'start'): 669.534, ('gust', 'h2d'): 669.621, ('gust', 'count'): 669.646, ('gust', 'scan'): 669.687, ('gust', 'expand'): 669.713, ('gust', 'sort'): 669.827, ('gust', 'reduce'): 669.879, ('gust', 'final'): 669.943, ('gust', 'pack'): 669.968, ('gust', 'd2h'): 669.979, ('merge', 'start'): 670.112, ('merge', 'h2d'): 670.197, ('merge', 'count'): 670.221, ('merge', 'scan'): 670.264, ('merge', 'expand'): 670.315, ('merge', 'merge'): 670.472, ('merge', 'final'): 670.516, ('merge', 'compact'): 670.547, ('merge', 'pack'): 670.566, ('merge', 'd2h'): 670.577, ('mrg2', 'start'): 670.697, ('mrg2', 'h2d'): 670.782, ('mrg2', 'count'): 670.806, ('mrg2', 'scan'): 670.846, ('mrg2', 'merge'): 670.919, ('mrg2', 'final'): 670.97, ('mrg2', 'compact'): 670.996, ('mrg2', 'pack'): 671.015, ('mrg2', 'd2h'): 671.027}",0.038409954868257,0.3305792000610381
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,0.0,,0.06700000000000728,0.19100000000003092,0.06599999999991724,0.036999999999920874,0.32399999999995543,0.597,,,,,0.613,0.651,0.475,,0.35000000000002274,0.3830000000000382,0.41800000000000637,0.24700000000007094,"{('cu', 'start'): 690.942, ('cu', 'h2dmalloc'): 691.009, ('cu', 'h2d'): 691.033, ('cu', 'workest'): 691.1, ('cu', 'compute'): 691.291, ('cu', 'copy'): 691.357, ('cu', 'pack'): 691.383, ('cu', 'd2h'): 691.42, ('gust', 'start'): 691.553, ('gust', 'h2d'): 691.65, ('gust', 'count'): 691.677, ('gust', 'scan'): 691.726, ('gust', 'expand'): 691.762, ('gust', 'sort'): 691.897, ('gust', 'reduce'): 691.948, ('gust', 'final'): 692.009, ('gust', 'pack'): 692.033, ('gust', 'd2h'): 692.05, ('merge', 'start'): 692.182, ('merge', 'h2d'): 692.284, ('merge', 'count'): 692.311, ('merge', 'scan'): 692.354, ('merge', 'expand'): 692.424, ('merge', 'merge'): 692.605, ('merge', 'final'): 692.65, ('merge', 'compact'): 692.679, ('merge', 'pack'): 692.702, ('merge', 'd2h'): 692.719, ('mrg2', 'start'): 692.846, ('mrg2', 'h2d'): 692.934, ('mrg2', 'count'): 692.96, ('mrg2', 'scan'): 693.004, ('mrg2', 'merge'): 693.089, ('mrg2', 'final'): 693.131, ('mrg2', 'compact'): 693.158, ('mrg2', 'pack'): 693.181, ('mrg2', 'd2h'): 693.198}",0.0356830423697829,0.3470239985967054
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,0.0,,0.05999999999994543,0.16600000000005366,0.057999999999992724,0.027000000000043656,0.2839999999999918,0.512,,,,,0.464,0.419,0.388,,0.3069999999999027,0.2659999999999627,0.22400000000004638,0.18899999999996453,"{('cu', 'start'): 687.991, ('cu', 'h2dmalloc'): 688.054, ('cu', 'h2d'): 688.07, ('cu', 'workest'): 688.13, ('cu', 'compute'): 688.296, ('cu', 'copy'): 688.354, ('cu', 'pack'): 688.377, ('cu', 'd2h'): 688.404, ('gust', 'start'): 688.521, ('gust', 'h2d'): 688.604, ('gust', 'count'): 688.63, ('gust', 'scan'): 688.672, ('gust', 'expand'): 688.696, ('gust', 'sort'): 688.743, ('gust', 'reduce'): 688.789, ('gust', 'final'): 688.847, ('gust', 'pack'): 688.87, ('gust', 'd2h'): 688.88, ('merge', 'start'): 688.998, ('merge', 'h2d'): 689.078, ('merge', 'count'): 689.102, ('merge', 'scan'): 689.14, ('merge', 'expand'): 689.179, ('merge', 'merge'): 689.212, ('merge', 'final'): 689.253, ('merge', 'compact'): 689.283, ('merge', 'pack'): 689.302, ('merge', 'd2h'): 689.314, ('mrg2', 'start'): 689.427, ('mrg2', 'h2d'): 689.504, ('mrg2', 'count'): 689.527, ('mrg2', 'scan'): 689.567, ('mrg2', 'merge'): 689.601, ('mrg2', 'final'): 689.636, ('mrg2', 'compact'): 689.674, ('mrg2', 'pack'): 689.693, ('mrg2', 'd2h'): 689.704}",0.0379289267584681,0.1621375995455309
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,0.0,,0.07100000000002638,0.16399999999998727,0.05999999999994543,0.025999999999953616,0.2949999999999591,0.553,,,,,0.555,0.448,0.417,,0.3160000000000309,0.3369999999999891,0.23699999999996635,0.20400000000006457,"{('cu', 'start'): 674.134, ('cu', 'h2dmalloc'): 674.217, ('cu', 'h2d'): 674.24, ('cu', 'workest'): 674.311, ('cu', 'compute'): 674.475, ('cu', 'copy'): 674.535, ('cu', 'pack'): 674.556, ('cu', 'd2h'): 674.582, ('gust', 'start'): 674.704, ('gust', 'h2d'): 674.804, ('gust', 'count'): 674.829, ('gust', 'scan'): 674.871, ('gust', 'expand'): 674.895, ('gust', 'sort'): 675.019, ('gust', 'reduce'): 675.065, ('gust', 'final'): 675.12, ('gust', 'pack'): 675.141, ('gust', 'd2h'): 675.151, ('merge', 'start'): 675.271, ('merge', 'h2d'): 675.369, ('merge', 'count'): 675.394, ('merge', 'scan'): 675.435, ('merge', 'expand'): 675.467, ('merge', 'merge'): 675.521, ('merge', 'final'): 675.562, ('merge', 'compact'): 675.588, ('merge', 'pack'): 675.606, ('merge', 'd2h'): 675.617, ('mrg2', 'start'): 675.733, ('mrg2', 'h2d'): 675.828, ('mrg2', 'count'): 675.852, ('mrg2', 'scan'): 675.891, ('mrg2', 'merge'): 675.941, ('mrg2', 'final'): 675.989, ('mrg2', 'compact'): 676.013, ('mrg2', 'pack'): 676.032, ('mrg2', 'd2h'): 676.043}",0.0500209862366318,0.3250879995059221
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,0.0,,0.06299999999998818,0.19700000000000273,0.057999999999992724,0.033999999999991815,0.31799999999998363,0.574,,,,,0.596,1.746,0.571,,0.3369999999999891,0.38200000000006185,1.5349999999999682,0.3590000000000373,"{('cu', 'start'): 677.779, ('cu', 'h2dmalloc'): 677.852, ('cu', 'h2d'): 677.873, ('cu', 'workest'): 677.936, ('cu', 'compute'): 678.133, ('cu', 'copy'): 678.191, ('cu', 'pack'): 678.21, ('cu', 'd2h'): 678.244, ('gust', 'start'): 678.372, ('gust', 'h2d'): 678.457, ('gust', 'count'): 678.484, ('gust', 'scan'): 678.526, ('gust', 'expand'): 678.573, ('gust', 'sort'): 678.704, ('gust', 'reduce'): 678.751, ('gust', 'final'): 678.82, ('gust', 'pack'): 678.839, ('gust', 'd2h'): 678.86, ('merge', 'start'): 678.976, ('merge', 'h2d'): 679.057, ('merge', 'count'): 679.084, ('merge', 'scan'): 679.121, ('merge', 'expand'): 679.263, ('merge', 'merge'): 680.506, ('merge', 'final'): 680.55, ('merge', 'compact'): 680.574, ('merge', 'pack'): 680.592, ('merge', 'd2h'): 680.612, ('mrg2', 'start'): 680.733, ('mrg2', 'h2d'): 680.824, ('mrg2', 'count'): 680.857, ('mrg2', 'scan'): 680.894, ('mrg2', 'merge'): 681.103, ('mrg2', 'final'): 681.143, ('mrg2', 'compact'): 681.165, ('mrg2', 'pack'): 681.183, ('mrg2', 'd2h'): 681.203}",0.0509649980813264,0.3775520004332066
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,0.0,,0.06200000000001182,0.17099999999993543,0.07300000000009277,0.03200000000003911,0.30600000000004,0.54,,,,,0.55,0.442,0.402,,0.3289999999999509,0.34199999999998454,0.2440000000000282,0.19600000000002638,"{('cu', 'start'): 683.201, ('cu', 'h2dmalloc'): 683.264, ('cu', 'h2d'): 683.283, ('cu', 'workest'): 683.345, ('cu', 'compute'): 683.516, ('cu', 'copy'): 683.589, ('cu', 'pack'): 683.612, ('cu', 'd2h'): 683.644, ('gust', 'start'): 683.76, ('gust', 'h2d'): 683.851, ('gust', 'count'): 683.875, ('gust', 'scan'): 683.919, ('gust', 'expand'): 683.946, ('gust', 'sort'): 684.06, ('gust', 'reduce'): 684.107, ('gust', 'final'): 684.169, ('gust', 'pack'): 684.193, ('gust', 'd2h'): 684.205, ('merge', 'start'): 684.329, ('merge', 'h2d'): 684.411, ('merge', 'count'): 684.435, ('merge', 'scan'): 684.475, ('merge', 'expand'): 684.507, ('merge', 'merge'): 684.562, ('merge', 'final'): 684.606, ('merge', 'compact'): 684.634, ('merge', 'pack'): 684.655, ('merge', 'd2h'): 684.667, ('mrg2', 'start'): 684.781, ('mrg2', 'h2d'): 684.869, ('mrg2', 'count'): 684.894, ('mrg2', 'scan'): 684.934, ('mrg2', 'merge'): 684.973, ('mrg2', 'final'): 685.01, ('mrg2', 'compact'): 685.045, ('mrg2', 'pack'): 685.065, ('mrg2', 'd2h'): 685.077}",0.0494340201839804,0.206460799393244
