cuBLAS baseline(ctypes 直调系统 libcublas)
[1/100] 1138_bus → 0.113 ms
[2/100] 494_bus → 0.032 ms
[3/100] 662_bus → 0.046 ms
[4/100] 685_bus → 0.048 ms
[5/100] arc130 → 0.052 ms
[6/100] ash292 → 0.054 ms
[7/100] ash85 → 0.051 ms
[8/100] bcspwr01 → 0.050 ms
[9/100] bcspwr02 → 0.039 ms
[10/100] bcspwr03 → 0.039 ms
[11/100] bcspwr04 → 0.033 ms
[12/100] bcspwr05 → 0.034 ms
[13/100] bcspwr06 → 0.217 ms
[14/100] bcspwr07 → 0.279 ms
[15/100] bcspwr08 → 0.286 ms
[16/100] bcspwr09 → 0.353 ms
[17/100] bcspwr10 → 7.622 ms
[18/100] bcsstk01 → 0.018 ms
[19/100] bcsstk02 → 0.048 ms
[20/100] bcsstk03 → 0.048 ms
[21/100] bcsstk04 → 0.049 ms
[22/100] bcsstk05 → 0.049 ms
[23/100] bcsstk06 → 0.059 ms
[24/100] bcsstk07 → 0.051 ms
[25/100] bcsstk08 → 0.129 ms
[26/100] bcsstk09 → 0.120 ms
[27/100] bcsstk10 → 0.140 ms
[28/100] bcsstk11 → 0.234 ms
[29/100] bcsstk12 → 0.234 ms
[30/100] bcsstk13 → 0.537 ms
[31/100] bcsstk14 → 0.403 ms
[32/100] bcsstk15 → 3.420 ms
[33/100] bcsstk16 → 6.851 ms
[34/100] bcsstk17 → 64.109 ms
[35/100] bcsstk18 → 85.499 ms
[36/100] bcsstk19 → 0.090 ms
[37/100] bcsstk20 → 0.052 ms
[38/100] bcsstk21 → 2.664 ms
[39/100] bcsstk22 → 0.049 ms
[40/100] bcsstk23 → 1.796 ms
[41/100] bcsstk24 → 2.581 ms
[42/100] bcsstk25 → 177.484 ms
[43/100] bcsstk26 → 0.500 ms
[44/100] bcsstk27 → 0.140 ms
[45/100] bcsstk28 → 5.005 ms
[46/100] bcsstk29 → 136.117 ms
[47/100] bcsstk30 → 1171.671 ms
[48/100] bcsstk31 → 2297.966 ms
[49/100] bcsstk32 → 4383.655 ms
[50/100] bcsstk33 → 32.545 ms
[51/100] bcsstm01 → 0.048 ms
[52/100] bcsstm02 → 0.017 ms
[53/100] bcsstm03 → 0.021 ms
[54/100] bcsstm04 → 0.021 ms
[55/100] bcsstm05 → 0.049 ms
[56/100] bcsstm06 → 0.040 ms
[57/100] bcsstm07 → 0.059 ms
[58/100] bcsstm08 → 0.127 ms
[59/100] bcsstm09 → 0.142 ms
[60/100] bcsstm10 → 0.127 ms
[61/100] bcsstm11 → 0.241 ms
[62/100] bcsstm12 → 0.230 ms
[63/100] bcsstm13 → 0.532 ms
[64/100] bcsstm19 → 0.090 ms
[65/100] bcsstm20 → 0.062 ms
[66/100] bcsstm21 → 2.669 ms
[67/100] bcsstm22 → 0.019 ms
[68/100] bcsstm23 → 1.795 ms
[69/100] bcsstm24 → 2.580 ms
[70/100] bcsstm25 → 176.195 ms
[71/100] bcsstm26 → 0.501 ms
[72/100] bcsstm27 → 0.168 ms
[73/100] blckhole → 0.601 ms
[74/100] bp_0 → 0.077 ms
[75/100] bp_1000 → 0.070 ms
[76/100] bp_1200 → 0.089 ms
[77/100] bp_1400 → 0.089 ms
[78/100] bp_1600 → 0.068 ms
[79/100] bp_200 → 0.063 ms
[80/100] bp_400 → 0.059 ms
[81/100] bp_600 → 0.058 ms
[82/100] bp_800 → 0.057 ms
[83/100] can_1054 → 0.131 ms
[84/100] can_1072 → 0.117 ms
[85/100] can_144 → 0.024 ms
[86/100] can_161 → 0.024 ms
[87/100] can_187 → 0.022 ms
[88/100] can_229 → 0.022 ms
[89/100] can_24 → 0.048 ms
[90/100] can_256 → 0.029 ms
[91/100] can_268 → 0.047 ms
[92/100] can_292 → 0.046 ms
[93/100] can_445 → 0.039 ms
[94/100] can_61 → 0.027 ms
[95/100] can_62 → 0.022 ms
[96/100] can_634 → 0.045 ms
[97/100] can_715 → 0.079 ms
[98/100] can_73 → 0.037 ms
[99/100] can_838 → 0.073 ms
[100/100] can_96 → 0.048 ms

写出 /home/xueyizhou/spgemm-challenge/suitesparse_crawl/baseline_cublas.csv  (ok 100/100)
