Ocean baseline(compute-only = GPU 阶段求和,ms)
[1/100] 1138_bus → 0.213 ms
[2/100] 494_bus → 0.218 ms
[3/100] 662_bus → 0.209 ms
[4/100] 685_bus → 0.223 ms
[5/100] arc130 → 0.377 ms
[6/100] ash292 → 0.255 ms
[7/100] ash85 → 0.202 ms
[8/100] bcspwr01 → 0.198 ms
[9/100] bcspwr02 → 0.196 ms
[10/100] bcspwr03 → 0.208 ms
[11/100] bcspwr04 → 0.224 ms
[12/100] bcspwr05 → 0.219 ms
[13/100] bcspwr06 → 0.257 ms
[14/100] bcspwr07 → 0.208 ms
[15/100] bcspwr08 → 0.212 ms
[16/100] bcspwr09 → 0.578 ms
[17/100] bcspwr10 → 0.236 ms
[18/100] bcsstk01 → 0.288 ms
[19/100] bcsstk02 → 0.863 ms
[20/100] bcsstk03 → 0.161 ms
[21/100] bcsstk04 → 0.510 ms
[22/100] bcsstk05 → 0.314 ms
[23/100] bcsstk06 → 0.308 ms
[24/100] bcsstk07 → 0.340 ms
[25/100] bcsstk08 → 0.393 ms
[26/100] bcsstk09 → 0.315 ms
[27/100] bcsstk10 → 0.460 ms
[28/100] bcsstk11 → 0.550 ms
[29/100] bcsstk12 → 0.551 ms
[30/100] bcsstk13 → 0.697 ms
[31/100] bcsstk14 → 0.590 ms
[32/100] bcsstk15 → 0.360 ms
[33/100] bcsstk16 → 0.776 ms
[34/100] bcsstk17 → 0.817 ms
[35/100] bcsstk18 → 0.506 ms
[36/100] bcsstk19 → 0.484 ms
[37/100] bcsstk20 → 0.220 ms
[38/100] bcsstk21 → 0.214 ms
[39/100] bcsstk22 → 0.202 ms
[40/100] bcsstk23 → 0.336 ms
[41/100] bcsstk24 → 0.597 ms
[42/100] bcsstk25 → 0.439 ms
[43/100] bcsstk26 → 0.377 ms
[44/100] bcsstk27 → 0.495 ms
[45/100] bcsstk28 → 0.687 ms
[46/100] bcsstk29 → 0.835 ms
[47/100] bcsstk30 → 2.366 ms
[48/100] bcsstk31 → 1.242 ms
[49/100] bcsstk32 → 1.750 ms
[50/100] bcsstk33 → 1.524 ms
[51/100] bcsstm01 → 0.222 ms
[52/100] bcsstm02 → 0.152 ms
[53/100] bcsstm03 → 0.155 ms
[54/100] bcsstm04 → 0.155 ms
[55/100] bcsstm05 → 0.155 ms
[56/100] bcsstm06 → 0.157 ms
[57/100] bcsstm07 → 0.268 ms
[58/100] bcsstm08 → 0.157 ms
[59/100] bcsstm09 → 0.157 ms
[60/100] bcsstm10 → 0.495 ms
[61/100] bcsstm11 → 0.172 ms
[62/100] bcsstm12 → 0.330 ms
[63/100] bcsstm13 → 0.455 ms
[64/100] bcsstm19 → 0.174 ms
[65/100] bcsstm20 → 0.157 ms
[66/100] bcsstm21 → 0.161 ms
[67/100] bcsstm22 → 0.172 ms
[68/100] bcsstm23 → 0.164 ms
[69/100] bcsstm24 → 0.165 ms
[70/100] bcsstm25 → 0.172 ms
[71/100] bcsstm26 → 0.176 ms
[72/100] bcsstm27 → 0.538 ms
[73/100] blckhole → 0.216 ms
[74/100] bp_0 → 0.230 ms
[75/100] bp_1000 → 0.246 ms
[76/100] bp_1200 → 0.247 ms
[77/100] bp_1400 → 0.247 ms
[78/100] bp_1600 → 0.263 ms
[79/100] bp_200 → 0.238 ms
[80/100] bp_400 → 0.242 ms
[81/100] bp_600 → 0.240 ms
[82/100] bp_800 → 0.257 ms
[83/100] can_1054 → 0.547 ms
[84/100] can_1072 → 0.338 ms
[85/100] can_144 → 0.294 ms
[86/100] can_161 → 0.294 ms
[87/100] can_187 → 0.292 ms
[88/100] can_229 → 0.292 ms
[89/100] can_24 → 0.188 ms
[90/100] can_256 → 0.319 ms
[91/100] can_268 → 0.306 ms
[92/100] can_292 → 0.312 ms
[93/100] can_445 → 0.297 ms
[94/100] can_61 → 0.301 ms
[95/100] can_62 → 0.184 ms
[96/100] can_634 → 0.357 ms
[97/100] can_715 → 0.345 ms
[98/100] can_73 → 0.192 ms
[99/100] can_838 → 0.329 ms
[100/100] can_96 → 0.291 ms

写出 /home/xueyizhou/spgemm-challenge/suitesparse_crawl/baseline_ocean.csv  (ok 100/100)
