class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,merge3_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,merge3_time,man_write,cu_compute_t,man_compute_t,merge_compute_t,merge2_compute_t,merge3_compute_t,phases,cublas_ms,ocean_ms
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,4356,0.0,,0.06700000000000728,0.2259999999999991,0.05200000000002092,0.10399999999992815,0.3450000000000273,0.641,,,,,1.066,1.899,0.564,0.33,,0.37000000000000455,0.8220000000000027,1.725999999999999,0.3909999999999627,0.15399999999999636,"{('cu', 'start'): 701.95, ('cu', 'h2dmalloc'): 702.027, ('cu', 'h2d'): 702.047, ('cu', 'workest'): 702.114, ('cu', 'compute'): 702.34, ('cu', 'copy'): 702.392, ('cu', 'pack'): 702.417, ('cu', 'd2h'): 702.521, ('gust', 'start'): 702.598, ('gust', 'h2d'): 702.674, ('gust', 'count'): 702.702, ('gust', 'scan'): 702.74, ('gust', 'expand'): 702.848, ('gust', 'sort'): 703.122, ('gust', 'reduce'): 703.285, ('gust', 'final'): 703.469, ('gust', 'pack'): 703.496, ('gust', 'd2h'): 703.517, ('merge', 'start'): 703.672, ('merge', 'h2d'): 703.75, ('merge', 'count'): 703.777, ('merge', 'scan'): 703.815, ('merge', 'expand'): 704.302, ('merge', 'merge'): 705.191, ('merge', 'final'): 705.309, ('merge', 'compact'): 705.45, ('merge', 'pack'): 705.476, ('merge', 'd2h'): 705.489, ('mrg2', 'start'): 705.578, ('mrg2', 'h2d'): 705.654, ('mrg2', 'count'): 705.678, ('mrg2', 'scan'): 705.715, ('mrg2', 'merge'): 705.889, ('mrg2', 'final'): 705.937, ('mrg2', 'compact'): 706.024, ('mrg2', 'pack'): 706.045, ('mrg2', 'd2h'): 706.057, ('mrg3', 'start'): 706.151, ('mrg3', 'h2d'): 706.225, ('mrg3', 'count'): 706.263, ('mrg3', 'scan'): 706.315, ('mrg3', 'merge'): 706.361, ('mrg3', 'pack'): 706.379, ('mrg3', 'd2h'): 706.393}",0.048649962991476,0.8423104024725034
Dense,can_24,24,160,27.77777777777778,336,336,336,336,336,0.0,,0.05600000000004002,0.15499999999997272,0.06000000000005912,0.027000000000043656,0.27100000000007185,0.491,,,,,0.444,0.409,0.35,0.296,,0.2939999999999827,0.2580000000000382,0.22699999999997544,0.17399999999997817,0.12199999999995725,"{('cu', 'start'): 677.585, ('cu', 'h2dmalloc'): 677.651, ('cu', 'h2d'): 677.665, ('cu', 'workest'): 677.721, ('cu', 'compute'): 677.876, ('cu', 'copy'): 677.936, ('cu', 'pack'): 677.959, ('cu', 'd2h'): 677.986, ('gust', 'start'): 678.086, ('gust', 'h2d'): 678.165, ('gust', 'count'): 678.189, ('gust', 'scan'): 678.227, ('gust', 'expand'): 678.251, ('gust', 'sort'): 678.306, ('gust', 'reduce'): 678.348, ('gust', 'final'): 678.401, ('gust', 'pack'): 678.423, ('gust', 'd2h'): 678.433, ('merge', 'start'): 678.539, ('merge', 'h2d'): 678.613, ('merge', 'count'): 678.636, ('merge', 'scan'): 678.672, ('merge', 'expand'): 678.708, ('merge', 'merge'): 678.756, ('merge', 'final'): 678.795, ('merge', 'compact'): 678.822, ('merge', 'pack'): 678.84, ('merge', 'd2h'): 678.851, ('mrg2', 'start'): 678.956, ('mrg2', 'h2d'): 679.032, ('mrg2', 'count'): 679.056, ('mrg2', 'scan'): 679.092, ('mrg2', 'merge'): 679.128, ('mrg2', 'final'): 679.163, ('mrg2', 'compact'): 679.187, ('mrg2', 'pack'): 679.206, ('mrg2', 'd2h'): 679.215, ('mrg3', 'start'): 679.315, ('mrg3', 'h2d'): 679.389, ('mrg3', 'count'): 679.415, ('mrg3', 'scan'): 679.465, ('mrg3', 'merge'): 679.493, ('mrg3', 'pack'): 679.511, ('mrg3', 'd2h'): 679.522}",0.0485549680888652,0.200505601754412
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,11968,0.0,,0.06499999999994088,0.24700000000007094,0.05999999999994543,0.10400000000004184,0.37199999999995725,0.646,,,,,0.817,1.276,0.468,0.354,,0.39199999999993906,0.6259999999999764,1.0910000000000082,0.2869999999999209,0.17200000000002547,"{('cu', 'start'): 692.235, ('cu', 'h2dmalloc'): 692.295, ('cu', 'h2d'): 692.312, ('cu', 'workest'): 692.377, ('cu', 'compute'): 692.624, ('cu', 'copy'): 692.684, ('cu', 'pack'): 692.704, ('cu', 'd2h'): 692.808, ('gust', 'start'): 692.89, ('gust', 'h2d'): 692.966, ('gust', 'count'): 692.995, ('gust', 'scan'): 693.035, ('gust', 'expand'): 693.075, ('gust', 'sort'): 693.327, ('gust', 'reduce'): 693.447, ('gust', 'final'): 693.567, ('gust', 'pack'): 693.592, ('gust', 'd2h'): 693.616, ('merge', 'start'): 693.714, ('merge', 'h2d'): 693.79, ('merge', 'count'): 693.816, ('merge', 'scan'): 693.851, ('merge', 'expand'): 694.024, ('merge', 'merge'): 694.728, ('merge', 'final'): 694.772, ('merge', 'compact'): 694.859, ('merge', 'pack'): 694.881, ('merge', 'd2h'): 694.905, ('mrg2', 'start'): 694.997, ('mrg2', 'h2d'): 695.071, ('mrg2', 'count'): 695.094, ('mrg2', 'scan'): 695.131, ('mrg2', 'merge'): 695.281, ('mrg2', 'final'): 695.318, ('mrg2', 'compact'): 695.341, ('mrg2', 'pack'): 695.358, ('mrg2', 'd2h'): 695.376, ('mrg3', 'start'): 695.472, ('mrg3', 'h2d'): 695.548, ('mrg3', 'count'): 695.593, ('mrg3', 'scan'): 695.643, ('mrg3', 'merge'): 695.697, ('mrg3', 'pack'): 695.72, ('mrg3', 'd2h'): 695.738}",0.032111071050167,0.5066080007469281
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,1292,0.0,,0.05700000000001637,0.15399999999999636,0.05599999999992633,0.02800000000002001,0.26699999999993906,0.479,,,,,0.524,0.441,0.375,0.306,,0.2899999999999636,0.32600000000002183,0.26100000000008095,0.19100000000003092,0.12799999999992906,"{('cu', 'start'): 663.912, ('cu', 'h2dmalloc'): 663.974, ('cu', 'h2d'): 663.99, ('cu', 'workest'): 664.047, ('cu', 'compute'): 664.201, ('cu', 'copy'): 664.257, ('cu', 'pack'): 664.28, ('cu', 'd2h'): 664.308, ('gust', 'start'): 664.4, ('gust', 'h2d'): 664.487, ('gust', 'count'): 664.512, ('gust', 'scan'): 664.55, ('gust', 'expand'): 664.576, ('gust', 'sort'): 664.693, ('gust', 'reduce'): 664.736, ('gust', 'final'): 664.791, ('gust', 'pack'): 664.813, ('gust', 'd2h'): 664.824, ('merge', 'start'): 664.932, ('merge', 'h2d'): 665.011, ('merge', 'count'): 665.036, ('merge', 'scan'): 665.072, ('merge', 'expand'): 665.107, ('merge', 'merge'): 665.18, ('merge', 'final'): 665.22, ('merge', 'compact'): 665.254, ('merge', 'pack'): 665.272, ('merge', 'd2h'): 665.284, ('mrg2', 'start'): 665.379, ('mrg2', 'h2d'): 665.461, ('mrg2', 'count'): 665.485, ('mrg2', 'scan'): 665.522, ('mrg2', 'merge'): 665.571, ('mrg2', 'final'): 665.605, ('mrg2', 'compact'): 665.632, ('mrg2', 'pack'): 665.652, ('mrg2', 'd2h'): 665.664, ('mrg3', 'start'): 665.76, ('mrg3', 'h2d'): 665.835, ('mrg3', 'count'): 665.866, ('mrg3', 'scan'): 665.914, ('mrg3', 'merge'): 665.945, ('mrg3', 'pack'): 665.963, ('mrg3', 'd2h'): 665.975}",0.0481798779219388,0.3114016004838049
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,1793,0.0,,0.05899999999996908,0.15300000000002,0.05700000000001637,0.033999999999991815,0.26900000000000546,0.493,,,,,0.485,0.506,0.342,0.278,,0.2899999999999636,0.30299999999999727,0.33999999999991815,0.18099999999992633,0.12100000000009459,"{('cu', 'start'): 684.795, ('cu', 'h2dmalloc'): 684.858, ('cu', 'h2d'): 684.874, ('cu', 'workest'): 684.933, ('cu', 'compute'): 685.086, ('cu', 'copy'): 685.143, ('cu', 'pack'): 685.164, ('cu', 'd2h'): 685.198, ('gust', 'start'): 685.298, ('gust', 'h2d'): 685.376, ('gust', 'count'): 685.397, ('gust', 'scan'): 685.435, ('gust', 'expand'): 685.46, ('gust', 'sort'): 685.569, ('gust', 'reduce'): 685.609, ('gust', 'final'): 685.662, ('gust', 'pack'): 685.679, ('gust', 'd2h'): 685.69, ('merge', 'start'): 685.789, ('merge', 'h2d'): 685.863, ('merge', 'count'): 685.883, ('merge', 'scan'): 685.919, ('merge', 'expand'): 685.964, ('merge', 'merge'): 686.113, ('merge', 'final'): 686.15, ('merge', 'compact'): 686.182, ('merge', 'pack'): 686.203, ('merge', 'd2h'): 686.213, ('mrg2', 'start'): 686.302, ('mrg2', 'h2d'): 686.374, ('mrg2', 'count'): 686.394, ('mrg2', 'scan'): 686.429, ('mrg2', 'merge'): 686.483, ('mrg2', 'final'): 686.515, ('mrg2', 'compact'): 686.537, ('mrg2', 'pack'): 686.555, ('mrg2', 'd2h'): 686.565, ('mrg3', 'start'): 686.65, ('mrg3', 'h2d'): 686.718, ('mrg3', 'count'): 686.743, ('mrg3', 'scan'): 686.792, ('mrg3', 'merge'): 686.822, ('mrg3', 'pack'): 686.839, ('mrg3', 'd2h'): 686.849}",0.0485938508063554,0.3196064006071538
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,7245,0.0,,0.05600000000004002,0.17099999999993543,0.06900000000007367,0.03300000000001546,0.2960000000000491,0.529,,,,,0.553,0.594,0.394,0.349,,0.31899999999996,0.3529999999999518,0.40300000000002,0.20600000000001728,0.16499999999996362,"{('cu', 'start'): 672.802, ('cu', 'h2dmalloc'): 672.866, ('cu', 'h2d'): 672.89, ('cu', 'workest'): 672.946, ('cu', 'compute'): 673.117, ('cu', 'copy'): 673.186, ('cu', 'pack'): 673.209, ('cu', 'd2h'): 673.242, ('gust', 'start'): 673.338, ('gust', 'h2d'): 673.422, ('gust', 'count'): 673.448, ('gust', 'scan'): 673.485, ('gust', 'expand'): 673.524, ('gust', 'sort'): 673.651, ('gust', 'reduce'): 673.694, ('gust', 'final'): 673.753, ('gust', 'pack'): 673.775, ('gust', 'd2h'): 673.797, ('merge', 'start'): 673.898, ('merge', 'h2d'): 673.985, ('merge', 'count'): 674.01, ('merge', 'scan'): 674.046, ('merge', 'expand'): 674.112, ('merge', 'merge'): 674.294, ('merge', 'final'): 674.335, ('merge', 'compact'): 674.369, ('merge', 'pack'): 674.388, ('merge', 'd2h'): 674.403, ('mrg2', 'start'): 674.499, ('mrg2', 'h2d'): 674.583, ('mrg2', 'count'): 674.607, ('mrg2', 'scan'): 674.643, ('mrg2', 'merge'): 674.708, ('mrg2', 'final'): 674.745, ('mrg2', 'compact'): 674.77, ('mrg2', 'pack'): 674.789, ('mrg2', 'd2h'): 674.805, ('mrg3', 'start'): 674.901, ('mrg3', 'h2d'): 674.975, ('mrg3', 'count'): 675.014, ('mrg3', 'scan'): 675.065, ('mrg3', 'merge'): 675.11, ('mrg3', 'pack'): 675.14, ('mrg3', 'd2h'): 675.155}",0.0504700001329183,0.3433056008070707
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,275,0.0,,0.05700000000001637,0.1490000000000009,0.057999999999992724,0.026000000000067303,0.26400000000001,0.48,,,,,0.437,0.39,0.339,0.291,,0.2869999999999209,0.25499999999999545,0.20900000000006003,0.1710000000000491,0.12400000000002365,"{('cu', 'start'): 674.984, ('cu', 'h2dmalloc'): 675.047, ('cu', 'h2d'): 675.066, ('cu', 'workest'): 675.123, ('cu', 'compute'): 675.272, ('cu', 'copy'): 675.33, ('cu', 'pack'): 675.353, ('cu', 'd2h'): 675.379, ('gust', 'start'): 675.472, ('gust', 'h2d'): 675.547, ('gust', 'count'): 675.573, ('gust', 'scan'): 675.61, ('gust', 'expand'): 675.637, ('gust', 'sort'): 675.683, ('gust', 'reduce'): 675.725, ('gust', 'final'): 675.781, ('gust', 'pack'): 675.802, ('gust', 'd2h'): 675.812, ('merge', 'start'): 675.917, ('merge', 'h2d'): 676.001, ('merge', 'count'): 676.026, ('merge', 'scan'): 676.064, ('merge', 'expand'): 676.089, ('merge', 'merge'): 676.124, ('merge', 'final'): 676.164, ('merge', 'compact'): 676.191, ('merge', 'pack'): 676.21, ('merge', 'd2h'): 676.22, ('mrg2', 'start'): 676.315, ('mrg2', 'h2d'): 676.385, ('mrg2', 'count'): 676.408, ('mrg2', 'scan'): 676.444, ('mrg2', 'merge'): 676.477, ('mrg2', 'final'): 676.51, ('mrg2', 'compact'): 676.538, ('mrg2', 'pack'): 676.556, ('mrg2', 'd2h'): 676.567, ('mrg3', 'start'): 676.662, ('mrg3', 'h2d'): 676.732, ('mrg3', 'count'): 676.76, ('mrg3', 'scan'): 676.809, ('mrg3', 'merge'): 676.838, ('mrg3', 'pack'): 676.856, ('mrg3', 'd2h'): 676.867}",0.048565911129117,0.1935200008330866
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,1920,0.0,,0.06399999999996453,0.16099999999994452,0.059000000000082764,0.026000000000067303,0.2839999999999918,0.503,,,,,0.535,0.427,0.379,0.309,,0.30599999999992633,0.3249999999999318,0.2319999999999709,0.19499999999993634,0.125,"{('cu', 'start'): 680.111, ('cu', 'h2dmalloc'): 680.173, ('cu', 'h2d'): 680.19, ('cu', 'workest'): 680.254, ('cu', 'compute'): 680.415, ('cu', 'copy'): 680.474, ('cu', 'pack'): 680.496, ('cu', 'd2h'): 680.522, ('gust', 'start'): 680.624, ('gust', 'h2d'): 680.711, ('gust', 'count'): 680.735, ('gust', 'scan'): 680.776, ('gust', 'expand'): 680.8, ('gust', 'sort'): 680.915, ('gust', 'reduce'): 680.958, ('gust', 'final'): 681.015, ('gust', 'pack'): 681.036, ('gust', 'd2h'): 681.048, ('merge', 'start'): 681.165, ('merge', 'h2d'): 681.248, ('merge', 'count'): 681.274, ('merge', 'scan'): 681.311, ('merge', 'expand'): 681.344, ('merge', 'merge'): 681.397, ('merge', 'final'): 681.437, ('merge', 'compact'): 681.462, ('merge', 'pack'): 681.48, ('merge', 'd2h'): 681.492, ('mrg2', 'start'): 681.598, ('mrg2', 'h2d'): 681.672, ('mrg2', 'count'): 681.695, ('mrg2', 'scan'): 681.741, ('mrg2', 'merge'): 681.784, ('mrg2', 'final'): 681.822, ('mrg2', 'compact'): 681.845, ('mrg2', 'pack'): 681.867, ('mrg2', 'd2h'): 681.879, ('mrg3', 'start'): 681.982, ('mrg3', 'h2d'): 682.057, ('mrg3', 'count'): 682.084, ('mrg3', 'scan'): 682.135, ('mrg3', 'merge'): 682.164, ('mrg3', 'pack'): 682.182, ('mrg3', 'd2h'): 682.194}",0.0494441483169794,0.2881503999466077
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,15631,0.0,,0.06299999999998818,0.18899999999996453,0.06200000000001182,0.03600000000005821,0.31399999999996453,0.547,,,,,0.606,1.739,0.546,0.396,,0.3349999999999227,0.3789999999999054,1.5360000000000582,0.3450000000000273,0.19799999999997908,"{('cu', 'start'): 688.509, ('cu', 'h2dmalloc'): 688.573, ('cu', 'h2d'): 688.59, ('cu', 'workest'): 688.653, ('cu', 'compute'): 688.842, ('cu', 'copy'): 688.904, ('cu', 'pack'): 688.925, ('cu', 'd2h'): 688.961, ('gust', 'start'): 689.063, ('gust', 'h2d'): 689.157, ('gust', 'count'): 689.186, ('gust', 'scan'): 689.226, ('gust', 'expand'): 689.271, ('gust', 'sort'): 689.407, ('gust', 'reduce'): 689.452, ('gust', 'final'): 689.515, ('gust', 'pack'): 689.536, ('gust', 'd2h'): 689.563, ('merge', 'start'): 689.678, ('merge', 'h2d'): 689.761, ('merge', 'count'): 689.788, ('merge', 'scan'): 689.829, ('merge', 'expand'): 689.97, ('merge', 'merge'): 691.214, ('merge', 'final'): 691.255, ('merge', 'compact'): 691.279, ('merge', 'pack'): 691.297, ('merge', 'd2h'): 691.317, ('mrg2', 'start'): 691.423, ('mrg2', 'h2d'): 691.506, ('mrg2', 'count'): 691.531, ('mrg2', 'scan'): 691.569, ('mrg2', 'merge'): 691.775, ('mrg2', 'final'): 691.81, ('mrg2', 'compact'): 691.833, ('mrg2', 'pack'): 691.851, ('mrg2', 'd2h'): 691.871, ('mrg3', 'start'): 691.978, ('mrg3', 'h2d'): 692.058, ('mrg3', 'count'): 692.11, ('mrg3', 'scan'): 692.173, ('mrg3', 'merge'): 692.236, ('mrg3', 'pack'): 692.256, ('mrg3', 'd2h'): 692.275}",0.0415011309087276,0.368313598074019
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,1317,0.0,,0.057999999999992724,0.15999999999996817,0.05700000000001637,0.028999999999996362,0.27499999999997726,0.49,,,,,0.525,0.411,0.361,0.302,,0.2980000000000018,0.3349999999999227,0.23500000000001364,0.18900000000007822,0.13199999999994816,"{('cu', 'start'): 672.647, ('cu', 'h2dmalloc'): 672.709, ('cu', 'h2d'): 672.725, ('cu', 'workest'): 672.783, ('cu', 'compute'): 672.943, ('cu', 'copy'): 673.0, ('cu', 'pack'): 673.023, ('cu', 'd2h'): 673.052, ('gust', 'start'): 673.151, ('gust', 'h2d'): 673.229, ('gust', 'count'): 673.253, ('gust', 'scan'): 673.291, ('gust', 'expand'): 673.327, ('gust', 'sort'): 673.443, ('gust', 'reduce'): 673.487, ('gust', 'final'): 673.542, ('gust', 'pack'): 673.564, ('gust', 'd2h'): 673.575, ('merge', 'start'): 673.683, ('merge', 'h2d'): 673.763, ('merge', 'count'): 673.786, ('merge', 'scan'): 673.824, ('merge', 'expand'): 673.855, ('merge', 'merge'): 673.913, ('merge', 'final'): 673.951, ('merge', 'compact'): 673.98, ('merge', 'pack'): 673.998, ('merge', 'd2h'): 674.009, ('mrg2', 'start'): 674.102, ('mrg2', 'h2d'): 674.174, ('mrg2', 'count'): 674.198, ('mrg2', 'scan'): 674.235, ('mrg2', 'merge'): 674.275, ('mrg2', 'final'): 674.317, ('mrg2', 'compact'): 674.344, ('mrg2', 'pack'): 674.363, ('mrg2', 'd2h'): 674.374, ('mrg3', 'start'): 674.471, ('mrg3', 'h2d'): 674.542, ('mrg3', 'count'): 674.572, ('mrg3', 'scan'): 674.623, ('mrg3', 'merge'): 674.656, ('mrg3', 'pack'): 674.674, ('mrg3', 'd2h'): 674.685}",0.031420961022377,0.2054463999113068
