class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,merge3_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,merge3_time,man_write,cu_compute_t,man_compute_t,merge_compute_t,merge2_compute_t,merge3_compute_t,phases,cublas_ms,ocean_ms
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,4356,0.0,,0.05899999999996908,0.21600000000000819,0.04899999999997817,0.10200000000008913,0.32399999999995543,0.601,,,,,1.046,1.866,0.558,0.317,,0.34399999999993724,0.8079999999999927,1.6870000000000118,0.38900000000001,0.14400000000000546,"{('cu', 'start'): 690.694, ('cu', 'h2dmalloc'): 690.761, ('cu', 'h2d'): 690.778, ('cu', 'workest'): 690.837, ('cu', 'compute'): 691.053, ('cu', 'copy'): 691.102, ('cu', 'pack'): 691.122, ('cu', 'd2h'): 691.224, ('gust', 'start'): 691.306, ('gust', 'h2d'): 691.383, ('gust', 'count'): 691.413, ('gust', 'scan'): 691.457, ('gust', 'expand'): 691.564, ('gust', 'sort'): 691.825, ('gust', 'reduce'): 691.986, ('gust', 'final'): 692.167, ('gust', 'pack'): 692.191, ('gust', 'd2h'): 692.21, ('merge', 'start'): 692.357, ('merge', 'h2d'): 692.444, ('merge', 'count'): 692.47, ('merge', 'scan'): 692.509, ('merge', 'expand'): 692.977, ('merge', 'merge'): 693.857, ('merge', 'final'): 693.969, ('merge', 'compact'): 694.107, ('merge', 'pack'): 694.131, ('merge', 'd2h'): 694.144, ('mrg2', 'start'): 694.231, ('mrg2', 'h2d'): 694.307, ('mrg2', 'count'): 694.331, ('mrg2', 'scan'): 694.368, ('mrg2', 'merge'): 694.548, ('mrg2', 'final'): 694.585, ('mrg2', 'compact'): 694.673, ('mrg2', 'pack'): 694.696, ('mrg2', 'd2h'): 694.709, ('mrg3', 'start'): 694.795, ('mrg3', 'h2d'): 694.87, ('mrg3', 'count'): 694.904, ('mrg3', 'scan'): 694.955, ('mrg3', 'merge'): 694.995, ('mrg3', 'pack'): 695.014, ('mrg3', 'd2h'): 695.027}",0.048649962991476,0.8049151991959662
Dense,can_24,24,160,27.77777777777778,336,336,336,336,336,0.0,,0.05600000000004002,0.15099999999995362,0.05299999999999727,0.025999999999953616,0.2599999999999909,0.465,,,,,0.436,0.392,0.346,0.285,,0.28100000000006276,0.24500000000000455,0.22199999999998,0.17599999999993088,0.11799999999993815,"{('cu', 'start'): 674.224, ('cu', 'h2dmalloc'): 674.286, ('cu', 'h2d'): 674.3, ('cu', 'workest'): 674.356, ('cu', 'compute'): 674.507, ('cu', 'copy'): 674.56, ('cu', 'pack'): 674.581, ('cu', 'd2h'): 674.607, ('gust', 'start'): 674.696, ('gust', 'h2d'): 674.781, ('gust', 'count'): 674.804, ('gust', 'scan'): 674.843, ('gust', 'expand'): 674.867, ('gust', 'sort'): 674.914, ('gust', 'reduce'): 674.954, ('gust', 'final'): 675.007, ('gust', 'pack'): 675.026, ('gust', 'd2h'): 675.036, ('merge', 'start'): 675.138, ('merge', 'h2d'): 675.214, ('merge', 'count'): 675.236, ('merge', 'scan'): 675.271, ('merge', 'expand'): 675.305, ('merge', 'merge'): 675.352, ('merge', 'final'): 675.392, ('merge', 'compact'): 675.417, ('merge', 'pack'): 675.436, ('merge', 'd2h'): 675.446, ('mrg2', 'start'): 675.537, ('mrg2', 'h2d'): 675.61, ('mrg2', 'count'): 675.631, ('mrg2', 'scan'): 675.666, ('mrg2', 'merge'): 675.702, ('mrg2', 'final'): 675.736, ('mrg2', 'compact'): 675.767, ('mrg2', 'pack'): 675.786, ('mrg2', 'd2h'): 675.796, ('mrg3', 'start'): 675.889, ('mrg3', 'h2d'): 675.961, ('mrg3', 'count'): 675.987, ('mrg3', 'scan'): 676.037, ('mrg3', 'merge'): 676.062, ('mrg3', 'pack'): 676.079, ('mrg3', 'd2h'): 676.089}",0.0485549680888652,0.1892544001108035
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,11968,0.0,,0.06099999999992178,0.24700000000007094,0.06299999999998818,0.10599999999999454,0.3709999999999809,0.649,,,,,0.81,1.263,0.471,0.346,,0.39800000000002456,0.6200000000000045,1.08299999999997,0.28700000000003456,0.1570000000000391,"{('cu', 'start'): 672.773, ('cu', 'h2dmalloc'): 672.833, ('cu', 'h2d'): 672.85, ('cu', 'workest'): 672.911, ('cu', 'compute'): 673.158, ('cu', 'copy'): 673.221, ('cu', 'pack'): 673.248, ('cu', 'd2h'): 673.354, ('gust', 'start'): 673.431, ('gust', 'h2d'): 673.508, ('gust', 'count'): 673.532, ('gust', 'scan'): 673.571, ('gust', 'expand'): 673.609, ('gust', 'sort'): 673.869, ('gust', 'reduce'): 673.975, ('gust', 'final'): 674.103, ('gust', 'pack'): 674.128, ('gust', 'd2h'): 674.153, ('merge', 'start'): 674.247, ('merge', 'h2d'): 674.323, ('merge', 'count'): 674.345, ('merge', 'scan'): 674.383, ('merge', 'expand'): 674.554, ('merge', 'merge'): 675.255, ('merge', 'final'): 675.298, ('merge', 'compact'): 675.385, ('merge', 'pack'): 675.406, ('merge', 'd2h'): 675.424, ('mrg2', 'start'): 675.517, ('mrg2', 'h2d'): 675.591, ('mrg2', 'count'): 675.615, ('mrg2', 'scan'): 675.652, ('mrg2', 'merge'): 675.801, ('mrg2', 'final'): 675.836, ('mrg2', 'compact'): 675.859, ('mrg2', 'pack'): 675.878, ('mrg2', 'd2h'): 675.895, ('mrg3', 'start'): 675.995, ('mrg3', 'h2d'): 676.078, ('mrg3', 'count'): 676.117, ('mrg3', 'scan'): 676.169, ('mrg3', 'merge'): 676.217, ('mrg3', 'pack'): 676.235, ('mrg3', 'd2h'): 676.253}",0.032111071050167,0.4644383989507332
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,1292,0.0,,0.05600000000004002,0.15999999999996817,0.05600000000004002,0.026000000000067303,0.2720000000000482,0.475,,,,,0.501,0.419,0.358,0.287,,0.29200000000003,0.3149999999999409,0.2480000000000473,0.18800000000010186,0.12100000000009459,"{('cu', 'start'): 671.903, ('cu', 'h2dmalloc'): 671.963, ('cu', 'h2d'): 671.978, ('cu', 'workest'): 672.034, ('cu', 'compute'): 672.194, ('cu', 'copy'): 672.25, ('cu', 'pack'): 672.27, ('cu', 'd2h'): 672.296, ('gust', 'start'): 672.385, ('gust', 'h2d'): 672.461, ('gust', 'count'): 672.482, ('gust', 'scan'): 672.521, ('gust', 'expand'): 672.546, ('gust', 'sort'): 672.656, ('gust', 'reduce'): 672.699, ('gust', 'final'): 672.755, ('gust', 'pack'): 672.776, ('gust', 'd2h'): 672.786, ('merge', 'start'): 672.893, ('merge', 'h2d'): 672.971, ('merge', 'count'): 672.993, ('merge', 'scan'): 673.029, ('merge', 'expand'): 673.065, ('merge', 'merge'): 673.14, ('merge', 'final'): 673.179, ('merge', 'compact'): 673.202, ('merge', 'pack'): 673.219, ('merge', 'd2h'): 673.229, ('mrg2', 'start'): 673.317, ('mrg2', 'h2d'): 673.387, ('mrg2', 'count'): 673.407, ('mrg2', 'scan'): 673.442, ('mrg2', 'merge'): 673.498, ('mrg2', 'final'): 673.533, ('mrg2', 'compact'): 673.557, ('mrg2', 'pack'): 673.575, ('mrg2', 'd2h'): 673.586, ('mrg3', 'start'): 673.681, ('mrg3', 'h2d'): 673.752, ('mrg3', 'count'): 673.777, ('mrg3', 'scan'): 673.826, ('mrg3', 'merge'): 673.855, ('mrg3', 'pack'): 673.873, ('mrg3', 'd2h'): 673.884}",0.0481798779219388,0.2980447991052642
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,1793,0.0,,0.057999999999992724,0.15300000000002,0.055000000000063665,0.026000000000067303,0.2660000000000764,0.483,,,,,0.504,0.53,0.36,0.301,,0.2899999999999636,0.31999999999993634,0.35000000000002274,0.19300000000009732,0.13599999999996726,"{('cu', 'start'): 639.637, ('cu', 'h2dmalloc'): 639.706, ('cu', 'h2d'): 639.722, ('cu', 'workest'): 639.78, ('cu', 'compute'): 639.933, ('cu', 'copy'): 639.988, ('cu', 'pack'): 640.012, ('cu', 'd2h'): 640.038, ('gust', 'start'): 640.129, ('gust', 'h2d'): 640.205, ('gust', 'count'): 640.228, ('gust', 'scan'): 640.268, ('gust', 'expand'): 640.296, ('gust', 'sort'): 640.406, ('gust', 'reduce'): 640.449, ('gust', 'final'): 640.504, ('gust', 'pack'): 640.525, ('gust', 'd2h'): 640.535, ('merge', 'start'): 640.639, ('merge', 'h2d'): 640.723, ('merge', 'count'): 640.747, ('merge', 'scan'): 640.784, ('merge', 'expand'): 640.832, ('merge', 'merge'): 640.984, ('merge', 'final'): 641.023, ('merge', 'compact'): 641.052, ('merge', 'pack'): 641.073, ('merge', 'd2h'): 641.085, ('mrg2', 'start'): 641.174, ('mrg2', 'h2d'): 641.247, ('mrg2', 'count'): 641.269, ('mrg2', 'scan'): 641.305, ('mrg2', 'merge'): 641.361, ('mrg2', 'final'): 641.396, ('mrg2', 'compact'): 641.423, ('mrg2', 'pack'): 641.44, ('mrg2', 'd2h'): 641.451, ('mrg3', 'start'): 641.54, ('mrg3', 'h2d'): 641.61, ('mrg3', 'count'): 641.638, ('mrg3', 'scan'): 641.696, ('mrg3', 'merge'): 641.727, ('mrg3', 'pack'): 641.746, ('mrg3', 'd2h'): 641.757}",0.0485938508063554,0.2547328001121059
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,7245,0.0,,0.06000000000005912,0.17399999999997817,0.05600000000004002,0.028999999999996362,0.2900000000000773,0.523,,,,,0.55,0.551,0.405,0.326,,0.3120000000000118,0.3420000000000982,0.37199999999995725,0.21400000000005548,0.14400000000000546,"{('cu', 'start'): 676.265, ('cu', 'h2dmalloc'): 676.334, ('cu', 'h2d'): 676.362, ('cu', 'workest'): 676.422, ('cu', 'compute'): 676.596, ('cu', 'copy'): 676.652, ('cu', 'pack'): 676.674, ('cu', 'd2h'): 676.703, ('gust', 'start'): 676.797, ('gust', 'h2d'): 676.882, ('gust', 'count'): 676.904, ('gust', 'scan'): 676.944, ('gust', 'expand'): 676.975, ('gust', 'sort'): 677.105, ('gust', 'reduce'): 677.147, ('gust', 'final'): 677.203, ('gust', 'pack'): 677.224, ('gust', 'd2h'): 677.246, ('merge', 'start'): 677.353, ('merge', 'h2d'): 677.436, ('merge', 'count'): 677.458, ('merge', 'scan'): 677.495, ('merge', 'expand'): 677.558, ('merge', 'merge'): 677.728, ('merge', 'final'): 677.767, ('merge', 'compact'): 677.79, ('merge', 'pack'): 677.808, ('merge', 'd2h'): 677.822, ('mrg2', 'start'): 677.913, ('mrg2', 'h2d'): 677.992, ('mrg2', 'count'): 678.015, ('mrg2', 'scan'): 678.05, ('mrg2', 'merge'): 678.114, ('mrg2', 'final'): 678.162, ('mrg2', 'compact'): 678.187, ('mrg2', 'pack'): 678.206, ('mrg2', 'd2h'): 678.22, ('mrg3', 'start'): 678.322, ('mrg3', 'h2d'): 678.405, ('mrg3', 'count'): 678.439, ('mrg3', 'scan'): 678.491, ('mrg3', 'merge'): 678.531, ('mrg3', 'pack'): 678.549, ('mrg3', 'd2h'): 678.564}",0.0504700001329183,0.2715679998742416
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,275,0.0,,0.07299999999997908,0.16800000000000637,0.07000000000005002,0.03499999999996817,0.31100000000003547,0.576,,,,,0.536,0.482,0.429,0.375,,0.34000000000003183,0.30700000000001637,0.2599999999999909,0.21699999999998454,0.16399999999998727,"{('cu', 'start'): 668.234, ('cu', 'h2dmalloc'): 668.313, ('cu', 'h2d'): 668.331, ('cu', 'workest'): 668.404, ('cu', 'compute'): 668.572, ('cu', 'copy'): 668.642, ('cu', 'pack'): 668.671, ('cu', 'd2h'): 668.706, ('gust', 'start'): 668.823, ('gust', 'h2d'): 668.919, ('gust', 'count'): 668.947, ('gust', 'scan'): 668.999, ('gust', 'expand'): 669.03, ('gust', 'sort'): 669.086, ('gust', 'reduce'): 669.137, ('gust', 'final'): 669.198, ('gust', 'pack'): 669.226, ('gust', 'd2h'): 669.239, ('merge', 'start'): 669.368, ('merge', 'h2d'): 669.471, ('merge', 'count'): 669.502, ('merge', 'scan'): 669.551, ('merge', 'expand'): 669.584, ('merge', 'merge'): 669.625, ('merge', 'final'): 669.673, ('merge', 'compact'): 669.703, ('merge', 'pack'): 669.731, ('merge', 'd2h'): 669.743, ('mrg2', 'start'): 669.859, ('mrg2', 'h2d'): 669.952, ('mrg2', 'count'): 669.979, ('mrg2', 'scan'): 670.028, ('mrg2', 'merge'): 670.068, ('mrg2', 'final'): 670.112, ('mrg2', 'compact'): 670.142, ('mrg2', 'pack'): 670.169, ('mrg2', 'd2h'): 670.181, ('mrg3', 'start'): 670.296, ('mrg3', 'h2d'): 670.385, ('mrg3', 'count'): 670.415, ('mrg3', 'scan'): 670.49, ('mrg3', 'merge'): 670.521, ('mrg3', 'pack'): 670.549, ('mrg3', 'd2h'): 670.562}",0.048565911129117,0.1949023998808115
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,1920,0.0,,0.07299999999997908,0.16400000000010095,0.06899999999995998,0.03499999999996817,0.30600000000004,0.565,,,,,0.621,0.498,0.451,0.354,,0.33400000000006,0.39200000000005275,0.28099999999994907,0.22899999999992815,0.15099999999995362,"{('cu', 'start'): 665.783, ('cu', 'h2dmalloc'): 665.86, ('cu', 'h2d'): 665.881, ('cu', 'workest'): 665.954, ('cu', 'compute'): 666.118, ('cu', 'copy'): 666.187, ('cu', 'pack'): 666.215, ('cu', 'd2h'): 666.25, ('gust', 'start'): 666.361, ('gust', 'h2d'): 666.454, ('gust', 'count'): 666.483, ('gust', 'scan'): 666.54, ('gust', 'expand'): 666.571, ('gust', 'sort'): 666.698, ('gust', 'reduce'): 666.75, ('gust', 'final'): 666.815, ('gust', 'pack'): 666.846, ('gust', 'd2h'): 666.859, ('merge', 'start'): 666.993, ('merge', 'h2d'): 667.091, ('merge', 'count'): 667.12, ('merge', 'scan'): 667.171, ('merge', 'expand'): 667.209, ('merge', 'merge'): 667.27, ('merge', 'final'): 667.316, ('merge', 'compact'): 667.346, ('merge', 'pack'): 667.372, ('merge', 'd2h'): 667.385, ('mrg2', 'start'): 667.501, ('mrg2', 'h2d'): 667.604, ('mrg2', 'count'): 667.633, ('mrg2', 'scan'): 667.684, ('mrg2', 'merge'): 667.733, ('mrg2', 'final'): 667.776, ('mrg2', 'compact'): 667.806, ('mrg2', 'pack'): 667.833, ('mrg2', 'd2h'): 667.846, ('mrg3', 'start'): 667.963, ('mrg3', 'h2d'): 668.051, ('mrg3', 'count'): 668.085, ('mrg3', 'scan'): 668.144, ('mrg3', 'merge'): 668.176, ('mrg3', 'pack'): 668.202, ('mrg3', 'd2h'): 668.215}",0.0494441483169794,0.2976672001881525
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,15631,0.0,,0.05600000000004002,0.17799999999999727,0.053999999999973625,0.03300000000001546,0.2880000000000109,0.499,,,,,0.573,1.743,0.544,0.38,,0.30600000000004,0.3709999999999809,1.5289999999999964,0.34199999999998454,0.18999999999994088,"{('cu', 'start'): 690.58, ('cu', 'h2dmalloc'): 690.643, ('cu', 'h2d'): 690.66, ('cu', 'workest'): 690.716, ('cu', 'compute'): 690.894, ('cu', 'copy'): 690.948, ('cu', 'pack'): 690.966, ('cu', 'd2h'): 690.999, ('gust', 'start'): 691.085, ('gust', 'h2d'): 691.163, ('gust', 'count'): 691.189, ('gust', 'scan'): 691.229, ('gust', 'expand'): 691.272, ('gust', 'sort'): 691.415, ('gust', 'reduce'): 691.458, ('gust', 'final'): 691.515, ('gust', 'pack'): 691.534, ('gust', 'd2h'): 691.561, ('merge', 'start'): 691.665, ('merge', 'h2d'): 691.748, ('merge', 'count'): 691.771, ('merge', 'scan'): 691.808, ('merge', 'expand'): 691.945, ('merge', 'merge'): 693.187, ('merge', 'final'): 693.232, ('merge', 'compact'): 693.259, ('merge', 'pack'): 693.277, ('merge', 'd2h'): 693.301, ('mrg2', 'start'): 693.421, ('mrg2', 'h2d'): 693.514, ('mrg2', 'count'): 693.54, ('mrg2', 'scan'): 693.579, ('mrg2', 'merge'): 693.779, ('mrg2', 'final'): 693.814, ('mrg2', 'compact'): 693.838, ('mrg2', 'pack'): 693.856, ('mrg2', 'd2h'): 693.875, ('mrg3', 'start'): 693.968, ('mrg3', 'h2d'): 694.043, ('mrg3', 'count'): 694.102, ('mrg3', 'scan'): 694.155, ('mrg3', 'merge'): 694.213, ('mrg3', 'pack'): 694.233, ('mrg3', 'd2h'): 694.252}",0.0415011309087276,0.3447871992597356
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,1317,0.0,,0.05600000000004002,0.14999999999997726,0.06299999999998818,0.024999999999977263,0.26900000000000546,0.478,,,,,0.5,0.404,0.347,0.29,,0.29500000000007276,0.3120000000000118,0.22200000000009368,0.17499999999995453,0.1229999999999336,"{('cu', 'start'): 672.497, ('cu', 'h2dmalloc'): 672.559, ('cu', 'h2d'): 672.573, ('cu', 'workest'): 672.629, ('cu', 'compute'): 672.779, ('cu', 'copy'): 672.842, ('cu', 'pack'): 672.868, ('cu', 'd2h'): 672.893, ('gust', 'start'): 672.985, ('gust', 'h2d'): 673.064, ('gust', 'count'): 673.086, ('gust', 'scan'): 673.124, ('gust', 'expand'): 673.148, ('gust', 'sort'): 673.26, ('gust', 'reduce'): 673.301, ('gust', 'final'): 673.355, ('gust', 'pack'): 673.376, ('gust', 'd2h'): 673.386, ('merge', 'start'): 673.491, ('merge', 'h2d'): 673.569, ('merge', 'count'): 673.591, ('merge', 'scan'): 673.627, ('merge', 'expand'): 673.656, ('merge', 'merge'): 673.71, ('merge', 'final'): 673.749, ('merge', 'compact'): 673.774, ('merge', 'pack'): 673.791, ('merge', 'd2h'): 673.802, ('mrg2', 'start'): 673.903, ('mrg2', 'h2d'): 673.979, ('mrg2', 'count'): 674.004, ('mrg2', 'scan'): 674.04, ('mrg2', 'merge'): 674.079, ('mrg2', 'final'): 674.111, ('mrg2', 'compact'): 674.136, ('mrg2', 'pack'): 674.154, ('mrg2', 'd2h'): 674.164, ('mrg3', 'start'): 674.255, ('mrg3', 'h2d'): 674.326, ('mrg3', 'count'): 674.354, ('mrg3', 'scan'): 674.403, ('mrg3', 'merge'): 674.432, ('mrg3', 'pack'): 674.449, ('mrg3', 'd2h'): 674.46}",0.031420961022377,0.1955200002528727
