matrix,n,density_pct,A_nnz,C_nnz_flop,merge3_ms,hash_ms,ratio
1138_bus,1138,0.4009,5192,23687.929701230227,0.111,0.19899999999999998,1.7927927927927927
494_bus,494,0.8851,2160,9444.534412955465,0.109,0.174,1.5963302752293578
662_bus,662,0.7156,3136,14855.73413897281,0.113,0.181,1.6017699115044246
685_bus,685,0.8384,3934,22593.220437956203,0.121,0.18899999999999997,1.56198347107438
arc130,130,7.5858,1282,12642.492307692308,0.165,0.209,1.2666666666666666
ash292,292,2.9321,2500,21404.109589041094,0.103,0.173,1.6796116504854368
ash85,85,8.4152,608,4348.988235294118,0.092,0.17099999999999999,1.8586956521739129
bcspwr01,39,11.1769,170,741.025641025641,0.085,0.16199999999999998,1.9058823529411761
bcspwr02,49,8.9963,216,952.1632653061224,0.087,0.15599999999999997,1.7931034482758619
bcspwr03,118,4.266,594,2990.135593220339,0.103,0.177,1.7184466019417475
bcspwr04,274,2.5121,1886,12981.737226277372,0.102,0.19999999999999998,1.9607843137254901
bcspwr05,443,1.0527,2066,9635.115124153499,0.087,0.176,2.0229885057471266
bcspwr06,1454,0.3195,6754,31373.119669876203,0.124,0.206,1.661290322580645
bcspwr07,1612,0.2862,7436,34301.54838709677,0.127,0.19999999999999998,1.574803149606299
bcspwr08,1624,0.291,7674,36262.48522167488,0.131,0.25699999999999995,1.961832061068702
bcspwr09,1723,0.2774,8234,39349.24898432966,0.109,0.21399999999999997,1.9633027522935778
bcspwr10,5300,0.0966,27142,138997.76679245284,0.158,0.228,1.4430379746835444
bcsstk01,48,19.4444,448,4181.333333333333,0.088,0.204,2.3181818181818183
bcsstk02,66,101.5152,4422,296274.0,0.107,0.21799999999999997,2.037383177570093
bcsstk03,112,5.9949,752,5049.142857142857,0.085,0.16499999999999998,1.9411764705882348
bcsstk04,132,21.6942,3780,108245.45454545454,0.142,0.182,1.2816901408450705
bcsstk05,153,11.0043,2576,43371.08496732026,0.121,0.16799999999999998,1.3884297520661155
bcsstk06,420,4.6939,8280,163234.2857142857,0.132,0.20299999999999999,1.5378787878787876
bcsstk07,420,4.6939,8280,163234.2857142857,0.129,0.18499999999999997,1.4341085271317826
bcsstk08,1074,1.2167,14034,183382.82681564245,0.912,0.46699999999999997,0.5120614035087718
