matrix,n,density_pct,A_nnz,A_nnz_actual,max_row_nnz,avg_row_nnz,skew,C_nnz_flop,merge3_ms,hash_ms,ratio,hash_wins
1138_bus,1138,0.4009,5192,4054.0,18,3,5.052787370498273,23687,0.111,0.19899999999999998,1.7927927927927927,0
494_bus,494,0.8851,2160,1666.0,10,3,2.965186074429772,9444,0.109,0.174,1.5963302752293578,0
662_bus,662,0.7156,3136,2474.0,10,3,2.675828617623282,14855,0.113,0.181,1.6017699115044246,0
685_bus,685,0.8384,3934,3249.0,13,4,2.7408433364112037,22593,0.121,0.18899999999999997,1.56198347107438,0
arc130,130,7.5858,1282,1282.0,124,9,12.574102964118564,12642,0.165,0.209,1.2666666666666666,0
ash292,292,2.9321,2500,2208.0,14,7,1.8514492753623188,21404,0.103,0.173,1.6796116504854368,0
ash85,85,8.4152,608,523.0,10,6,1.6252390057361377,4348,0.092,0.17099999999999999,1.8586956521739129,0
bcspwr01,39,11.1769,170,131.0,6,3,1.7862595419847327,741,0.085,0.16199999999999998,1.9058823529411761,0
bcspwr02,49,8.9963,216,167.0,7,3,2.053892215568862,952,0.087,0.15599999999999997,1.7931034482758619,0
bcspwr03,118,4.266,594,476.0,10,4,2.4789915966386555,2990,0.103,0.177,1.7184466019417475,0
bcspwr04,274,2.5121,1886,1612.0,16,5,2.7196029776674937,12981,0.102,0.19999999999999998,1.9607843137254901,0
bcspwr05,443,1.0527,2066,1623.0,10,3,2.729513247073321,9635,0.087,0.176,2.0229885057471266,0
bcspwr06,1454,0.3195,6754,5300.0,13,3,3.5664150943396224,31373,0.124,0.206,1.661290322580645,0
bcspwr07,1612,0.2862,7436,5824.0,13,3,3.598214285714286,34301,0.127,0.19999999999999998,1.574803149606299,0
bcspwr08,1624,0.291,7674,6050.0,14,3,3.7580165289256198,36262,0.131,0.25699999999999995,1.961832061068702,0
bcspwr09,1723,0.2774,8234,6511.0,15,3,3.96943633850407,39349,0.109,0.21399999999999997,1.9633027522935778,0
bcspwr10,5300,0.0966,27142,21842.0,14,4,3.3971248054207486,138997,0.158,0.228,1.4430379746835444,0
bcsstk01,48,19.4444,448,400.0,12,8,1.44,4181,0.088,0.204,2.3181818181818183,0
bcsstk02,66,101.5152,4422,4356.0,66,66,1.0,296274,0.107,0.21799999999999997,2.037383177570093,0
bcsstk03,112,5.9949,752,640.0,6,5,1.05,5049,0.085,0.16499999999999998,1.9411764705882348,0
bcsstk04,132,21.6942,3780,3648.0,46,27,1.6644736842105263,108245,0.142,0.182,1.2816901408450705,0
bcsstk05,153,11.0043,2576,2423.0,24,15,1.515476681799422,43371,0.121,0.16799999999999998,1.3884297520661155,0
