class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,man_write,phases,cublas_ms
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,0.0,,0.043000000000006366,0.18200000000001637,0.036999999999920874,0.08100000000001728,0.2619999999999436,0.479,,,,,0.846,1.712,0.45,,"{('cu', 'start'): 592.104, ('cu', 'h2dmalloc'): 592.155, ('cu', 'h2d'): 592.168, ('cu', 'workest'): 592.211, ('cu', 'compute'): 592.393, ('cu', 'copy'): 592.43, ('cu', 'pack'): 592.444, ('cu', 'd2h'): 592.525, ('gust', 'start'): 592.593, ('gust', 'h2d'): 592.653, ('gust', 'count'): 592.673, ('gust', 'scan'): 592.708, ('gust', 'expand'): 592.789, ('gust', 'sort'): 593.017, ('gust', 'reduce'): 593.145, ('gust', 'final'): 593.298, ('gust', 'pack'): 593.314, ('gust', 'd2h'): 593.323, ('merge', 'start'): 593.449, ('merge', 'h2d'): 593.51, ('merge', 'count'): 593.529, ('merge', 'scan'): 593.56, ('merge', 'expand'): 594.001, ('merge', 'merge'): 594.85, ('merge', 'final'): 594.946, ('merge', 'compact'): 595.07, ('merge', 'pack'): 595.086, ('merge', 'd2h'): 595.096, ('mrg2', 'start'): 595.17, ('mrg2', 'h2d'): 595.23, ('mrg2', 'count'): 595.249, ('mrg2', 'scan'): 595.28, ('mrg2', 'merge'): 595.426, ('mrg2', 'final'): 595.458, ('mrg2', 'compact'): 595.531, ('mrg2', 'pack'): 595.547, ('mrg2', 'd2h'): 595.556}",0.0500601017847657
Dense,can_24,24,160,27.77777777777778,336,336,336,336,0.0,,0.03999999999996362,0.1449999999999818,0.04000000000007731,0.02299999999991087,0.22500000000002274,0.385,,,,,0.343,0.319,0.278,,"{('cu', 'start'): 567.234, ('cu', 'h2dmalloc'): 567.283, ('cu', 'h2d'): 567.293, ('cu', 'workest'): 567.333, ('cu', 'compute'): 567.478, ('cu', 'copy'): 567.518, ('cu', 'pack'): 567.532, ('cu', 'd2h'): 567.555, ('gust', 'start'): 567.628, ('gust', 'h2d'): 567.688, ('gust', 'count'): 567.704, ('gust', 'scan'): 567.735, ('gust', 'expand'): 567.755, ('gust', 'sort'): 567.796, ('gust', 'reduce'): 567.83, ('gust', 'final'): 567.877, ('gust', 'pack'): 567.89, ('gust', 'd2h'): 567.899, ('merge', 'start'): 567.98, ('merge', 'h2d'): 568.038, ('merge', 'count'): 568.054, ('merge', 'scan'): 568.083, ('merge', 'expand'): 568.108, ('merge', 'merge'): 568.151, ('merge', 'final'): 568.185, ('merge', 'compact'): 568.206, ('merge', 'pack'): 568.221, ('merge', 'd2h'): 568.231, ('mrg2', 'start'): 568.306, ('mrg2', 'h2d'): 568.368, ('mrg2', 'count'): 568.383, ('mrg2', 'scan'): 568.414, ('mrg2', 'merge'): 568.444, ('mrg2', 'final'): 568.473, ('mrg2', 'compact'): 568.493, ('mrg2', 'pack'): 568.506, ('mrg2', 'd2h'): 568.514}",0.0490549718961119
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,0.0,,0.04899999999997817,0.20899999999994634,0.04600000000004911,0.07499999999993179,0.3039999999999736,0.505,,,,,0.619,1.14,0.385,,"{('cu', 'start'): 572.095, ('cu', 'h2dmalloc'): 572.145, ('cu', 'h2d'): 572.157, ('cu', 'workest'): 572.206, ('cu', 'compute'): 572.415, ('cu', 'copy'): 572.461, ('cu', 'pack'): 572.475, ('cu', 'd2h'): 572.55, ('gust', 'start'): 572.611, ('gust', 'h2d'): 572.669, ('gust', 'count'): 572.687, ('gust', 'scan'): 572.718, ('gust', 'expand'): 572.75, ('gust', 'sort'): 572.96, ('gust', 'reduce'): 573.048, ('gust', 'final'): 573.141, ('gust', 'pack'): 573.156, ('gust', 'd2h'): 573.166, ('merge', 'start'): 573.239, ('merge', 'h2d'): 573.296, ('merge', 'count'): 573.314, ('merge', 'scan'): 573.343, ('merge', 'expand'): 573.506, ('merge', 'merge'): 574.182, ('merge', 'final'): 574.219, ('merge', 'compact'): 574.289, ('merge', 'pack'): 574.304, ('merge', 'd2h'): 574.318, ('mrg2', 'start'): 574.388, ('mrg2', 'h2d'): 574.449, ('mrg2', 'count'): 574.465, ('mrg2', 'scan'): 574.497, ('mrg2', 'merge'): 574.637, ('mrg2', 'final'): 574.665, ('mrg2', 'compact'): 574.685, ('mrg2', 'pack'): 574.699, ('mrg2', 'd2h'): 574.71}",0.0512358965352177
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,0.0,,0.051000000000044565,0.15200000000004366,0.05199999999990723,0.026000000000067303,0.25499999999999545,0.453,,,,,0.449,0.382,0.328,,"{('cu', 'start'): 577.045, ('cu', 'h2dmalloc'): 577.111, ('cu', 'h2d'): 577.127, ('cu', 'workest'): 577.178, ('cu', 'compute'): 577.33, ('cu', 'copy'): 577.382, ('cu', 'pack'): 577.4, ('cu', 'd2h'): 577.426, ('gust', 'start'): 577.512, ('gust', 'h2d'): 577.589, ('gust', 'count'): 577.608, ('gust', 'scan'): 577.643, ('gust', 'expand'): 577.662, ('gust', 'sort'): 577.768, ('gust', 'reduce'): 577.803, ('gust', 'final'): 577.854, ('gust', 'pack'): 577.87, ('gust', 'd2h'): 577.88, ('merge', 'start'): 577.968, ('merge', 'h2d'): 578.043, ('merge', 'count'): 578.061, ('merge', 'scan'): 578.095, ('merge', 'expand'): 578.126, ('merge', 'merge'): 578.193, ('merge', 'final'): 578.23, ('merge', 'compact'): 578.252, ('merge', 'pack'): 578.268, ('merge', 'd2h'): 578.277, ('mrg2', 'start'): 578.364, ('mrg2', 'h2d'): 578.439, ('mrg2', 'count'): 578.458, ('mrg2', 'scan'): 578.495, ('mrg2', 'merge'): 578.537, ('mrg2', 'final'): 578.568, ('mrg2', 'compact'): 578.592, ('mrg2', 'pack'): 578.609, ('mrg2', 'd2h'): 578.618}",0.0188729027286171
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,0.0,,0.04800000000000182,0.13900000000001,0.04200000000003001,0.028999999999996362,0.22900000000004184,0.418,,,,,0.429,0.458,0.318,,"{('cu', 'start'): 576.504, ('cu', 'h2dmalloc'): 576.569, ('cu', 'h2d'): 576.584, ('cu', 'workest'): 576.632, ('cu', 'compute'): 576.771, ('cu', 'copy'): 576.813, ('cu', 'pack'): 576.827, ('cu', 'd2h'): 576.856, ('gust', 'start'): 576.936, ('gust', 'h2d'): 577.008, ('gust', 'count'): 577.027, ('gust', 'scan'): 577.06, ('gust', 'expand'): 577.081, ('gust', 'sort'): 577.183, ('gust', 'reduce'): 577.218, ('gust', 'final'): 577.264, ('gust', 'pack'): 577.278, ('gust', 'd2h'): 577.289, ('merge', 'start'): 577.372, ('merge', 'h2d'): 577.443, ('merge', 'count'): 577.461, ('merge', 'scan'): 577.494, ('merge', 'expand'): 577.535, ('merge', 'merge'): 577.682, ('merge', 'final'): 577.715, ('merge', 'compact'): 577.735, ('merge', 'pack'): 577.749, ('merge', 'd2h'): 577.758, ('mrg2', 'start'): 577.845, ('mrg2', 'h2d'): 577.916, ('mrg2', 'count'): 577.934, ('mrg2', 'scan'): 577.966, ('mrg2', 'merge'): 578.018, ('mrg2', 'final'): 578.047, ('mrg2', 'compact'): 578.067, ('mrg2', 'pack'): 578.081, ('mrg2', 'd2h'): 578.089}",0.0381210120394825
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,0.0,,0.04800000000000182,0.13900000000001,0.04500000000007276,0.02400000000000091,0.23200000000008458,0.402,,,,,0.434,0.484,0.316,,"{('cu', 'start'): 571.101, ('cu', 'h2dmalloc'): 571.151, ('cu', 'h2d'): 571.165, ('cu', 'workest'): 571.213, ('cu', 'compute'): 571.352, ('cu', 'copy'): 571.397, ('cu', 'pack'): 571.411, ('cu', 'd2h'): 571.435, ('gust', 'start'): 571.512, ('gust', 'h2d'): 571.576, ('gust', 'count'): 571.593, ('gust', 'scan'): 571.625, ('gust', 'expand'): 571.648, ('gust', 'sort'): 571.767, ('gust', 'reduce'): 571.8, ('gust', 'final'): 571.848, ('gust', 'pack'): 571.864, ('gust', 'd2h'): 571.874, ('merge', 'start'): 571.955, ('merge', 'h2d'): 572.018, ('merge', 'count'): 572.036, ('merge', 'scan'): 572.067, ('merge', 'expand'): 572.126, ('merge', 'merge'): 572.29, ('merge', 'final'): 572.323, ('merge', 'compact'): 572.344, ('merge', 'pack'): 572.357, ('merge', 'd2h'): 572.37, ('mrg2', 'start'): 572.446, ('mrg2', 'h2d'): 572.512, ('mrg2', 'count'): 572.529, ('mrg2', 'scan'): 572.56, ('mrg2', 'merge'): 572.618, ('mrg2', 'final'): 572.647, ('mrg2', 'compact'): 572.666, ('mrg2', 'pack'): 572.68, ('mrg2', 'd2h'): 572.691}",0.0390060013160109
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,0.0,,0.07000000000005002,0.15199999999992997,0.05300000000011096,0.026000000000067303,0.27500000000009095,0.518,,,,,0.47,0.412,0.378,,"{('cu', 'start'): 675.362, ('cu', 'h2dmalloc'): 675.446, ('cu', 'h2d'): 675.463, ('cu', 'workest'): 675.533, ('cu', 'compute'): 675.685, ('cu', 'copy'): 675.738, ('cu', 'pack'): 675.756, ('cu', 'd2h'): 675.782, ('gust', 'start'): 675.901, ('gust', 'h2d'): 676.0, ('gust', 'count'): 676.03, ('gust', 'scan'): 676.074, ('gust', 'expand'): 676.094, ('gust', 'sort'): 676.14, ('gust', 'reduce'): 676.178, ('gust', 'final'): 676.233, ('gust', 'pack'): 676.251, ('gust', 'd2h'): 676.261, ('merge', 'start'): 676.382, ('merge', 'h2d'): 676.478, ('merge', 'count'): 676.5, ('merge', 'scan'): 676.541, ('merge', 'expand'): 676.561, ('merge', 'merge'): 676.592, ('merge', 'final'): 676.633, ('merge', 'compact'): 676.664, ('merge', 'pack'): 676.683, ('merge', 'd2h'): 676.693, ('mrg2', 'start'): 676.806, ('mrg2', 'h2d'): 676.897, ('mrg2', 'count'): 676.917, ('mrg2', 'scan'): 676.956, ('mrg2', 'merge'): 676.986, ('mrg2', 'final'): 677.025, ('mrg2', 'compact'): 677.049, ('mrg2', 'pack'): 677.071, ('mrg2', 'd2h'): 677.082}",0.0501099275425076
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,0.0,,0.045999999999935426,0.14400000000000546,0.05200000000002092,0.024999999999977263,0.2419999999999618,0.401,,,,,0.419,0.333,0.285,,"{('cu', 'start'): 580.144, ('cu', 'h2dmalloc'): 580.193, ('cu', 'h2d'): 580.205, ('cu', 'workest'): 580.251, ('cu', 'compute'): 580.395, ('cu', 'copy'): 580.447, ('cu', 'pack'): 580.462, ('cu', 'd2h'): 580.487, ('gust', 'start'): 580.557, ('gust', 'h2d'): 580.618, ('gust', 'count'): 580.635, ('gust', 'scan'): 580.67, ('gust', 'expand'): 580.689, ('gust', 'sort'): 580.796, ('gust', 'reduce'): 580.831, ('gust', 'final'): 580.878, ('gust', 'pack'): 580.893, ('gust', 'd2h'): 580.902, ('merge', 'start'): 580.984, ('merge', 'h2d'): 581.048, ('merge', 'count'): 581.065, ('merge', 'scan'): 581.099, ('merge', 'expand'): 581.125, ('merge', 'merge'): 581.173, ('merge', 'final'): 581.207, ('merge', 'compact'): 581.229, ('merge', 'pack'): 581.243, ('merge', 'd2h'): 581.254, ('mrg2', 'start'): 581.324, ('mrg2', 'h2d'): 581.382, ('mrg2', 'count'): 581.398, ('mrg2', 'scan'): 581.437, ('mrg2', 'merge'): 581.473, ('mrg2', 'final'): 581.502, ('mrg2', 'compact'): 581.522, ('mrg2', 'pack'): 581.538, ('mrg2', 'd2h'): 581.547}",0.0492900144308805
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,0.0,,0.04899999999997817,0.1570000000000391,0.043000000000006366,0.02800000000002001,0.24900000000002365,0.415,,,,,0.455,1.628,0.449,,"{('cu', 'start'): 571.741, ('cu', 'h2dmalloc'): 571.791, ('cu', 'h2d'): 571.804, ('cu', 'workest'): 571.853, ('cu', 'compute'): 572.01, ('cu', 'copy'): 572.053, ('cu', 'pack'): 572.067, ('cu', 'd2h'): 572.095, ('gust', 'start'): 572.165, ('gust', 'h2d'): 572.225, ('gust', 'count'): 572.245, ('gust', 'scan'): 572.278, ('gust', 'expand'): 572.314, ('gust', 'sort'): 572.433, ('gust', 'reduce'): 572.468, ('gust', 'final'): 572.518, ('gust', 'pack'): 572.532, ('gust', 'd2h'): 572.547, ('merge', 'start'): 572.628, ('merge', 'h2d'): 572.687, ('merge', 'count'): 572.707, ('merge', 'scan'): 572.742, ('merge', 'expand'): 572.875, ('merge', 'merge'): 574.102, ('merge', 'final'): 574.136, ('merge', 'compact'): 574.156, ('merge', 'pack'): 574.17, ('merge', 'd2h'): 574.184, ('mrg2', 'start'): 574.264, ('mrg2', 'h2d'): 574.322, ('mrg2', 'count'): 574.342, ('mrg2', 'scan'): 574.372, ('mrg2', 'merge'): 574.564, ('mrg2', 'final'): 574.593, ('mrg2', 'compact'): 574.613, ('mrg2', 'pack'): 574.627, ('mrg2', 'd2h'): 574.641}",0.0406139297410845
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,0.0,,0.049999999999954525,0.15200000000004366,0.05099999999993088,0.025999999999953616,0.25299999999992906,0.44,,,,,0.476,0.378,0.328,,"{('cu', 'start'): 586.123, ('cu', 'h2dmalloc'): 586.181, ('cu', 'h2d'): 586.195, ('cu', 'workest'): 586.245, ('cu', 'compute'): 586.397, ('cu', 'copy'): 586.448, ('cu', 'pack'): 586.466, ('cu', 'd2h'): 586.492, ('gust', 'start'): 586.577, ('gust', 'h2d'): 586.646, ('gust', 'count'): 586.666, ('gust', 'scan'): 586.704, ('gust', 'expand'): 586.728, ('gust', 'sort'): 586.838, ('gust', 'reduce'): 586.881, ('gust', 'final'): 586.933, ('gust', 'pack'): 586.957, ('gust', 'd2h'): 586.967, ('merge', 'start'): 587.067, ('merge', 'h2d'): 587.136, ('merge', 'count'): 587.157, ('merge', 'scan'): 587.193, ('merge', 'expand'): 587.222, ('merge', 'merge'): 587.276, ('merge', 'final'): 587.313, ('merge', 'compact'): 587.338, ('merge', 'pack'): 587.356, ('merge', 'd2h'): 587.366, ('mrg2', 'start'): 587.457, ('mrg2', 'h2d'): 587.524, ('mrg2', 'count'): 587.543, ('mrg2', 'scan'): 587.581, ('mrg2', 'merge'): 587.619, ('mrg2', 'final'): 587.653, ('mrg2', 'compact'): 587.676, ('mrg2', 'pack'): 587.695, ('mrg2', 'd2h'): 587.705}",0.0377679243683815
