class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,man_write,phases
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,0.0,,0.09199999999998454,0.20199999999999818,0.03899999999998727,0.9069999999999823,0.33299999999997,1.407,,,,,1.829,2.738,1.756,,"{('cu', 'start'): 494.415, ('cu', 'h2dmalloc'): 494.476, ('cu', 'h2d'): 494.494, ('cu', 'workest'): 494.586, ('cu', 'compute'): 494.788, ('cu', 'copy'): 494.827, ('cu', 'pack'): 494.843, ('cu', 'd2h'): 495.75, ('gust', 'start'): 496.088, ('gust', 'h2d'): 496.169, ('gust', 'count'): 496.195, ('gust', 'scan'): 496.236, ('gust', 'expand'): 496.355, ('gust', 'sort'): 496.601, ('gust', 'reduce'): 496.736, ('gust', 'final'): 496.894, ('gust', 'pack'): 496.911, ('gust', 'd2h'): 497.775, ('merge', 'start'): 498.186, ('merge', 'h2d'): 498.27, ('merge', 'count'): 498.296, ('merge', 'scan'): 498.335, ('merge', 'expand'): 498.811, ('merge', 'merge'): 499.669, ('merge', 'final'): 499.768, ('merge', 'compact'): 499.89, ('merge', 'pack'): 499.907, ('merge', 'd2h'): 500.831, ('mrg2', 'start'): 501.191, ('mrg2', 'h2d'): 501.274, ('mrg2', 'count'): 501.3, ('mrg2', 'scan'): 501.34, ('mrg2', 'merge'): 501.521, ('mrg2', 'final'): 501.554, ('mrg2', 'compact'): 501.643, ('mrg2', 'pack'): 501.668, ('mrg2', 'd2h'): 502.829}"
Dense,can_24,24,160,27.77777777777778,336,336,336,336,0.0,,0.05700000000001637,0.14999999999997726,0.04199999999997317,0.61099999999999,0.2489999999999668,1.009,,,,,0.977,0.938,0.924,,"{('cu', 'start'): 469.477, ('cu', 'h2dmalloc'): 469.535, ('cu', 'h2d'): 469.543, ('cu', 'workest'): 469.6, ('cu', 'compute'): 469.75, ('cu', 'copy'): 469.792, ('cu', 'pack'): 469.807, ('cu', 'd2h'): 470.418, ('gust', 'start'): 470.745, ('gust', 'h2d'): 470.81, ('gust', 'count'): 470.829, ('gust', 'scan'): 470.865, ('gust', 'expand'): 470.885, ('gust', 'sort'): 470.926, ('gust', 'reduce'): 470.962, ('gust', 'final'): 471.008, ('gust', 'pack'): 471.021, ('gust', 'd2h'): 471.635, ('merge', 'start'): 471.972, ('merge', 'h2d'): 472.037, ('merge', 'count'): 472.057, ('merge', 'scan'): 472.091, ('merge', 'expand'): 472.116, ('merge', 'merge'): 472.159, ('merge', 'final'): 472.194, ('merge', 'compact'): 472.214, ('merge', 'pack'): 472.228, ('merge', 'd2h'): 472.824, ('mrg2', 'start'): 473.155, ('mrg2', 'h2d'): 473.22, ('mrg2', 'count'): 473.24, ('mrg2', 'scan'): 473.276, ('mrg2', 'merge'): 473.307, ('mrg2', 'final'): 473.336, ('mrg2', 'compact'): 473.357, ('mrg2', 'pack'): 473.372, ('mrg2', 'd2h'): 473.996}"
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,0.0,,0.055999999999983174,0.22500000000002274,0.04800000000000182,0.6940000000000168,0.32900000000000773,1.176,,,,,1.394,1.899,1.034,,"{('cu', 'start'): 476.846, ('cu', 'h2dmalloc'): 476.904, ('cu', 'h2d'): 476.916, ('cu', 'workest'): 476.972, ('cu', 'compute'): 477.197, ('cu', 'copy'): 477.245, ('cu', 'pack'): 477.26, ('cu', 'd2h'): 477.954, ('gust', 'start'): 478.27, ('gust', 'h2d'): 478.347, ('gust', 'count'): 478.368, ('gust', 'scan'): 478.405, ('gust', 'expand'): 478.44, ('gust', 'sort'): 478.683, ('gust', 'reduce'): 478.772, ('gust', 'final'): 478.875, ('gust', 'pack'): 478.89, ('gust', 'd2h'): 479.573, ('merge', 'start'): 479.948, ('merge', 'h2d'): 480.027, ('merge', 'count'): 480.055, ('merge', 'scan'): 480.099, ('merge', 'expand'): 480.266, ('merge', 'merge'): 480.989, ('merge', 'final'): 481.029, ('merge', 'compact'): 481.108, ('merge', 'pack'): 481.127, ('merge', 'd2h'): 481.762, ('mrg2', 'start'): 482.095, ('mrg2', 'h2d'): 482.165, ('mrg2', 'count'): 482.186, ('mrg2', 'scan'): 482.222, ('mrg2', 'merge'): 482.366, ('mrg2', 'final'): 482.397, ('mrg2', 'compact'): 482.419, ('mrg2', 'pack'): 482.434, ('mrg2', 'd2h'): 483.046}"
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,0.0,,0.051999999999964075,0.1490000000000009,0.045000000000015916,0.6050000000000182,0.2459999999999809,1.003,,,,,1.05,0.981,0.926,,"{('cu', 'start'): 468.674, ('cu', 'h2dmalloc'): 468.731, ('cu', 'h2d'): 468.74, ('cu', 'workest'): 468.792, ('cu', 'compute'): 468.941, ('cu', 'copy'): 468.986, ('cu', 'pack'): 469.0, ('cu', 'd2h'): 469.605, ('gust', 'start'): 469.936, ('gust', 'h2d'): 470.001, ('gust', 'count'): 470.022, ('gust', 'scan'): 470.058, ('gust', 'expand'): 470.078, ('gust', 'sort'): 470.182, ('gust', 'reduce'): 470.217, ('gust', 'final'): 470.267, ('gust', 'pack'): 470.281, ('gust', 'd2h'): 470.893, ('merge', 'start'): 471.234, ('merge', 'h2d'): 471.299, ('merge', 'count'): 471.318, ('merge', 'scan'): 471.353, ('merge', 'expand'): 471.384, ('merge', 'merge'): 471.451, ('merge', 'final'): 471.485, ('merge', 'compact'): 471.506, ('merge', 'pack'): 471.522, ('merge', 'd2h'): 472.129, ('mrg2', 'start'): 472.468, ('mrg2', 'h2d'): 472.535, ('mrg2', 'count'): 472.553, ('mrg2', 'scan'): 472.588, ('mrg2', 'merge'): 472.631, ('mrg2', 'final'): 472.66, ('mrg2', 'compact'): 472.68, ('mrg2', 'pack'): 472.694, ('mrg2', 'd2h'): 473.311}"
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,0.0,,0.08900000000005548,0.16199999999997772,0.057999999999992724,0.7869999999999777,0.3090000000000259,1.3,,,,,1.35,1.342,1.203,,"{('cu', 'start'): 510.066, ('cu', 'h2dmalloc'): 510.142, ('cu', 'h2d'): 510.155, ('cu', 'workest'): 510.244, ('cu', 'compute'): 510.406, ('cu', 'copy'): 510.464, ('cu', 'pack'): 510.493, ('cu', 'd2h'): 511.28, ('gust', 'start'): 511.694, ('gust', 'h2d'): 511.778, ('gust', 'count'): 511.806, ('gust', 'scan'): 511.856, ('gust', 'expand'): 511.886, ('gust', 'sort'): 512.005, ('gust', 'reduce'): 512.053, ('gust', 'final'): 512.119, ('gust', 'pack'): 512.14, ('gust', 'd2h'): 512.934, ('merge', 'start'): 513.364, ('merge', 'h2d'): 513.447, ('merge', 'count'): 513.474, ('merge', 'scan'): 513.538, ('merge', 'expand'): 513.587, ('merge', 'merge'): 513.738, ('merge', 'final'): 513.783, ('merge', 'compact'): 513.81, ('merge', 'pack'): 513.831, ('merge', 'd2h'): 514.601, ('mrg2', 'start'): 515.023, ('mrg2', 'h2d'): 515.105, ('mrg2', 'count'): 515.13, ('mrg2', 'scan'): 515.176, ('mrg2', 'merge'): 515.233, ('mrg2', 'final'): 515.27, ('mrg2', 'compact'): 515.296, ('mrg2', 'pack'): 515.316, ('mrg2', 'd2h'): 516.121}"
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,0.0,,0.06599999999997408,0.1490000000000009,0.05200000000002092,0.7110000000000127,0.2669999999999959,1.153,,,,,1.197,1.238,1.08,,"{('cu', 'start'): 482.034, ('cu', 'h2dmalloc'): 482.109, ('cu', 'h2d'): 482.124, ('cu', 'workest'): 482.19, ('cu', 'compute'): 482.339, ('cu', 'copy'): 482.391, ('cu', 'pack'): 482.406, ('cu', 'd2h'): 483.117, ('gust', 'start'): 483.459, ('gust', 'h2d'): 483.542, ('gust', 'count'): 483.565, ('gust', 'scan'): 483.603, ('gust', 'expand'): 483.628, ('gust', 'sort'): 483.749, ('gust', 'reduce'): 483.785, ('gust', 'final'): 483.836, ('gust', 'pack'): 483.851, ('gust', 'd2h'): 484.566, ('merge', 'start'): 484.92, ('merge', 'h2d'): 485.006, ('merge', 'count'): 485.029, ('merge', 'scan'): 485.069, ('merge', 'expand'): 485.131, ('merge', 'merge'): 485.298, ('merge', 'final'): 485.332, ('merge', 'compact'): 485.354, ('merge', 'pack'): 485.369, ('merge', 'd2h'): 486.072, ('mrg2', 'start'): 486.461, ('mrg2', 'h2d'): 486.547, ('mrg2', 'count'): 486.568, ('mrg2', 'scan'): 486.606, ('mrg2', 'merge'): 486.667, ('mrg2', 'final'): 486.697, ('mrg2', 'compact'): 486.719, ('mrg2', 'pack'): 486.734, ('mrg2', 'd2h'): 487.452}"
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,0.0,,0.07200000000000273,0.1519999999999868,0.05299999999999727,0.7869999999999777,0.2769999999999868,1.237,,,,,1.236,1.206,1.618,,"{('cu', 'start'): 498.604, ('cu', 'h2dmalloc'): 498.673, ('cu', 'h2d'): 498.685, ('cu', 'workest'): 498.757, ('cu', 'compute'): 498.909, ('cu', 'copy'): 498.962, ('cu', 'pack'): 498.981, ('cu', 'd2h'): 499.768, ('gust', 'start'): 500.1, ('gust', 'h2d'): 500.174, ('gust', 'count'): 500.197, ('gust', 'scan'): 500.24, ('gust', 'expand'): 500.264, ('gust', 'sort'): 500.309, ('gust', 'reduce'): 500.353, ('gust', 'final'): 500.404, ('gust', 'pack'): 500.452, ('gust', 'd2h'): 501.244, ('merge', 'start'): 501.602, ('merge', 'h2d'): 501.679, ('merge', 'count'): 501.703, ('merge', 'scan'): 501.746, ('merge', 'expand'): 501.771, ('merge', 'merge'): 501.808, ('merge', 'final'): 501.847, ('merge', 'compact'): 501.874, ('merge', 'pack'): 501.893, ('merge', 'd2h'): 502.7, ('mrg2', 'start'): 503.233, ('mrg2', 'h2d'): 503.335, ('mrg2', 'count'): 503.36, ('mrg2', 'scan'): 503.416, ('mrg2', 'merge'): 503.448, ('mrg2', 'final'): 503.483, ('mrg2', 'compact'): 503.512, ('mrg2', 'pack'): 503.533, ('mrg2', 'd2h'): 504.732}"
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,0.0,,0.06099999999997863,0.15500000000002956,0.05099999999998772,0.6160000000000423,0.2669999999999959,1.047,,,,,1.098,1.004,0.957,,"{('cu', 'start'): 465.558, ('cu', 'h2dmalloc'): 465.619, ('cu', 'h2d'): 465.632, ('cu', 'workest'): 465.693, ('cu', 'compute'): 465.848, ('cu', 'copy'): 465.899, ('cu', 'pack'): 465.917, ('cu', 'd2h'): 466.533, ('gust', 'start'): 466.862, ('gust', 'h2d'): 466.937, ('gust', 'count'): 466.96, ('gust', 'scan'): 467.001, ('gust', 'expand'): 467.024, ('gust', 'sort'): 467.134, ('gust', 'reduce'): 467.178, ('gust', 'final'): 467.229, ('gust', 'pack'): 467.247, ('gust', 'd2h'): 467.867, ('merge', 'start'): 468.209, ('merge', 'h2d'): 468.284, ('merge', 'count'): 468.308, ('merge', 'scan'): 468.349, ('merge', 'expand'): 468.379, ('merge', 'merge'): 468.435, ('merge', 'final'): 468.473, ('merge', 'compact'): 468.498, ('merge', 'pack'): 468.515, ('merge', 'd2h'): 469.12, ('mrg2', 'start'): 469.459, ('mrg2', 'h2d'): 469.53, ('mrg2', 'count'): 469.553, ('mrg2', 'scan'): 469.592, ('mrg2', 'merge'): 469.633, ('mrg2', 'final'): 469.669, ('mrg2', 'compact'): 469.693, ('mrg2', 'pack'): 469.716, ('mrg2', 'd2h'): 470.324}"
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,0.0,,0.07200000000000273,0.15800000000001546,0.053999999999973625,0.8369999999999891,0.2839999999999918,1.297,,,,,1.367,2.63,1.393,,"{('cu', 'start'): 505.142, ('cu', 'h2dmalloc'): 505.21, ('cu', 'h2d'): 505.226, ('cu', 'workest'): 505.298, ('cu', 'compute'): 505.456, ('cu', 'copy'): 505.51, ('cu', 'pack'): 505.529, ('cu', 'd2h'): 506.366, ('gust', 'start'): 506.702, ('gust', 'h2d'): 506.779, ('gust', 'count'): 506.807, ('gust', 'scan'): 506.85, ('gust', 'expand'): 506.894, ('gust', 'sort'): 507.021, ('gust', 'reduce'): 507.067, ('gust', 'final'): 507.124, ('gust', 'pack'): 507.142, ('gust', 'd2h'): 507.976, ('merge', 'start'): 508.325, ('merge', 'h2d'): 508.401, ('merge', 'count'): 508.429, ('merge', 'scan'): 508.47, ('merge', 'expand'): 508.609, ('merge', 'merge'): 509.846, ('merge', 'final'): 509.886, ('merge', 'compact'): 509.913, ('merge', 'pack'): 509.931, ('merge', 'd2h'): 510.858, ('mrg2', 'start'): 511.219, ('mrg2', 'h2d'): 511.299, ('mrg2', 'count'): 511.326, ('mrg2', 'scan'): 511.367, ('mrg2', 'merge'): 511.573, ('mrg2', 'final'): 511.609, ('mrg2', 'compact'): 511.635, ('mrg2', 'pack'): 511.654, ('mrg2', 'd2h'): 512.512}"
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,0.0,,0.06200000000001182,0.146000000000015,0.045000000000015916,0.7769999999999868,0.25300000000004275,1.178,,,,,1.209,1.12,1.06,,"{('cu', 'start'): 485.336, ('cu', 'h2dmalloc'): 485.396, ('cu', 'h2d'): 485.405, ('cu', 'workest'): 485.467, ('cu', 'compute'): 485.613, ('cu', 'copy'): 485.658, ('cu', 'pack'): 485.672, ('cu', 'd2h'): 486.449, ('gust', 'start'): 486.773, ('gust', 'h2d'): 486.841, ('gust', 'count'): 486.862, ('gust', 'scan'): 486.899, ('gust', 'expand'): 486.92, ('gust', 'sort'): 487.024, ('gust', 'reduce'): 487.062, ('gust', 'final'): 487.113, ('gust', 'pack'): 487.128, ('gust', 'd2h'): 487.902, ('merge', 'start'): 488.238, ('merge', 'h2d'): 488.306, ('merge', 'count'): 488.326, ('merge', 'scan'): 488.361, ('merge', 'expand'): 488.388, ('merge', 'merge'): 488.438, ('merge', 'final'): 488.471, ('merge', 'compact'): 488.493, ('merge', 'pack'): 488.507, ('merge', 'd2h'): 489.28, ('mrg2', 'start'): 489.611, ('mrg2', 'h2d'): 489.677, ('mrg2', 'count'): 489.695, ('mrg2', 'scan'): 489.73, ('mrg2', 'merge'): 489.764, ('mrg2', 'final'): 489.792, ('mrg2', 'compact'): 489.813, ('mrg2', 'pack'): 489.827, ('mrg2', 'd2h'): 490.592}"
