name,n,A_nnz,cublas_ms,status
1138_bus,1138,4054,0.11489295866340399,ok
494_bus,494,1666,0.06610003765672445,ok
662_bus,662,2474,0.06282597314566374,ok
685_bus,685,3249,0.08611497469246387,ok
arc130,130,1282,0.040613929741084576,ok
ash292,292,2208,0.0631499569863081,ok
ash85,85,523,0.0377679243683815,ok
bcspwr01,39,131,0.05010992754250765,ok
bcspwr02,49,167,0.049954978749156,ok
bcspwr03,118,476,0.05094998050481081,ok
bcspwr04,274,1612,0.03421993460506201,ok
bcspwr05,443,1623,0.06437499541789293,ok
bcspwr06,1454,5300,0.22946600802242756,ok
bcspwr07,1612,5824,0.26243890170007944,ok
bcspwr08,1624,6050,0.26246998459100723,ok
bcspwr09,1723,6511,0.33715402241796255,ok
bcspwr10,5300,21842,7.622731965966523,ok
bcsstk01,48,400,0.01887290272861719,ok
bcsstk02,66,4356,0.05006010178476572,ok
bcsstk03,112,640,0.05103496368974447,ok
bcsstk04,132,3648,0.05123589653521776,ok
bcsstk05,153,2423,0.03900600131601095,ok
bcsstk06,420,7860,0.04340102896094322,ok
bcsstk07,420,7860,0.06332597695291042,ok
bcsstk08,1074,12960,0.12025702744722366,ok
bcsstk09,1083,18437,0.1333419932052493,ok
bcsstk10,1086,22070,0.13468798715621233,ok
bcsstk11,1473,34241,0.22518401965498924,ok
bcsstk12,1473,34241,0.21714204922318459,ok
bcsstk13,2003,83883,0.5144570022821426,ok
bcsstk14,1806,63454,0.3846680046990514,ok
bcsstk15,3948,117816,3.420804045163095,ok
bcsstk16,4884,290378,6.864669034257531,ok
bcsstk17,10974,428650,63.18029493559152,ok
bcsstk18,11948,149090,85.43294796254486,ok
bcsstk19,817,6853,0.08084496948868036,ok
bcsstk20,485,3135,0.04405993968248367,ok
bcsstk21,3600,26600,2.670374931767583,ok
bcsstk22,138,696,0.023881089873611927,ok
bcsstk23,3134,45178,1.7978629330173135,ok
bcsstk24,3562,159910,2.5904939975589514,ok
bcsstk25,15439,252241,176.22132902033627,ok
bcsstk26,1922,30336,0.49978692550212145,ok
bcsstk27,1224,56126,0.1455709571018815,ok
bcsstk28,4410,219024,5.005271988920867,ok
bcsstk29,13992,619488,135.95101097598672,ok
bcsstk30,28924,2043492,1172.3742940230295,ok
bcsstk31,35588,1181416,2295.5007900018245,ok
bcsstk32,44609,2014701,4387.777211959474,ok
bcsstk33,8738,591904,32.55811694543809,ok
bcsstm01,48,48,0.018864055164158344,ok
bcsstm02,66,66,0.04880002234131098,ok
bcsstm03,112,112,0.03897305577993393,ok
bcsstm04,132,132,0.03983709029853344,ok
bcsstm05,153,153,0.05124998278915882,ok
bcsstm06,420,420,0.050434027798473835,ok
bcsstm07,420,7252,0.06083992775529623,ok
bcsstm08,1074,1074,0.13053510338068008,ok
bcsstm09,1083,1083,0.12944405898451805,ok
bcsstm10,1086,22092,0.14085310976952314,ok
bcsstm11,1473,1473,0.2318109618499875,ok
bcsstm12,1473,19659,0.22212194744497538,ok
bcsstm13,2003,21943,0.5182409659028053,ok
bcsstm19,817,817,0.05784106906503439,ok
bcsstm20,485,485,0.06426998879760504,ok
bcsstm21,3600,3600,2.661542035639286,ok
bcsstm22,138,138,0.050331000238657,ok
bcsstm23,3134,3134,1.7959380056709051,ok
bcsstm24,3562,3562,2.5874549755826592,ok
bcsstm25,15439,15439,177.49985994305462,ok
bcsstm26,1922,1922,0.49915804993361235,ok
bcsstm27,1224,56126,0.16624003183096647,ok
blckhole,2132,14872,0.594555982388556,ok
bp_0,822,3276,0.09232002776116133,ok
bp_1000,822,4661,0.08021399844437838,ok
bp_1200,822,4726,0.08005497511476278,ok
bp_1400,822,4790,0.09214901365339756,ok
bp_1600,822,4841,0.0710559543222189,ok
bp_200,822,3802,0.09175902232527733,ok
bp_400,822,4028,0.07142394315451384,ok
bp_600,822,4172,0.09205995593219995,ok
bp_800,822,4534,0.08036789949983358,ok
can_1054,1054,12196,0.13215502258390188,ok
can_1072,1072,12444,0.12013304512947798,ok
can_144,144,1296,0.05025009158998728,ok
can_161,161,1377,0.05093903746455908,ok
can_187,187,1491,0.03898597788065672,ok
can_229,229,1777,0.03663392271846533,ok
can_24,24,160,0.049054971896111965,ok
can_256,256,2916,0.04869105760008097,ok
can_268,268,3082,0.043091014958918095,ok
can_292,292,2540,0.05965004675090313,ok
can_445,445,3809,0.06108905654400587,ok
can_61,61,557,0.038121012039482594,ok
can_62,62,218,0.0357490498572588,ok
can_634,634,7228,0.06157206371426582,ok
can_715,715,6665,0.08095998782664537,ok
can_73,73,377,0.0385830644518137,ok
can_838,838,10010,0.09571504779160023,ok
can_96,96,768,0.04929001443088055,ok
