matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.38,0.281,0.179,0.159,merge3,0.223,0.301,11142
494_bus,494,Y,0.4426,0.359,0.211,0.143,0.127,merge3,0.177,0.294,4062
662_bus,662,Y,0.3578,0.358,0.22,0.13,0.128,merge3,0.204,0.293,6480
685_bus,685,Y,0.4192,0.346,0.249,0.175,0.176,merge3,0.205,0.233,9337
arc130,130,N,7.5858,0.355,1.506,0.174,0.175,merge3,0.338,0.404,15631
ash292,292,Y,1.466,0.338,0.241,0.131,0.134,merge3,0.204,0.285,6042
ash85,85,Y,4.2076,0.329,0.245,0.15,0.128,merge3,0.193,0.282,1317
bcspwr01,39,Y,5.5884,0.332,0.201,0.121,0.117,merge3,0.196,0.295,275
bcspwr02,49,Y,4.4981,0.354,0.232,0.114,0.114,merge3,0.186,0.291,403
bcspwr03,118,Y,2.133,0.333,0.257,0.133,0.137,merge3,0.209,0.295,1270
bcspwr04,274,Y,1.2561,0.386,0.292,0.136,0.133,merge3,0.224,0.301,4982
bcspwr05,443,Y,0.5264,0.375,0.224,0.124,0.129,merge3,0.215,0.278,4249
bcspwr06,1454,Y,0.1597,0.353,0.251,0.182,0.156,merge3,0.205,0.309,14110
bcspwr07,1612,Y,0.1431,0.404,0.244,0.168,0.347,merge3,0.218,0.312,15684
bcspwr08,1624,Y,0.1455,0.411,0.255,0.176,0.161,merge3,0.21,0.295,16916
bcspwr09,1723,Y,0.1387,0.373,0.259,0.143,0.143,merge3,0.213,0.318,18485
bcspwr10,5300,Y,0.0483,0.443,0.463,0.177,0.187,merge3,0.226,0.896,60498
bcsstk01,48,Y,9.7222,0.345,0.235,0.13,0.151,merge3,0.287,0.298,1292
bcsstk02,66,Y,50.7576,0.438,1.718,0.143,0.154,merge3,0.782,0.664,4356
bcsstk03,112,Y,2.9974,0.398,0.198,0.123,0.133,merge3,0.179,0.299,1072
bcsstk04,132,Y,10.8471,0.467,1.152,0.159,0.156,merge3,0.454,0.382,11968
bcsstk05,153,Y,5.5022,0.346,0.354,0.151,0.147,merge3,0.308,0.266,7245
bcsstk06,420,Y,2.3469,0.458,0.579,0.174,0.169,merge3,0.345,0.279,23660
bcsstk07,420,Y,2.3469,0.452,0.574,0.207,0.178,merge3,0.34,0.347,23660
bcsstk08,1074,Y,0.6083,0.703,20.831,1.06,1.063,merge3,0.426,0.797,305612
bcsstk09,1083,Y,0.8321,0.533,0.78,0.198,0.189,merge3,0.317,0.33,71289
bcsstk10,1086,Y,0.9817,0.458,0.916,0.2,0.202,merge3,0.452,0.358,54504
bcsstk11,1473,Y,0.823,0.576,1.021,0.221,0.226,merge3,0.557,0.526,94187
bcsstk12,1473,Y,0.823,0.604,0.998,0.221,0.222,merge3,0.563,0.534,94187
bcsstk13,2003,Y,1.0704,0.959,6.051,0.966,0.996,merge3,0.704,0.914,396773
bcsstk14,1806,Y,1.0004,0.834,1.915,0.517,0.509,merge3,0.587,0.525,195654
bcsstk15,3948,Y,0.3906,1.19,2.441,0.713,0.706,merge3,0.417,0.696,527688
bcsstk16,4884,Y,0.6189,1.837,8.783,1.899,1.786,merge3,0.786,1.385,1038782
bcsstk17,10974,Y,0.1825,2.474,9.769,1.805,1.732,merge3,0.766,1.71,1406936
bcsstk18,11948,Y,0.0564,0.946,2.437,0.827,0.818,merge3,0.504,1.291,713208
bcsstk19,817,Y,0.5745,0.4,0.236,0.135,0.132,merge3,0.343,0.319,18305
bcsstk20,485,Y,0.7695,0.347,0.239,0.133,0.145,merge3,0.22,0.32,5545
bcsstk21,3600,Y,0.1165,0.586,0.45,0.209,0.2,merge3,0.21,0.635,93072
bcsstk22,138,Y,2.1897,0.365,0.206,0.134,0.123,merge3,0.205,0.293,1552
bcsstk23,3134,Y,0.2459,0.702,1.463,0.407,0.448,merge3,0.363,0.4,220632
bcsstk24,3562,Y,0.6442,1.361,3.385,0.75,0.751,merge3,0.579,0.969,446474
bcsstk25,15439,Y,0.0561,1.264,3.83,1.205,1.199,merge3,0.47,1.505,1168919
bcsstk26,1922,Y,0.4366,0.563,1.139,0.225,0.217,merge3,0.377,0.505,92530
bcsstk27,1224,Y,1.914,0.81,2.109,0.433,0.447,merge3,0.556,0.713,138106
bcsstk28,4410,Y,0.5744,1.471,5.211,1.016,1.017,merge3,0.688,1.349,596072
bcsstk29,13992,Y,0.1618,2.95,9.196,1.989,1.987,merge3,0.913,1.728,1965686
bcsstk30,28924,Y,0.1239,8.942,88.357,15.882,7.627,hash,2.411,4.74,8946070
bcsstk31,35588,Y,0.048,5.16,19.367,4.274,4.28,merge3,1.29,2.712,4713580
bcsstk32,44609,Y,0.0517,8.519,36.37,7.099,7.172,merge3,1.738,3.461,6819653
bcsstk33,8738,Y,0.3933,2.828,20.064,3.846,3.832,merge3,1.518,1.699,2569536
bcsstm01,48,Y,2.0833,0.344,0.188,0.11,0.135,merge3,0.157,0.269,48
bcsstm02,66,Y,1.5152,0.351,0.173,0.117,0.116,merge3,0.155,0.267,66
bcsstm03,112,Y,0.8929,0.37,0.185,0.108,0.127,merge3,0.16,0.281,112
bcsstm04,132,Y,0.7576,0.371,0.172,0.117,0.107,merge3,0.172,0.278,132
bcsstm05,153,Y,0.6536,0.349,0.207,0.117,0.12,merge3,0.175,0.291,153
bcsstm06,420,Y,0.2381,0.398,0.196,0.112,0.16,merge3,0.176,0.291,420
bcsstm07,420,Y,2.1746,0.465,0.632,0.165,0.161,merge3,0.344,0.339,22972
bcsstm08,1074,Y,0.0931,0.379,0.186,0.12,0.129,merge3,0.175,0.313,1074
bcsstm09,1083,Y,0.0923,0.37,0.196,0.114,0.118,merge3,0.186,0.295,1083
bcsstm10,1086,Y,0.9826,0.517,0.921,0.2,0.206,merge3,0.463,0.366,54504
bcsstm11,1473,Y,0.0679,0.366,0.187,0.115,0.15,merge3,0.162,0.278,1473
bcsstm12,1473,Y,0.487,0.446,0.721,0.209,0.193,merge3,0.361,0.355,53615
bcsstm13,2003,Y,0.2984,0.576,2.744,0.375,0.37,merge3,0.446,0.573,90811
bcsstm19,817,Y,0.1224,0.35,0.18,0.114,0.119,merge3,0.175,0.31,817
bcsstm20,485,Y,0.2062,0.352,0.172,0.111,0.116,merge3,0.164,0.295,485
bcsstm21,3600,Y,0.0278,0.36,0.192,0.155,0.14,merge3,0.176,0.493,3600
bcsstm22,138,Y,0.7246,0.356,0.177,0.107,0.107,merge3,0.156,0.271,138
bcsstm23,3134,Y,0.0319,0.357,0.201,0.166,0.138,merge3,0.165,0.363,3134
bcsstm24,3562,Y,0.0281,0.345,0.235,0.131,0.141,merge3,0.17,0.468,3562
bcsstm25,15439,Y,0.0065,0.365,0.672,0.216,0.231,merge3,0.175,0.45,15439
bcsstm26,1922,Y,0.052,0.414,0.175,0.122,0.143,merge3,0.162,0.303,1922
bcsstm27,1224,Y,1.914,0.726,2.107,0.449,0.49,merge3,0.489,0.538,138106
blckhole,2132,Y,0.187,0.436,0.539,0.193,0.194,merge3,0.211,0.377,41546
bp_0,822,N,0.4848,0.425,11.052,0.573,0.572,merge3,0.247,0.427,9384
bp_1000,822,N,0.6898,0.38,17.257,0.635,0.644,merge3,0.244,0.474,21373
bp_1200,822,N,0.6994,0.438,17.615,0.646,0.675,merge3,0.262,0.479,22313
bp_1400,822,N,0.7089,0.372,17.412,0.633,0.634,merge3,0.265,0.481,23154
bp_1600,822,N,0.7165,0.393,17.084,0.627,0.638,merge3,0.231,0.462,23625
bp_200,822,N,0.5627,0.374,13.629,0.607,0.59,merge3,0.236,0.458,13197
bp_400,822,N,0.5961,0.372,14.99,0.643,0.643,merge3,0.246,0.465,15238
bp_600,822,N,0.6174,0.379,16.099,0.636,0.636,merge3,0.257,0.461,16464
bp_800,822,N,0.671,0.388,16.648,0.653,0.659,merge3,0.259,0.479,20224
can_1054,1054,Y,0.5964,0.494,0.816,0.188,0.198,merge3,0.366,0.339,60248
can_1072,1072,Y,0.5881,0.465,1.034,0.2,0.201,merge3,0.372,0.35,62316
can_144,144,Y,3.4722,0.355,0.254,0.132,0.144,merge3,0.329,0.313,3456
can_161,161,Y,2.9667,0.476,0.25,0.14,0.143,merge3,0.298,0.305,3761
can_187,187,Y,2.3993,0.369,0.236,0.133,0.129,merge3,0.292,0.299,3719
can_229,229,Y,1.9126,0.368,0.272,0.158,0.191,merge3,0.326,0.304,5017
can_24,24,Y,15.9722,0.344,0.214,0.122,0.109,merge3,0.193,0.305,336
can_256,256,Y,2.42,0.373,1.847,0.213,0.221,merge3,0.325,0.337,18568
can_268,268,Y,2.3321,0.378,0.677,0.177,0.171,merge3,0.309,0.316,15590
can_292,292,Y,1.6607,0.364,0.51,0.142,0.138,merge3,0.343,0.316,11670
