matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.114,0.107,merge3,0.209,0.305,11142
494_bus,494,Y,0.4426,0.108,0.094,merge3,0.218,0.293,4062
662_bus,662,Y,0.3578,0.099,0.098,merge3,0.221,0.285,6480
685_bus,685,Y,0.4192,0.106,0.104,merge3,0.205,0.301,9337
arc130,130,N,7.5858,0.158,0.238,hash,0.305,0.401,15631
ash292,292,Y,1.466,0.111,0.105,merge3,0.22,0.327,6042
ash85,85,Y,4.2076,0.095,0.089,merge3,0.194,0.294,1317
bcspwr01,39,Y,5.5884,0.082,0.083,merge3,0.195,0.278,275
bcspwr02,49,Y,4.4981,0.084,0.081,merge3,0.187,0.272,403
bcspwr03,118,Y,2.133,0.086,0.097,merge3,0.198,0.29,1270
bcspwr04,274,Y,1.2561,0.098,0.093,merge3,0.301,0.305,4982
bcspwr05,443,Y,0.5264,0.092,0.093,merge3,0.214,0.296,4249
bcspwr06,1454,Y,0.1597,0.128,0.137,merge3,0.218,0.344,14110
bcspwr07,1612,Y,0.1431,0.123,0.139,merge3,0.205,0.336,15684
bcspwr08,1624,Y,0.1455,0.127,0.135,merge3,0.209,0.309,16916
bcspwr09,1723,Y,0.1387,0.106,0.108,merge3,0.215,0.311,18485
bcspwr10,5300,Y,0.0483,0.139,0.163,merge3,0.237,0.918,60498
bcsstk01,48,Y,9.7222,0.084,0.085,merge3,0.312,0.3,1292
bcsstk02,66,Y,50.7576,0.112,0.259,hash,0.956,0.664,4356
bcsstk03,112,Y,2.9974,0.092,0.088,merge3,0.175,0.292,1072
bcsstk04,132,Y,10.8471,0.125,0.127,merge3,0.527,0.399,11968
bcsstk05,153,Y,5.5022,0.115,0.11,merge3,0.336,0.33,7245
bcsstk06,420,Y,2.3469,0.128,0.128,merge3,0.337,0.339,23660
bcsstk07,420,Y,2.3469,0.13,0.131,merge3,0.344,0.345,23660
bcsstk08,1074,Y,0.6083,0.936,0.524,hash,0.398,0.803,305612
bcsstk09,1083,Y,0.8321,0.162,0.151,merge3,0.315,0.335,71289
bcsstk10,1086,Y,0.9817,0.194,0.169,merge3,0.516,0.381,54504
bcsstk11,1473,Y,0.823,0.189,0.188,merge3,0.496,0.522,94187
bcsstk12,1473,Y,0.823,0.183,0.188,merge3,0.491,0.427,94187
bcsstk13,2003,Y,1.0704,0.787,0.717,hash,0.713,0.936,396773
bcsstk14,1806,Y,1.0004,0.358,0.435,hash,0.592,0.554,195654
bcsstk15,3948,Y,0.3906,0.51,0.332,hash,0.432,0.685,527688
bcsstk16,4884,Y,0.6189,1.519,0.469,hash,0.787,1.458,1038782
bcsstk17,10974,Y,0.1825,1.525,0.613,hash,0.694,1.674,1406936
bcsstk18,11948,Y,0.0564,0.612,0.428,hash,0.447,1.242,713208
bcsstk19,817,Y,0.5745,0.113,0.111,merge3,0.342,0.248,18305
bcsstk20,485,Y,0.7695,0.104,0.105,merge3,0.205,0.312,5545
bcsstk21,3600,Y,0.1165,0.15,0.169,merge3,0.229,0.434,93072
bcsstk22,138,Y,2.1897,0.091,0.09,merge3,0.201,0.3,1552
bcsstk23,3134,Y,0.2459,0.251,0.251,merge3,0.363,0.525,220632
bcsstk24,3562,Y,0.6442,0.532,0.342,hash,0.595,0.922,446474
bcsstk25,15439,Y,0.0561,0.907,0.474,hash,0.449,1.569,1168919
bcsstk26,1922,Y,0.4366,0.184,0.185,merge3,0.376,0.584,92530
bcsstk27,1224,Y,1.914,0.339,0.405,hash,0.497,0.673,138106
bcsstk28,4410,Y,0.5744,0.83,0.456,hash,0.742,1.793,596072
bcsstk29,13992,Y,0.1618,1.758,0.761,hash,0.967,1.722,1965686
