matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.128,0.113,merge3,0.212,0.303,11142
494_bus,494,Y,0.4426,0.104,0.087,merge3,0.202,0.292,4062
662_bus,662,Y,0.3578,0.112,0.094,merge3,0.203,0.296,6480
685_bus,685,Y,0.4192,0.122,0.11,merge3,0.209,0.25,9337
arc130,130,N,7.5858,0.142,0.241,hash,0.35,0.406,15631
ash292,292,Y,1.466,0.102,0.113,merge3,0.205,0.305,6042
ash85,85,Y,4.2076,0.089,0.078,merge3,0.218,0.291,1317
bcspwr01,39,Y,5.5884,0.084,0.074,merge3,0.186,0.283,275
bcspwr02,49,Y,4.4981,0.079,0.098,merge3,0.199,0.278,403
bcspwr03,118,Y,2.133,0.095,0.092,merge3,0.211,0.292,1270
bcspwr04,274,Y,1.2561,0.094,0.112,merge3,0.224,0.32,4982
bcspwr05,443,Y,0.5264,0.094,0.108,merge3,0.217,0.296,4249
bcspwr06,1454,Y,0.1597,0.12,0.124,merge3,0.221,0.313,14110
bcspwr07,1612,Y,0.1431,0.14,0.126,merge3,0.219,0.334,15684
bcspwr08,1624,Y,0.1455,0.143,0.128,merge3,0.225,0.304,16916
bcspwr09,1723,Y,0.1387,0.111,0.109,merge3,0.215,0.305,18485
bcspwr10,5300,Y,0.0483,0.135,0.142,merge3,0.223,0.943,60498
bcsstk01,48,Y,9.7222,0.09,0.095,merge3,0.315,0.291,1292
bcsstk02,66,Y,50.7576,0.111,0.255,hash,0.864,0.605,4356
bcsstk03,112,Y,2.9974,0.08,0.088,merge3,0.181,0.297,1072
bcsstk04,132,Y,10.8471,0.122,0.132,merge3,0.464,0.307,11968
bcsstk05,153,Y,5.5022,0.109,0.109,merge3,0.312,0.321,7245
bcsstk06,420,Y,2.3469,0.126,0.153,merge3,0.271,0.283,23660
bcsstk07,420,Y,2.3469,0.126,0.127,merge3,0.311,0.35,23660
bcsstk08,1074,Y,0.6083,0.911,0.512,hash,0.356,0.816,305612
bcsstk09,1083,Y,0.8321,0.148,0.149,merge3,0.308,0.33,71289
