matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.113,0.119,merge3,0.209,0.297,11142
494_bus,494,Y,0.4426,0.091,0.086,merge3,0.202,0.249,4062
662_bus,662,Y,0.3578,0.099,0.116,merge3,0.205,0.309,6480
685_bus,685,Y,0.4192,0.106,0.106,merge3,0.204,0.305,9337
arc130,130,N,7.5858,0.154,0.257,hash,0.344,0.341,15631
ash292,292,Y,1.466,0.107,0.098,merge3,0.223,0.315,6042
ash85,85,Y,4.2076,0.103,0.089,merge3,0.207,0.301,1317
bcspwr01,39,Y,5.5884,0.124,0.09,merge3,0.183,0.275,275
bcspwr02,49,Y,4.4981,0.09,0.105,merge3,0.201,0.277,403
bcspwr03,118,Y,2.133,0.134,0.085,merge3,0.175,0.298,1270
bcspwr04,274,Y,1.2561,0.091,0.091,merge3,0.245,0.305,4982
bcspwr05,443,Y,0.5264,0.087,0.094,merge3,0.209,0.297,4249
bcspwr06,1454,Y,0.1597,0.132,0.11,merge3,0.222,0.423,14110
bcspwr07,1612,Y,0.1431,0.126,0.124,merge3,0.22,0.314,15684
bcspwr08,1624,Y,0.1455,0.112,0.142,merge3,0.21,0.31,16916
bcspwr09,1723,Y,0.1387,0.115,0.111,merge3,0.25,0.637,18485
bcspwr10,5300,Y,0.0483,0.141,0.148,merge3,0.238,1.053,60498
bcsstk01,48,Y,9.7222,0.104,0.115,merge3,0.32,0.298,1292
bcsstk02,66,Y,50.7576,0.106,0.245,hash,698.423,0.669,4356
bcsstk03,112,Y,2.9974,0.101,0.086,merge3,0.191,0.283,1072
bcsstk04,132,Y,10.8471,0.119,0.12,merge3,0.391,0.375,11968
bcsstk05,153,Y,5.5022,0.101,0.113,merge3,0.341,0.335,7245
bcsstk06,420,Y,2.3469,0.125,0.152,merge3,0.371,0.386,23660
bcsstk07,420,Y,2.3469,0.129,0.139,merge3,0.344,0.348,23660
bcsstk08,1074,Y,0.6083,0.9,0.525,hash,0.425,0.839,305612
bcsstk09,1083,Y,0.8321,0.156,0.179,merge3,0.309,0.339,71289
bcsstk10,1086,Y,0.9817,0.183,0.183,merge3,0.544,0.351,54504
bcsstk11,1473,Y,0.823,0.186,0.193,merge3,0.488,0.522,94187
bcsstk12,1473,Y,0.823,0.189,0.188,merge3,0.416,0.518,94187
bcsstk13,2003,Y,1.0704,0.779,0.7,hash,0.791,0.936,396773
bcsstk14,1806,Y,1.0004,0.35,0.412,hash,0.473,0.519,195654
bcsstk15,3948,Y,0.3906,0.497,0.329,hash,0.407,0.674,527688
bcsstk16,4884,Y,0.6189,1.513,0.458,hash,0.834,1.246,1038782
bcsstk17,10974,Y,0.1825,1.518,0.564,hash,0.766,1.743,1406936
bcsstk18,11948,Y,0.0564,0.606,0.415,hash,0.374,1.218,713208
bcsstk19,817,Y,0.5745,0.111,0.1,merge3,0.317,0.326,18305
bcsstk20,485,Y,0.7695,0.099,0.097,merge3,0.206,0.305,5545
bcsstk21,3600,Y,0.1165,0.149,0.147,merge3,0.212,0.408,93072
bcsstk22,138,Y,2.1897,0.086,0.071,merge3,0.213,0.293,1552
bcsstk23,3134,Y,0.2459,0.245,0.255,merge3,0.37,0.53,220632
bcsstk24,3562,Y,0.6442,0.533,0.352,hash,0.651,0.973,446474
bcsstk25,15439,Y,0.0561,0.908,0.479,hash,0.476,1.467,1168919
bcsstk26,1922,Y,0.4366,0.169,0.169,merge3,0.363,0.502,92530
bcsstk27,1224,Y,1.914,0.358,0.405,hash,0.491,0.646,138106
bcsstk28,4410,Y,0.5744,0.803,0.415,hash,0.739,1.346,596072
bcsstk29,13992,Y,0.1618,1.785,0.801,hash,0.973,1.761,1965686
bcsstk30,28924,Y,0.1239,15.818,2.477,hash,2.478,4.743,8946070
bcsstk31,35588,Y,0.048,4.044,1.162,hash,1.295,2.813,4713580
bcsstk32,44609,Y,0.0517,6.849,1.731,hash,1.751,3.742,6819653
bcsstk33,8738,Y,0.3933,3.622,0.849,hash,1.509,1.953,2569536
bcsstm01,48,Y,2.0833,0.085,0.091,merge3,0.132,0.274,48
bcsstm02,66,Y,1.5152,0.09,0.079,merge3,0.169,0.272,66
bcsstm03,112,Y,0.8929,0.076,0.071,merge3,0.176,0.216,112
bcsstm04,132,Y,0.7576,0.076,0.076,merge3,0.14,0.275,132
bcsstm05,153,Y,0.6536,0.091,0.106,merge3,0.228,0.294,153
bcsstm06,420,Y,0.2381,0.095,0.107,merge3,0.18,0.298,420
bcsstm07,420,Y,2.1746,0.139,0.161,merge3,0.337,0.379,22972
bcsstm08,1074,Y,0.0931,0.1,0.093,merge3,0.17,0.347,1074
bcsstm09,1083,Y,0.0923,0.094,0.101,merge3,0.181,0.334,1083
bcsstm10,1086,Y,0.9826,0.182,0.184,merge3,0.526,0.392,54504
bcsstm11,1473,Y,0.0679,0.111,0.108,merge3,0.178,0.331,1473
bcsstm12,1473,Y,0.487,0.172,0.17,merge3,0.335,0.382,53615
bcsstm13,2003,Y,0.2984,0.349,0.388,hash,0.467,0.756,90811
bcsstm19,817,Y,0.1224,0.096,0.096,merge3,0.178,0.319,817
bcsstm20,485,Y,0.2062,0.066,0.081,merge3,0.177,0.334,485
bcsstm21,3600,Y,0.0278,0.111,0.119,merge3,0.183,0.625,3600
bcsstm22,138,Y,0.7246,0.093,0.095,merge3,0.177,0.312,138
bcsstm23,3134,Y,0.0319,0.106,0.104,merge3,0.179,0.583,3134
bcsstm24,3562,Y,0.0281,0.113,0.112,merge3,0.185,0.619,3562
bcsstm25,15439,Y,0.0065,0.187,0.198,merge3,0.188,0.521,15439
bcsstm26,1922,Y,0.052,0.102,0.106,merge3,0.175,0.328,1922
bcsstm27,1224,Y,1.914,0.354,0.462,hash,0.566,0.813,138106
blckhole,2132,Y,0.187,0.168,0.161,merge3,0.238,0.631,41546
bp_0,822,N,0.4848,0.563,0.349,hash,0.266,0.52,9384
bp_1000,822,N,0.6898,0.635,0.386,hash,0.245,0.541,21373
bp_1200,822,N,0.6994,0.632,0.391,hash,0.266,0.527,22313
bp_1400,822,N,0.7089,0.625,0.388,hash,0.267,0.519,23154
bp_1600,822,N,0.7165,0.626,0.409,hash,0.254,0.536,23625
bp_200,822,N,0.5627,0.586,0.312,hash,0.256,0.513,13197
bp_400,822,N,0.5961,0.64,0.371,hash,0.253,0.511,15238
bp_600,822,N,0.6174,0.639,0.352,hash,0.274,0.565,16464
bp_800,822,N,0.671,0.638,0.349,hash,0.272,0.506,20224
can_1054,1054,Y,0.5964,0.164,0.154,merge3,0.342,0.383,60248
can_1072,1072,Y,0.5881,0.189,0.186,merge3,0.366,0.364,62316
can_144,144,Y,3.4722,0.108,0.109,merge3,0.299,0.346,3456
can_161,161,Y,2.9667,0.131,0.131,merge3,0.336,0.346,3761
can_187,187,Y,2.3993,0.107,0.11,merge3,0.302,0.337,3719
can_229,229,Y,1.9126,0.134,0.144,merge3,0.327,0.34,5017
can_24,24,Y,15.9722,0.099,0.083,merge3,0.206,0.322,336
can_256,256,Y,2.42,0.191,0.2,merge3,0.353,0.517,18568
can_268,268,Y,2.3321,0.136,0.154,merge3,0.355,0.363,15590
can_292,292,Y,1.6607,0.128,0.123,merge3,0.357,0.39,11670
can_445,445,Y,1.0741,0.128,0.134,merge3,0.341,0.346,11193
can_61,61,Y,8.3042,0.097,0.105,merge3,0.331,0.445,1793
can_62,62,Y,3.642,0.111,0.105,merge3,0.212,0.316,482
can_634,634,Y,0.978,0.142,0.139,merge3,0.369,0.365,25446
can_715,715,Y,0.7218,0.382,0.28,hash,0.393,0.438,39785
can_73,73,Y,4.2222,0.112,0.098,merge3,0.189,0.321,1377
can_838,838,Y,0.7724,0.149,0.151,merge3,0.372,0.364,51156
can_96,96,Y,4.6875,0.105,0.105,merge3,0.293,0.308,1920
