matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,spECK,cnnz
1138_bus,1138,Y,0.2005,0.1,0.101,merge3,0.256,0.305,0.088,11142
494_bus,494,Y,0.4426,0.081,0.081,merge3,0.175,0.283,0.069,4062
662_bus,662,Y,0.3578,0.087,0.086,merge3,0.222,0.3,0.086,6480
685_bus,685,Y,0.4192,0.103,0.089,merge3,0.208,0.292,0.085,9337
arc130,130,N,7.5858,0.141,0.24,hash,0.366,0.339,0.082,15631
ash292,292,Y,1.466,0.118,0.099,merge3,0.216,0.312,0.069,6042
ash85,85,Y,4.2076,0.081,0.08,merge3,0.205,0.312,0.085,1317
bcspwr01,39,Y,5.5884,0.075,0.074,merge3,0.196,0.29,0.081,275
bcspwr02,49,Y,4.4981,0.075,0.069,merge3,0.184,0.278,0.078,403
bcspwr03,118,Y,2.133,0.077,0.075,merge3,0.216,0.316,0.083,1270
bcspwr04,274,Y,1.2561,0.124,0.105,merge3,0.221,0.323,0.084,4982
bcspwr05,443,Y,0.5264,0.088,0.083,merge3,0.217,0.308,0.086,4249
bcspwr06,1454,Y,0.1597,0.11,0.11,merge3,0.219,0.315,0.088,14110
bcspwr07,1612,Y,0.1431,0.124,0.117,merge3,0.225,0.309,0.086,15684
bcspwr08,1624,Y,0.1455,0.126,0.119,merge3,0.213,0.296,0.083,16916
bcspwr09,1723,Y,0.1387,0.093,0.102,merge3,0.226,0.31,0.087,18485
bcspwr10,5300,Y,0.0483,0.133,0.134,merge3,0.193,0.882,0.098,60498
bcsstk01,48,Y,9.7222,0.072,0.074,merge3,0.291,0.284,0.083,1292
bcsstk02,66,Y,50.7576,0.099,0.242,hash,0.842,0.671,0.084,4356
bcsstk03,112,Y,2.9974,0.072,0.072,merge3,0.175,0.293,0.075,1072
bcsstk04,132,Y,10.8471,0.128,0.113,merge3,0.453,0.317,0.084,11968
bcsstk05,153,Y,5.5022,0.104,0.104,merge3,0.31,0.328,0.083,7245
bcsstk06,420,Y,2.3469,0.148,0.121,merge3,0.337,0.348,0.088,23660
bcsstk07,420,Y,2.3469,0.121,0.124,merge3,0.347,0.35,0.089,23660
bcsstk08,1074,Y,0.6083,0.89,0.526,hash,0.432,0.809,0.165,305612
bcsstk09,1083,Y,0.8321,0.141,0.146,merge3,0.342,0.336,0.091,71289
bcsstk10,1086,Y,0.9817,0.161,0.161,merge3,0.451,0.364,0.091,54504
bcsstk11,1473,Y,0.823,0.191,0.175,merge3,0.554,0.525,0.089,94187
bcsstk12,1473,Y,0.823,0.17,0.17,merge3,0.552,0.522,0.094,94187
bcsstk13,2003,Y,1.0704,0.766,0.701,hash,0.645,0.915,0.196,396773
bcsstk14,1806,Y,1.0004,0.338,0.437,hash,0.553,0.529,0.109,195654
bcsstk15,3948,Y,0.3906,0.485,0.289,hash,0.436,0.712,0.179,527688
bcsstk16,4884,Y,0.6189,1.514,0.506,hash,0.842,1.43,0.366,1038782
bcsstk17,10974,Y,0.1825,1.516,0.595,hash,0.833,1.744,0.464,1406936
bcsstk18,11948,Y,0.0564,0.584,0.428,hash,0.461,1.263,0.189,713208
bcsstk19,817,Y,0.5745,0.095,0.096,merge3,0.349,0.326,0.08,18305
bcsstk20,485,Y,0.7695,0.094,0.086,merge3,0.207,0.319,0.083,5545
bcsstk21,3600,Y,0.1165,0.158,0.161,merge3,0.213,0.415,0.093,93072
bcsstk22,138,Y,2.1897,0.08,0.082,merge3,0.216,0.292,0.085,1552
bcsstk23,3134,Y,0.2459,0.242,0.236,merge3,0.364,0.516,0.119,220632
bcsstk24,3562,Y,0.6442,0.591,0.35,hash,0.682,0.966,0.208,446474
bcsstk25,15439,Y,0.0561,0.882,0.464,hash,0.511,1.483,0.255,1168919
bcsstk26,1922,Y,0.4366,0.208,0.168,merge3,0.388,0.541,0.1,92530
bcsstk27,1224,Y,1.914,0.339,0.383,hash,0.55,1.081,0.114,138106
bcsstk28,4410,Y,0.5744,0.775,0.41,hash,0.752,1.353,0.285,596072
bcsstk29,13992,Y,0.1618,1.736,0.723,hash,0.985,1.76,0.681,1965686
bcsstk30,28924,Y,0.1239,15.641,2.403,hash,2.429,4.764,2.903,8946070
bcsstk31,35588,Y,0.048,3.943,1.164,hash,1.287,2.776,1.047,4713580
bcsstk32,44609,Y,0.0517,6.801,1.726,hash,1.808,3.777,1.93,6819653
bcsstk33,8738,Y,0.3933,3.601,0.798,hash,1.57,1.992,0.842,2569536
bcsstm01,48,Y,2.0833,0.068,0.066,merge3,0.164,0.28,0.067,48
bcsstm02,66,Y,1.5152,0.068,0.062,merge3,0.168,0.289,0.067,66
bcsstm03,112,Y,0.8929,0.081,0.063,merge3,0.155,0.272,0.071,112
bcsstm04,132,Y,0.7576,0.07,0.066,merge3,0.176,0.283,0.072,132
bcsstm05,153,Y,0.6536,0.072,0.067,merge3,0.157,0.209,0.072,153
bcsstm06,420,Y,0.2381,0.065,0.06,merge3,0.157,0.278,0.077,420
bcsstm07,420,Y,2.1746,0.119,0.119,merge3,0.342,0.338,0.088,22972
bcsstm08,1074,Y,0.0931,0.073,0.073,merge3,0.177,0.29,0.079,1074
bcsstm09,1083,Y,0.0923,0.072,0.069,merge3,0.161,0.278,0.08,1083
bcsstm10,1086,Y,0.9826,0.16,0.168,merge3,0.502,0.357,0.083,54504
bcsstm11,1473,Y,0.0679,0.07,0.073,merge3,0.176,0.291,0.079,1473
bcsstm12,1473,Y,0.487,0.136,0.135,merge3,0.364,0.344,0.091,53615
bcsstm13,2003,Y,0.2984,0.316,0.338,hash,0.424,0.574,0.12,90811
