matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,spECK,nsparse,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.136,0.149,merge3,0.212,,0.082,DNF,0.477,11142
494_bus,494,Y,0.4426,0.122,0.12,merge3,0.204,,0.08,DNF,0.576,4062
662_bus,662,Y,0.3578,0.129,0.119,merge3,0.202,,0.087,DNF,0.78,6480
685_bus,685,Y,0.4192,0.146,0.162,merge3,0.207,,0.086,DNF,0.751,9337
arc130,130,N,7.5858,0.147,0.229,hash,0.376,,0.087,DNF,0.814,15631
ash292,292,Y,1.466,0.126,0.122,merge3,0.202,,0.079,DNF,0.716,6042
ash85,85,Y,4.2076,0.113,0.122,merge3,0.21,,0.082,DNF,0.877,1317
bcspwr01,39,Y,5.5884,0.131,0.11,merge3,0.184,,0.079,DNF,0.707,275
bcspwr02,49,Y,4.4981,0.131,0.119,merge3,0.188,,0.07,DNF,0.737,403
bcspwr03,118,Y,2.133,0.114,0.141,merge3,0.197,,0.083,DNF,0.752,1270
bcspwr04,274,Y,1.2561,0.15,0.132,merge3,0.205,,0.079,DNF,0.589,4982
bcspwr05,443,Y,0.5264,0.141,0.124,merge3,0.218,,0.082,DNF,0.706,4249
bcspwr06,1454,Y,0.1597,0.164,0.152,merge3,0.204,,0.083,DNF,0.658,14110
bcspwr07,1612,Y,0.1431,0.155,0.153,merge3,0.208,,0.081,DNF,0.748,15684
bcspwr08,1624,Y,0.1455,0.154,0.149,merge3,0.209,,0.081,DNF,0.58,16916
bcspwr09,1723,Y,0.1387,0.145,0.143,merge3,0.212,,0.082,DNF,0.607,18485
bcspwr10,5300,Y,0.0483,0.184,0.198,merge3,0.22,,0.087,DNF,0.686,60498
bcsstk01,48,Y,9.7222,0.119,0.135,merge3,0.295,,0.078,DNF,0.786,1292
bcsstk02,66,Y,50.7576,0.141,0.263,hash,0.789,,0.086,DNF,0.769,4356
bcsstk03,112,Y,2.9974,0.117,0.12,merge3,0.182,,0.082,DNF,0.63,1072
bcsstk04,132,Y,10.8471,0.161,0.156,merge3,0.52,,0.086,DNF,0.6,11968
bcsstk05,153,Y,5.5022,0.144,0.135,merge3,0.311,,0.085,DNF,1.079,7245
bcsstk06,420,Y,2.3469,0.199,0.151,merge3,0.345,,0.087,DNF,0.778,23660
bcsstk07,420,Y,2.3469,0.155,0.157,merge3,0.346,,0.089,DNF,1.058,23660
bcsstk08,1074,Y,0.6083,0.866,0.558,hash,0.431,,0.135,DNF,0.986,305612
bcsstk09,1083,Y,0.8321,0.171,0.18,merge3,0.315,,0.084,DNF,0.599,71289
bcsstk10,1086,Y,0.9817,0.182,0.176,merge3,0.453,,0.086,DNF,1.568,54504
bcsstk11,1473,Y,0.823,0.2,0.209,merge3,0.561,,0.096,DNF,0.595,94187
bcsstk12,1473,Y,0.823,0.235,0.204,merge3,0.551,,0.096,DNF,0.765,94187
bcsstk13,2003,Y,1.0704,0.626,0.824,hash,0.708,,0.19,DNF,1.002,396773
bcsstk14,1806,Y,1.0004,0.32,0.494,hash,0.6,,0.122,DNF,0.968,195654
bcsstk15,3948,Y,0.3906,0.4,0.312,hash,0.407,,0.163,DNF,0.812,527688
bcsstk16,4884,Y,0.6189,1.187,0.526,hash,0.84,,0.397,DNF,1.628,1038782
bcsstk17,10974,Y,0.1825,1.17,0.613,hash,0.761,,0.511,DNF,1.189,1406936
bcsstk18,11948,Y,0.0564,0.527,0.373,hash,0.461,,0.186,DNF,0.83,713208
bcsstk19,817,Y,0.5745,0.137,0.139,merge3,0.347,,0.087,DNF,0.588,18305
bcsstk20,485,Y,0.7695,0.171,0.128,merge3,0.224,,0.079,DNF,0.584,5545
bcsstk21,3600,Y,0.1165,0.184,0.193,merge3,0.227,,0.092,DNF,0.611,93072
bcsstk22,138,Y,2.1897,0.132,0.111,merge3,0.174,,0.078,DNF,0.572,1552
bcsstk23,3134,Y,0.2459,0.246,0.243,merge3,0.331,,0.114,DNF,0.889,220632
bcsstk24,3562,Y,0.6442,0.452,0.336,hash,0.591,,0.211,DNF,1.116,446474
bcsstk25,15439,Y,0.0561,0.731,0.431,hash,0.397,,0.367,DNF,1.158,1168919
bcsstk26,1922,Y,0.4366,0.19,0.19,merge3,0.381,,0.102,DNF,0.645,92530
bcsstk27,1224,Y,1.914,0.311,0.454,hash,0.487,,0.113,DNF,0.902,138106
bcsstk28,4410,Y,0.5744,0.649,0.434,hash,0.694,,0.313,DNF,1.194,596072
