matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.266,0.135,merge3,0.241,0.242,0.817,11142
494_bus,494,Y,0.4426,0.127,0.114,merge3,0.202,0.298,0.584,4062
662_bus,662,Y,0.3578,0.136,0.133,merge3,0.222,0.303,0.761,6480
685_bus,685,Y,0.4192,0.139,0.141,merge3,0.223,0.306,0.588,9337
arc130,130,N,7.5858,0.159,0.157,merge3,0.348,0.41,0.625,15631
ash292,292,Y,1.466,0.151,0.144,merge3,0.22,0.303,0.578,6042
ash85,85,Y,4.2076,0.122,0.113,merge3,0.194,0.289,0.715,1317
bcspwr01,39,Y,5.5884,0.103,0.113,merge3,0.201,0.272,0.535,275
bcspwr02,49,Y,4.4981,0.119,0.136,merge3,0.162,0.273,0.474,403
bcspwr03,118,Y,2.133,0.115,0.126,merge3,0.214,0.291,0.59,1270
bcspwr04,274,Y,1.2561,0.132,0.153,merge3,0.222,0.314,0.579,4982
bcspwr05,443,Y,0.5264,0.133,0.128,merge3,0.22,0.324,0.717,4249
bcspwr06,1454,Y,0.1597,0.172,0.15,merge3,0.208,0.322,0.47,14110
bcspwr07,1612,Y,0.1431,0.153,0.16,merge3,0.211,0.324,0.591,15684
bcspwr08,1624,Y,0.1455,0.145,0.154,merge3,0.208,0.316,0.76,16916
bcspwr09,1723,Y,0.1387,0.136,0.158,merge3,0.214,0.307,0.609,18485
bcspwr10,5300,Y,0.0483,0.192,0.196,merge3,0.224,0.952,0.586,60498
bcsstk01,48,Y,9.7222,0.133,0.123,merge3,0.321,0.296,0.701,1292
bcsstk02,66,Y,50.7576,0.133,0.161,merge3,0.854,0.681,0.595,4356
bcsstk03,112,Y,2.9974,0.123,0.12,merge3,0.179,0.306,0.567,1072
bcsstk04,132,Y,10.8471,0.155,0.155,merge3,0.461,0.456,0.887,11968
bcsstk05,153,Y,5.5022,0.146,0.157,merge3,0.342,0.349,0.578,7245
bcsstk06,420,Y,2.3469,0.187,0.144,merge3,0.269,0.349,0.593,23660
bcsstk07,420,Y,2.3469,0.148,0.16,merge3,0.318,0.36,0.582,23660
bcsstk08,1074,Y,0.6083,0.882,0.554,hash,0.425,0.812,0.751,305612
bcsstk09,1083,Y,0.8321,0.189,0.183,merge3,0.336,0.333,0.713,71289
bcsstk10,1086,Y,0.9817,0.188,0.184,merge3,0.508,0.362,0.488,54504
bcsstk11,1473,Y,0.823,0.196,0.217,merge3,0.558,0.542,0.758,94187
bcsstk12,1473,Y,0.823,0.2,0.199,merge3,0.543,0.536,0.61,94187
bcsstk13,2003,Y,1.0704,0.624,0.851,hash,0.667,0.921,0.679,396773
bcsstk14,1806,Y,1.0004,0.316,0.326,merge3,0.56,0.516,0.803,195654
bcsstk15,3948,Y,0.3906,0.403,0.338,hash,0.432,0.689,0.986,527688
bcsstk16,4884,Y,0.6189,1.164,0.493,hash,0.785,1.407,1.035,1038782
bcsstk17,10974,Y,0.1825,1.193,0.616,hash,0.775,1.712,1.139,1406936
bcsstk18,11948,Y,0.0564,0.555,0.418,hash,0.428,1.237,1.026,713208
bcsstk19,817,Y,0.5745,0.135,0.136,merge3,0.352,0.314,0.596,18305
bcsstk20,485,Y,0.7695,0.137,0.158,merge3,0.223,0.322,0.788,5545
bcsstk21,3600,Y,0.1165,0.189,0.192,merge3,0.219,0.432,0.594,93072
bcsstk22,138,Y,2.1897,0.125,0.119,merge3,0.213,0.298,0.758,1552
bcsstk23,3134,Y,0.2459,0.257,0.268,merge3,0.341,0.626,0.699,220632
bcsstk24,3562,Y,0.6442,0.457,0.357,hash,0.652,0.974,0.856,446474
bcsstk25,15439,Y,0.0561,0.782,0.472,hash,0.472,1.514,1.016,1168919
bcsstk26,1922,Y,0.4366,0.198,0.197,merge3,0.382,0.512,0.606,92530
bcsstk27,1224,Y,1.914,0.305,0.31,merge3,0.424,0.636,0.799,138106
