matrix,n,sym,density_pct,cu,Auto,Auto_choice,opSparse,HSMU,dense,cnnz
1138_bus,1138,Y,0.2005,0.287,0.14,merge3,0.704,0.299,,11142
494_bus,494,Y,0.4426,0.333,0.113,merge3,0.766,0.308,,4062
662_bus,662,Y,0.3578,0.296,0.139,merge3,0.579,0.301,,6480
685_bus,685,Y,0.4192,0.298,0.169,merge3,1.056,0.298,,9337
arc130,130,N,7.5858,0.314,0.158,merge3,0.814,0.418,,15631
ash292,292,Y,1.466,0.306,0.155,merge3,0.604,0.312,,6042
ash85,85,Y,4.2076,0.284,0.119,merge3,0.584,0.302,,1317
bcspwr01,39,Y,5.5884,0.269,0.12,merge3,0.536,0.276,,275
bcspwr02,49,Y,4.4981,0.273,0.116,merge3,0.566,0.285,,403
bcspwr03,118,Y,2.133,0.32,0.122,merge3,0.592,0.288,,1270
bcspwr04,274,Y,1.2561,0.293,0.13,merge3,0.589,0.337,,4982
bcspwr05,443,Y,0.5264,0.409,0.115,merge3,0.596,0.232,,4249
bcspwr06,1454,Y,0.1597,0.302,0.142,merge3,0.562,0.304,,14110
bcspwr07,1612,Y,0.1431,0.293,0.146,merge3,0.597,0.314,,15684
bcspwr08,1624,Y,0.1455,0.307,0.154,merge3,0.595,0.294,,16916
bcspwr09,1723,Y,0.1387,0.299,0.168,merge3,0.583,0.315,,18485
bcspwr10,5300,Y,0.0483,0.367,0.187,merge3,0.601,0.932,,60498
bcsstk01,48,Y,9.7222,0.286,0.12,merge3,0.695,0.226,,1292
bcsstk02,66,Y,50.7576,0.329,0.165,merge3,0.602,0.666,,4356
bcsstk03,112,Y,2.9974,0.341,0.119,merge3,0.956,0.282,,1072
bcsstk04,132,Y,10.8471,0.377,0.156,merge3,0.615,0.374,,11968
bcsstk05,153,Y,5.5022,0.3,0.134,merge3,0.583,0.333,,7245
bcsstk06,420,Y,2.3469,0.423,0.15,merge3,0.652,0.34,,23660
bcsstk07,420,Y,2.3469,0.388,0.166,merge3,0.606,0.339,,23660
bcsstk08,1074,Y,0.6083,0.606,0.851,hash,0.764,0.812,,305612
bcsstk09,1083,Y,0.8321,0.456,0.17,merge3,0.624,0.334,,71289
bcsstk10,1086,Y,0.9817,0.413,0.181,merge3,0.719,0.361,,54504
bcsstk11,1473,Y,0.823,0.636,0.199,merge3,0.597,0.436,,94187
bcsstk12,1473,Y,0.823,0.559,0.198,merge3,0.797,0.522,,94187
bcsstk13,2003,Y,1.0704,0.875,1.27,hash,0.863,0.915,,396773
bcsstk14,1806,Y,1.0004,0.788,0.369,merge3,0.983,0.531,,195654
bcsstk15,3948,Y,0.3906,1.003,0.637,hash,0.816,0.707,,527688
bcsstk16,4884,Y,0.6189,1.667,0.891,hash,1.396,1.41,,1038782
bcsstk17,10974,Y,0.1825,2.387,0.992,hash,1.101,1.526,,1406936
bcsstk18,11948,Y,0.0564,0.938,0.945,hash,0.829,1.233,,713208
bcsstk19,817,Y,0.5745,0.368,0.141,merge3,0.585,0.315,,18305
