matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cnnz
1138_bus,1138,Y,0.2005,0.256,0.259,merge3,0.19,0.788,0.245,0.786,11142
494_bus,494,Y,0.4426,0.251,0.101,merge3,0.178,0.697,0.231,0.322,4062
662_bus,662,Y,0.3578,0.252,0.103,merge3,0.182,0.835,0.232,0.442,6480
685_bus,685,Y,0.4192,0.253,0.117,merge3,0.184,0.759,0.242,0.483,9337
arc130,130,N,7.5858,0.26,0.131,merge3,0.308,0.843,0.336,0.183,15631
ash292,292,Y,1.466,0.253,0.111,merge3,0.182,0.709,0.237,0.25,6042
ash85,85,Y,4.2076,0.25,0.101,merge3,0.174,0.699,0.226,0.16,1317
bcspwr01,39,Y,5.5884,0.241,0.094,merge3,0.163,0.531,0.215,0.163,275
bcspwr02,49,Y,4.4981,0.251,0.097,merge3,0.165,0.68,0.218,0.162,403
bcspwr03,118,Y,2.133,0.243,0.094,merge3,0.182,0.903,0.224,0.169,1270
bcspwr04,274,Y,1.2561,0.253,0.104,merge3,0.185,0.587,0.241,0.231,4982
bcspwr05,443,Y,0.5264,0.246,0.099,merge3,0.179,0.726,0.239,0.332,4249
bcspwr06,1454,Y,0.1597,0.262,0.132,merge3,0.188,0.697,0.237,1.288,14110
bcspwr07,1612,Y,0.1431,0.254,0.128,merge3,0.185,0.851,0.238,1.534,15684
bcspwr08,1624,Y,0.1455,0.256,0.128,merge3,0.187,0.867,0.238,1.597,16916
bcspwr09,1723,Y,0.1387,0.256,0.117,merge3,0.189,1.11,0.245,2.004,18485
bcspwr10,5300,Y,0.0483,0.31,0.162,merge3,0.196,0.682,1.979,36.472,60498
bcsstk01,48,Y,9.7222,0.257,0.094,merge3,0.252,0.896,0.224,0.152,1292
bcsstk02,66,Y,50.7576,0.284,0.115,merge3,716.919,0.743,0.605,0.156,4356
bcsstk03,112,Y,2.9974,0.269,0.098,merge3,0.14,0.701,0.222,0.176,1072
bcsstk04,132,Y,10.8471,0.342,0.125,merge3,0.403,0.536,0.318,0.19,11968
bcsstk05,153,Y,5.5022,0.26,0.11,merge3,0.278,0.808,0.272,0.199,7245
bcsstk06,420,Y,2.3469,0.315,0.131,merge3,0.275,0.882,0.282,0.315,23660
bcsstk07,420,Y,2.3469,0.333,0.126,merge3,0.273,0.734,0.277,0.304,23660
bcsstk08,1074,Y,0.6083,0.508,0.547,hash,0.361,1.092,0.68,0.936,305612
bcsstk09,1083,Y,0.8321,0.385,0.148,merge3,0.277,0.819,0.269,0.788,71289
bcsstk10,1086,Y,0.9817,0.356,0.158,merge3,0.391,0.718,0.294,0.728,54504
bcsstk11,1473,Y,0.823,0.48,0.188,merge3,0.421,0.952,0.431,1.525,94187
bcsstk12,1473,Y,0.823,0.469,0.17,merge3,0.409,0.837,0.432,1.524,94187
bcsstk13,2003,Y,1.0704,0.757,0.773,hash,0.57,1.369,0.743,3.25,396773
bcsstk14,1806,Y,1.0004,0.685,0.298,merge3,0.459,1.324,0.448,2.381,195654
bcsstk15,3948,Y,0.3906,0.955,0.294,hash,0.365,0.821,0.554,15.915,527688
bcsstk16,4884,Y,0.6189,1.646,0.499,hash,0.691,1.315,1.244,29.491,1038782
bcsstk17,10974,Y,0.1825,2.132,0.647,hash,0.683,1.096,1.51,307.821,1406936
bcsstk18,11948,Y,0.0564,0.793,0.571,hash,0.383,1.155,1.024,395.703,713208
bcsstk19,817,Y,0.5745,0.309,0.122,merge3,0.265,0.709,0.242,0.564,18305
bcsstk20,485,Y,0.7695,0.254,0.107,merge3,0.206,0.731,0.244,0.346,5545
bcsstk21,3600,Y,0.1165,0.36,0.164,merge3,0.186,1.494,0.318,12.595,93072
bcsstk22,138,Y,2.1897,0.246,0.089,merge3,0.189,0.971,0.223,0.181,1552
bcsstk23,3134,Y,0.2459,0.504,0.232,merge3,0.294,1.01,0.42,8.864,220632
bcsstk24,3562,Y,0.6442,1.049,0.346,hash,0.504,1.315,0.771,12.514,446474
bcsstk25,15439,Y,0.0561,1.126,0.424,hash,0.403,1.505,1.22,856.822,1168919
bcsstk26,1922,Y,0.4366,0.41,0.169,merge3,0.295,0.714,0.408,2.641,92530
bcsstk27,1224,Y,1.914,0.626,0.297,merge3,0.417,0.831,0.555,1.136,138106
bcsstk28,4410,Y,0.5744,1.33,0.393,hash,0.608,1.43,1.191,22.473,596072
bcsstk29,13992,Y,0.1618,2.792,0.803,hash,0.829,1.369,1.51,630.627,1965686
bcsstk30,28924,Y,0.1239,8.513,3.125,hash,2.272,3.007,4.438,5512.56,8946070
bcsstk31,35588,Y,0.048,4.933,1.34,hash,1.159,1.815,2.48,10223.8,4713580
bcsstk32,44609,Y,0.0517,8.029,2.119,hash,1.676,2.493,3.341,20268.1,6819653
bcsstk33,8738,Y,0.3933,2.829,1.01,hash,1.435,1.299,1.708,156.231,2569536
