matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cublas,cnnz
1138_bus,1138,Y,0.2005,0.295,0.135,merge3,0.222,0.722,0.314,0.814,0.583,11142
494_bus,494,Y,0.4426,0.287,0.115,merge3,0.206,0.582,0.298,0.357,0.313,4062
662_bus,662,Y,0.3578,0.323,0.124,merge3,0.208,0.773,0.76,0.503,0.415,6480
685_bus,685,Y,0.4192,0.347,0.135,merge3,0.221,0.593,0.304,0.546,0.456,9337
arc130,130,N,7.5858,0.341,0.173,merge3,0.377,0.632,0.409,0.217,0.338,15631
ash292,292,Y,1.466,0.316,0.138,merge3,0.203,0.744,0.307,0.24,0.27,6042
ash85,85,Y,4.2076,0.276,0.122,merge3,0.199,0.58,0.293,0.209,0.301,1317
bcspwr01,39,Y,5.5884,0.269,0.136,merge3,0.218,0.557,0.356,0.208,0.255,275
bcspwr02,49,Y,4.4981,0.288,0.117,merge3,0.189,0.774,0.216,0.224,0.252,403
bcspwr03,118,Y,2.133,0.278,0.115,merge3,0.206,0.571,0.303,0.208,0.288,1270
bcspwr04,274,Y,1.2561,0.31,0.154,merge3,0.212,0.864,0.343,0.275,0.326,4982
bcspwr05,443,Y,0.5264,0.293,0.13,merge3,0.246,0.699,0.239,0.37,0.383,4249
bcspwr06,1454,Y,0.1597,0.305,0.139,merge3,0.21,0.787,0.335,1.317,0.733,14110
bcspwr07,1612,Y,0.1431,0.285,0.165,merge3,0.225,0.623,0.249,1.57,0.804,15684
bcspwr08,1624,Y,0.1455,0.306,0.16,merge3,0.215,0.626,0.303,1.642,0.857,16916
bcspwr09,1723,Y,0.1387,0.279,0.137,merge3,0.22,0.723,0.312,2.044,1.03,18485
bcspwr10,5300,Y,0.0483,0.348,0.194,merge3,0.229,0.882,0.956,36.455,10.569,60498
bcsstk01,48,Y,9.7222,0.299,0.113,merge3,0.432,0.812,0.283,0.208,0.304,1292
bcsstk02,66,Y,50.7576,0.322,0.141,merge3,0.853,0.797,0.666,0.241,0.231,4356
bcsstk03,112,Y,2.9974,0.281,0.104,merge3,0.165,0.552,0.301,0.218,0.298,1072
bcsstk04,132,Y,10.8471,0.363,0.156,merge3,0.442,0.611,0.403,0.224,0.313,11968
bcsstk05,153,Y,5.5022,0.34,0.129,merge3,0.322,0.787,0.322,0.241,0.327,7245
bcsstk06,420,Y,2.3469,0.419,0.174,merge3,0.342,0.591,0.347,0.355,0.357,23660
bcsstk07,420,Y,2.3469,0.387,0.156,merge3,0.271,0.583,0.344,0.335,0.356,23660
bcsstk08,1074,Y,0.6083,0.605,0.571,hash,0.423,0.744,0.802,1.016,0.916,305612
bcsstk09,1083,Y,0.8321,0.538,0.173,merge3,0.325,0.483,0.33,0.826,0.603,71289
bcsstk10,1086,Y,0.9817,0.396,0.184,merge3,0.461,0.769,0.358,0.732,0.542,54504
bcsstk11,1473,Y,0.823,0.582,0.195,merge3,0.496,0.623,0.426,1.566,0.874,94187
bcsstk12,1473,Y,0.823,0.633,0.199,merge3,0.496,0.509,0.526,1.568,0.888,94187
bcsstk13,2003,Y,1.0704,0.907,0.833,hash,0.704,0.862,0.929,3.345,1.938,396773
bcsstk14,1806,Y,1.0004,0.834,0.307,merge3,0.602,0.97,0.533,2.439,1.244,195654
