matrix,n,sym,cu,serial,merge3,Auto,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.978,0.916,0.504,0.425,0.228,0.354,11142
494_bus,494,Y,0.58,0.919,0.388,0.706,0.232,0.327,4062
662_bus,662,Y,0.56,0.65,0.71,0.691,0.227,0.338,6480
685_bus,685,Y,0.587,0.535,0.49,0.396,0.221,0.359,9337
arc130,130,N,0.638,2.421,0.637,0.743,0.393,0.458,15631
ash292,292,Y,1.029,0.764,0.647,0.602,0.237,0.348,6042
ash85,85,Y,0.901,0.817,0.386,0.672,0.223,0.332,1317
bcspwr01,39,Y,0.914,0.488,0.365,0.684,0.2,0.321,275
bcspwr02,49,Y,0.803,0.512,0.376,0.376,0.206,0.323,403
bcspwr03,118,Y,0.928,0.531,0.398,0.675,0.213,0.34,1270
bcspwr04,274,Y,0.6,0.878,0.659,0.652,0.226,0.333,4982
bcspwr05,443,Y,0.507,0.875,0.423,0.67,0.22,0.327,4249
bcspwr06,1454,Y,0.735,0.591,0.437,0.695,0.229,0.361,14110
bcspwr07,1612,Y,0.803,0.548,0.709,0.437,0.233,0.35,15684
bcspwr08,1624,Y,0.62,0.565,0.433,0.453,0.233,0.346,16916
bcspwr09,1723,Y,0.929,0.622,0.498,0.745,0.233,0.353,18485
bcspwr10,5300,Y,1.214,1.213,0.493,0.503,0.238,1.123,60498
bcsstk01,48,Y,0.768,0.759,0.381,0.389,0.335,0.323,1292
bcsstk02,66,Y,0.974,2.784,0.41,0.538,363.583,0.734,4356
bcsstk03,112,Y,0.836,0.48,0.379,0.383,0.192,0.322,1072
bcsstk04,132,Y,1.161,1.527,0.435,0.512,0.526,0.423,11968
bcsstk05,153,Y,0.615,0.697,0.439,0.436,0.35,0.399,7245
bcsstk06,420,Y,1.205,1.077,0.461,0.749,0.351,0.395,23660
bcsstk07,420,Y,0.789,1.03,0.733,0.466,0.348,0.387,23660
bcsstk08,1074,Y,1.909,22.381,1.84,1.771,0.442,0.983,305612
bcsstk09,1083,Y,0.824,1.698,0.536,0.489,0.348,0.364,71289
bcsstk10,1086,Y,1.301,1.91,0.8,0.778,0.532,0.405,54504
bcsstk11,1473,Y,1.678,1.583,0.569,0.545,0.567,0.757,94187
bcsstk12,1473,Y,1.535,1.108,0.562,0.882,0.584,0.563,94187
bcsstk13,2003,Y,2.427,7.844,2.136,1.861,0.769,1.195,396773
bcsstk14,1806,Y,1.532,2.386,1.104,1.257,0.637,0.607,195654
bcsstk15,3948,Y,2.69,3.877,1.862,1.927,0.464,0.83,527688
bcsstk16,4884,Y,4.361,10.568,3.58,3.367,0.868,1.627,1038782
bcsstk17,10974,Y,4.905,12.025,3.741,3.528,0.85,1.848,1406936
bcsstk18,11948,Y,2.776,3.912,2.133,2.106,0.473,1.329,713208
bcsstk19,817,Y,0.704,0.808,0.685,0.677,0.355,0.411,18305
bcsstk20,485,Y,0.569,0.514,0.374,0.699,0.223,0.333,5545
bcsstk21,3600,Y,1.249,1.369,0.612,0.775,0.238,0.472,93072
bcsstk22,138,Y,0.936,0.781,0.655,0.395,0.171,0.321,1552
bcsstk23,3134,Y,1.04,2.647,1.011,0.977,0.374,0.64,220632
bcsstk24,3562,Y,3.071,5.163,1.648,1.918,0.66,1.153,446474
bcsstk25,15439,Y,3.293,6.019,2.486,2.624,0.499,1.855,1168919
bcsstk26,1922,Y,1.049,1.836,0.529,0.573,0.39,0.673,92530
bcsstk27,1224,Y,1.654,3.115,0.898,0.916,0.573,0.761,138106
