matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
exdata_1,6001,Y,3.1594,DNF,76.395,hash,10.296,103.252,42.047,129.451,54.981,17.521,11275501
333SP,3712815,Y,0.0001,8.613,38.322,hash,6.248,12.678,14.787,82.555,DNF(big),DNF(big),71961733
bcsstk30,28924,Y,0.1239,8.607,3.126,hash,2.27,2.889,4.459,8.053,5477.93,1406.06,8946070
3Dspectralwave,680943,N,0.0037,DNF,,,45.698,DNF,105.462,96.13,DNF(big),DNF(big),
3Dspectralwave2,292008,N,0.0086,28.488,29.181,merge3(回退),18.677,DNF,41.854,38.678,DNF(big),DNF(big),81767340
3dtube,45330,Y,0.0793,21.179,9.546,hash,3.769,8.817,11.329,32.044,21202.0,5495.58,23716476
AS365,3799275,Y,0.0001,10.058,41.149,hash,7.324,13.874,20.689,88.818,DNF(big),DNF(big),74616587
BenElechi1,245874,Y,0.0111,457.152,9.91,hash,7.019,9.407,12.131,20.466,DNF(big),DNF(big),36261344
Bump_2911,2911419,Y,0.0008,DNF,111.514,hash,77.818,109.568,129.238,288.741,DNF(big),DNF(big),560173611
CO,221119,Y,0.0081,35.805,20.37,hash,13.712,12.976,16.908,50.008,DNF(big),DNF(big),100124359
Chevron4,711450,N,0.0013,3.074,8.329,hash,2.048,5.156,4.898,17.871,DNF(big),DNF(big),17706328
CoupCons3D,416800,N,0.0128,759.245,18.898,hash,14.509,20.714,23.521,44.35,DNF(big),DNF(big),89148864
Cube_Coup_dt0,2164760,Y,0.0014,DNF,126.776,hash,89.579,123.885,134.361,283.363,DNF(big),DNF(big),552667840
CurlCurl_2,806529,Y,0.0007,11.526,8.315,hash,3.028,4.99,6.704,24.435,DNF(big),DNF(big),44546339
CurlCurl_3,1219574,Y,0.0005,17.526,13.629,hash,4.422,7.405,9.688,35.505,DNF(big),DNF(big),67920062
CurlCurl_4,2380515,Y,0.0003,34.696,25.419,hash,8.705,13.916,19.242,88.267,DNF(big),DNF(big),133384865
Dubcova3,146689,Y,0.0088,14.322,3.31,hash,1.692,3.044,4.134,9.551,DNF(big),DNF(big),17480761
Emilia_923,923136,Y,0.0025,1319.189,37.347,hash,25.266,38.229,42.495,83.294,DNF(big),DNF(big),179867448
F1,343791,Y,0.0115,DNF,,,36.508,67.155,66.218,157.437,DNF(big),DNF(big),
F2,71505,Y,0.0525,127.54,54.783,merge3(回退),7.426,11.744,12.679,26.925,DNF(big),DNF(big),39648121
FEM_3D_thermal2,147900,N,0.016,11.592,2.386,hash,1.38,2.315,3.184,9.483,DNF(big),DNF(big),14335500
Fault_639,638802,Y,0.0036,939.259,26.391,hash,17.806,26.526,30.903,64.785,DNF(big),DNF(big),126633024
Flan_1565,1564794,Y,0.0024,DNF,137.242,hash,85.998,145.443,147.112,330.125,DNF(big),DNF(big),509685948
Freescale1,3428755,N,0.0002,6.92,34.8,hash,5.047,8.077,12.294,73.578,DNF(big),DNF(big),45276331
Ga10As10H30,113081,Y,0.0244,698.749,179.432,merge3(回退),12.503,31.595,33.896,98.511,DNF(big),DNF(big),75156365
Ga19As19H42,133123,Y,0.0254,1523.107,315.473,merge3(回退),19.427,57.509,57.333,154.708,DNF(big),DNF(big),108051533
Ga3As3H12,61349,Y,0.0801,DNF,,,37.131,195.629,198.07,193.694,DNF(big),DNF(big),
Ga41As41H72,268096,Y,0.013,DNF,,,43.451,125.002,137.282,322.619,DNF(big),DNF(big),
GaAsH6,61349,Y,0.0457,DNF,51.634,hash,14.652,66.798,70.938,84.651,DNF(big),DNF(big),37611445
Ge87H76,112985,Y,0.0314,1094.866,251.655,merge3(回退),15.474,42.5,42.486,105.246,DNF(big),DNF(big),99053985
Ge99H100,112985,Y,0.0335,1226.216,277.999,merge3(回退),16.835,46.931,46.81,113.557,DNF(big),DNF(big),105811785
Geo_1438,1437960,Y,0.0016,DNF,56.615,hash,37.693,56.481,64.374,122.841,DNF(big),DNF(big),274478976
H2O,67024,Y,0.0254,10.388,5.19,hash,3.789,3.893,4.967,9.934,DNF(big),DNF(big),27691996
HTC_336_4438,226340,Y,0.0011,43.911,1065.954,merge3(回退),14.337,162.527,35.513,240.517,DNF(big),DNF(big),83300312
HTC_336_9129,226340,Y,0.0011,37.352,1080.665,merge3(回退),13.275,146.841,31.849,211.355,DNF(big),DNF(big),73626380
Hook_1498,1498023,Y,0.0014,DNF,60.827,hash,40.86,54.55,66.42,146.711,DNF(big),DNF(big),312415749
Long_Coup_dt6,1470152,Y,0.002,DNF,93.719,hash,64.706,90.979,98.011,294.121,DNF(big),DNF(big),388670368
M6,3501776,Y,0.0001,8.629,37.669,hash,6.751,12.681,16.464,109.117,DNF(big),DNF(big),68984930
