matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
333SP,3712815,Y,0.0001,8.466,10.675,hash,6.154,12.067,14.31,80.882,DNF(big),DNF(big),71961733
3Dspectralwave,680943,N,0.0037,261.127,31.303,hash,56.117,DNF,104.165,87.62,DNF(big),DNF(big),195425175
3Dspectralwave2,292008,N,0.0086,28.313,13.244,hash,22.501,DNF,41.808,38.436,DNF(big),DNF(big),81767340
3dtube,45330,Y,0.0793,21.182,6.914,hash,3.768,9.039,11.226,30.545,21352.3,5495.58,23716476
AS365,3799275,Y,0.0001,9.225,11.813,hash,7.316,13.426,15.941,86.603,DNF(big),DNF(big),74616587
BenElechi1,245874,Y,0.0111,453.968,9.572,hash,6.997,9.242,11.769,20.175,DNF(big),DNF(big),36261344
Bump_2911,2911419,Y,0.0008,DNF,106.6,hash,77.745,114.626,127.245,285.681,DNF(big),DNF(big),560173611
CO,221119,Y,0.0081,35.458,18.274,hash,15.324,13.505,16.95,48.986,DNF(big),DNF(big),100124359
Chevron4,711450,N,0.0013,3.089,4.408,hash,2.708,5.085,4.8,18.042,DNF(big),DNF(big),17706328
CoupCons3D,416800,N,0.0128,779.711,19.271,hash,14.552,20.848,23.408,43.897,DNF(big),DNF(big),89148864
Cube_Coup_dt0,2164760,Y,0.0014,DNF,343.971,hash,87.763,123.74,134.682,278.281,DNF(big),DNF(big),552667840
CurlCurl_2,806529,Y,0.0007,11.821,6.562,hash,3.843,5.387,6.113,23.017,DNF(big),DNF(big),44546339
CurlCurl_3,1219574,Y,0.0005,17.55,9.838,hash,5.787,7.252,9.097,34.714,DNF(big),DNF(big),67920062
CurlCurl_4,2380515,Y,0.0003,34.208,18.483,hash,11.248,13.593,15.9,66.749,DNF(big),DNF(big),133384865
Dubcova3,146689,Y,0.0088,14.335,4.203,hash,2.187,3.068,4.014,9.789,DNF(big),DNF(big),17480761
Emilia_923,923136,Y,0.0025,1336.82,36.017,hash,25.208,38.508,43.035,81.295,DNF(big),DNF(big),179867448
F1,343791,Y,0.0115,DNF,69.234,hash,36.747,68.031,66.621,156.73,DNF(big),DNF(big),224484403
F2,71505,Y,0.0525,139.026,14.6,hash,7.455,11.945,12.721,26.416,DNF(big),DNF(big),39648121
FEM_3D_thermal2,147900,N,0.016,11.633,2.426,hash,1.83,2.889,3.022,9.323,DNF(big),DNF(big),14335500
Fault_639,638802,Y,0.0036,952.56,25.32,hash,17.66,26.442,30.273,62.842,DNF(big),DNF(big),126633024
Flan_1565,1564794,Y,0.0024,DNF,141.771,hash,108.363,145.551,146.444,368.531,DNF(big),DNF(big),509685948
Freescale1,3428755,N,0.0002,6.943,8.96,hash,5.041,8.186,10.31,74.254,DNF(big),DNF(big),45276331
Ga10As10H30,113081,Y,0.0244,697.168,26.514,hash,14.656,36.747,33.894,99.592,DNF(big),DNF(big),75156365
