Refresh 仅 'Auto' 列 × 337 阵(DENSE_TIMEOUT=600s)→ compare/ocean337/methods_cmp_clean.csv.csv

[1/337] 333SP          Auto=10.682     (9.4s)
[2/337] 3Dspectralwave Auto=31.421     (14.4s)
[3/337] 3Dspectralwave2 Auto=13.321     (9.1s)
[4/337] 3dtube         Auto=6.856      (5.6s)
[5/337] AS365          Auto=11.839     (10.3s)
[6/337] BenElechi1     Auto=9.57       (7.7s)
[7/337] Bump_2911      Auto=107.979    (44.3s)
[8/337] CO             Auto=18.286     (7.2s)
[9/337] Chevron4       Auto=4.398      (7.6s)
[10/337] CoupCons3D     Auto=19.274     (12.9s)
[11/337] Cube_Coup_dt0  Auto=342.803    (44.9s)
[12/337] CurlCurl_2     Auto=6.592      (7.3s)
[13/337] CurlCurl_3     Auto=9.871      (8.4s)
[14/337] CurlCurl_4     Auto=18.477     (11.8s)
[15/337] Dubcova3       Auto=4.23       (5.9s)
[16/337] Emilia_923     Auto=36.156     (13.2s)
[17/337] F1             Auto=69.346     (12.2s)
[18/337] F2             Auto=14.662     (6.3s)
[19/337] FEM_3D_thermal2 Auto=2.422      (6.3s)
[20/337] Fault_639      Auto=25.393     (10.9s)
[21/337] Flan_1565      Auto=142.187    (42.6s)
[22/337] Freescale1     Auto=8.966      (13.4s)
[23/337] Ga10As10H30    Auto=26.873     (6.7s)
[24/337] Ga19As19H42    Auto=46.425     (7.5s)
[25/337] Ga3As3H12      Auto=55.056     (6.9s)
[26/337] Ga41As41H72    Auto=102.594    (10.5s)
[27/337] GaAsH6         Auto=21.564     (6.1s)
[28/337] Ge87H76        Auto=40.674     (7.1s)
[29/337] Ge99H100       Auto=44.493     (7.4s)
[30/337] Geo_1438       Auto=54.532     (18.5s)
[31/337] H2O            Auto=5.155      (5.6s)
[32/337] HTC_336_4438   Auto=24.302     (5.6s)
[33/337] HTC_336_9129   Auto=21.625     (5.6s)
[34/337] Hook_1498      Auto=59.377     (31.9s)
[35/337] Long_Coup_dt6  Auto=99.813     (36.2s)
[36/337] M6             Auto=10.927     (9.6s)
[37/337] ML_Laplace     Auto=38.987     (14.9s)
[38/337] NLR            Auto=13.019     (10.6s)
[39/337] Reuters911     Auto=5.518      (5.2s)
[40/337] Serena         Auto=64.467     (31.8s)
[41/337] Si10H16        Auto=3.501      (5.2s)
[42/337] Si34H36        Auto=22.303     (6.5s)
[43/337] Si41Ge41H72    Auto=89.146     (9.3s)
[44/337] Si87H76        Auto=30.025     (8.1s)
[45/337] SiO            Auto=4.541      (5.5s)
[46/337] SiO2           Auto=245.487    (9.2s)
[47/337] Stanford_Berkeley Auto=331.8      (8.8s)
[48/337] StocF-1465     Auto=17.527     (10.5s)
[49/337] TSC_OPF_1047   Auto=5.823      (5.7s)
[50/337] TSC_OPF_300    Auto=5.642      (5.4s)
[51/337] TSOPF_FS_b300  Auto=73.198     (7.1s)
[52/337] TSOPF_FS_b300_c2 Auto=276.275    (24.0s)
