待重跑 43 阵 → compare/ocean337/methods_cmp_v9_oceansym.csv
[1/43] 333SP                    Ocean=6.154  (7.8s)
[2/43] 3Dspectralwave           Ocean=56.117  (19.6s)
[3/43] 3Dspectralwave2          Ocean=22.501  (8.7s)
[4/43] 3dtube                   Ocean=3.768  (1.7s)
[5/43] AS365                    Ocean=7.316  (8.3s)
[6/43] BenElechi1               Ocean=6.997  (6.6s)
[7/43] Bump_2911                Ocean=77.745  (58.2s)
[8/43] CO                       Ocean=15.324  (5.3s)
[9/43] Chevron4                 Ocean=2.708  (4.8s)
[10/43] CoupCons3D               Ocean=14.552  (15.6s)
[11/43] Cube_Coup_dt0            Ocean=87.763  (58.6s)
[12/43] CurlCurl_2               Ocean=3.843  (5.2s)
[13/43] CurlCurl_3               Ocean=5.787  (7.2s)
[14/43] CurlCurl_4               Ocean=11.248  (13.4s)
[15/43] Dubcova3                 Ocean=2.187  (2.5s)
[16/43] Emilia_923               Ocean=25.208  (18.2s)
[17/43] F1                       Ocean=36.747  (14.5s)
[18/43] F2                       Ocean=7.455  (3.3s)
[19/43] FEM_3D_thermal2          Ocean=1.83  (3.2s)
[20/43] Fault_639                Ocean=17.66  (13.2s)
[21/43] Flan_1565                Ocean=108.363  (54.6s)
[22/43] Freescale1               Ocean=5.041  (14.2s)
[23/43] Ga10As10H30              Ocean=14.656  (4.1s)
[24/43] Ga19As19H42              Ocean=23.299  (5.8s)
[25/43] Ga3As3H12                Ocean=37.149  (4.4s)
[26/43] Ga41As41H72              Ocean=52.14  (11.5s)
[27/43] GaAsH6                   Ocean=16.468  (2.7s)
[28/43] Ge87H76                  Ocean=18.509  (5.1s)
[29/43] Ge99H100                 Ocean=20.264  (5.5s)
[30/43] Geo_1438                 Ocean=37.909  (29.1s)
[31/43] H2O                      Ocean=4.226  (1.9s)
[32/43] HTC_336_4438             Ocean=15.572  (1.7s)
[33/43] HTC_336_9129             Ocean=14.3  (1.6s)
[34/43] Hook_1498                Ocean=41.1  (28.6s)
[35/43] Long_Coup_dt6            Ocean=65.035  (39.8s)
[36/43] M6                       Ocean=6.742  (7.6s)
[37/43] ML_Laplace               Ocean=19.115  (19.4s)
[38/43] NLR                      Ocean=8.146  (8.8s)
[39/43] Reuters911               Ocean=3.131  (0.8s)
[40/43] Serena                   Ocean=46.451  (29.6s)
[41/43] Si10H16                  Ocean=2.192  (1.1s)
[42/43] Si34H36                  Ocean=11.244  (3.5s)
[43/43] Si41Ge41H72              Ocean=44.985  (9.3s)
done
