matrix,n,sym,density_pct,Auto,Auto_choice,cuSPARSE,dense,opSparse,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.139,merge3,0.356,2.287,0.757,0.309,11142
494_bus,494,Y,0.4426,0.12,merge3,0.288,0.409,0.705,0.299,4062
662_bus,662,Y,0.3578,0.13,merge3,0.309,0.698,0.592,0.296,6480
685_bus,685,Y,0.4192,0.121,merge3,0.281,0.791,0.584,0.314,9337
arc130,130,N,7.5858,0.152,merge3,0.288,0.219,1.002,0.449,15631
ash292,292,Y,1.466,0.124,merge3,0.279,0.235,0.705,0.297,6042
ash85,85,Y,4.2076,0.113,merge3,0.265,0.223,0.488,0.227,1317
bcspwr01,39,Y,5.5884,0.107,merge3,0.268,0.272,0.705,0.297,275
bcspwr02,49,Y,4.4981,0.106,merge3,0.293,0.203,0.555,0.278,403
bcspwr03,118,Y,2.133,0.113,merge3,0.276,0.208,0.466,0.281,1270
bcspwr04,274,Y,1.2561,0.15,merge3,0.286,0.269,0.614,0.301,4982
bcspwr05,443,Y,0.5264,0.115,merge3,0.294,0.427,0.7,0.303,4249
bcspwr06,1454,Y,0.1597,0.15,merge3,0.273,4.334,0.431,0.311,14110
bcspwr07,1612,Y,0.1431,0.149,merge3,0.32,5.714,0.486,0.249,15684
bcspwr08,1624,Y,0.1455,0.152,merge3,0.286,5.542,1.109,0.304,16916
bcspwr09,1723,Y,0.1387,0.165,merge3,0.272,7.109,0.706,0.325,18485
bcspwr10,5300,Y,0.0483,0.205,merge3,0.351,179.571,0.594,0.737,60498
bcsstk01,48,Y,9.7222,0.113,merge3,0.272,0.228,0.834,0.331,1292
bcsstk02,66,Y,50.7576,0.134,merge3,0.329,0.205,0.718,0.666,4356
bcsstk03,112,Y,2.9974,0.122,merge3,0.274,0.207,0.56,0.229,1072
bcsstk04,132,Y,10.8471,0.141,merge3,0.363,0.24,0.532,0.384,11968
bcsstk05,153,Y,5.5022,0.15,merge3,0.319,0.245,0.482,0.32,7245
bcsstk06,420,Y,2.3469,0.15,merge3,0.385,0.381,0.647,0.395,23660
bcsstk07,420,Y,2.3469,0.149,merge3,0.394,0.385,0.858,0.335,23660
bcsstk08,1074,Y,0.6083,1.05,hash,0.585,2.282,0.62,0.824,305612
bcsstk09,1083,Y,0.8321,0.17,merge3,0.463,2.303,0.491,0.322,71289
bcsstk10,1086,Y,0.9817,0.19,merge3,0.408,2.215,0.766,0.362,54504
bcsstk11,1473,Y,0.823,0.196,merge3,0.561,4.835,0.789,0.43,94187
bcsstk12,1473,Y,0.823,0.2,merge3,0.554,4.807,0.795,0.538,94187
bcsstk13,2003,Y,1.0704,1.065,hash,0.774,10.895,0.907,0.743,396773
bcsstk14,1806,Y,1.0004,0.33,merge3,0.697,7.792,0.923,0.446,195654
bcsstk15,3948,Y,0.3906,0.595,hash,1.019,76.69,1.026,0.575,527688
bcsstk16,4884,Y,0.6189,0.811,hash,1.666,138.788,1.17,1.425,1038782
bcsstk17,10974,Y,0.1825,0.941,hash,2.162,1564.48,1.497,1.703,1406936
bcsstk18,11948,Y,0.0564,0.722,hash,0.958,1970.42,0.907,1.222,713208
bcsstk19,817,Y,0.5745,0.127,merge3,0.373,1.14,0.714,0.319,18305
bcsstk20,485,Y,0.7695,0.124,merge3,0.297,0.429,0.71,0.327,5545
bcsstk21,3600,Y,0.1165,0.187,merge3,0.439,48.499,0.491,0.443,93072
bcsstk22,138,Y,2.1897,0.118,merge3,0.285,0.208,0.703,0.226,1552
bcsstk23,3134,Y,0.2459,0.246,merge3,0.614,39.626,0.835,0.412,220632
bcsstk24,3562,Y,0.6442,0.632,hash,1.068,57.026,0.867,0.972,446474
bcsstk25,15439,Y,0.0561,0.807,hash,1.289,4397.53,1.018,1.543,1168919
bcsstk26,1922,Y,0.4366,0.205,merge3,0.549,9.446,0.609,0.514,92530
bcsstk27,1224,Y,1.914,0.317,merge3,0.707,2.743,0.894,0.659,138106
bcsstk28,4410,Y,0.5744,0.69,hash,1.44,107.458,0.948,1.4,596072
bcsstk29,13992,Y,0.1618,1.119,hash,2.815,2994.74,1.314,1.747,1965686
bcsstk30,28924,Y,0.1239,3.45,hash,8.559,27724.2,3.157,4.755,8946070
bcsstk31,35588,Y,0.048,1.669,hash,5.074,51655.6,1.637,2.714,4713580
bcsstk32,44609,Y,0.0517,2.418,hash,8.11,106714.0,2.233,3.736,6819653
bcsstk33,8738,Y,0.3933,1.308,hash,2.868,813.486,1.669,1.918,2569536
bcsstm01,48,Y,2.0833,0.098,merge3,0.258,0.152,0.716,0.301,48
bcsstm02,66,Y,1.5152,0.105,merge3,0.275,0.156,0.614,0.308,66
bcsstm03,112,Y,0.8929,0.104,merge3,0.31,0.165,0.543,0.266,112
bcsstm04,132,Y,0.7576,0.104,merge3,0.264,0.165,0.897,0.269,132
bcsstm05,153,Y,0.6536,0.108,merge3,0.266,0.185,0.555,0.798,153
bcsstm06,420,Y,0.2381,0.117,merge3,0.317,0.324,0.653,0.277,420
bcsstm07,420,Y,2.1746,0.144,merge3,0.376,0.34,0.708,0.371,22972
bcsstm08,1074,Y,0.0931,0.119,merge3,0.318,1.985,0.532,0.288,1074
bcsstm09,1083,Y,0.0923,0.111,merge3,0.295,2.255,0.776,0.279,1083
bcsstm10,1086,Y,0.9826,0.181,merge3,0.41,2.144,0.607,0.364,54504
bcsstm11,1473,Y,0.0679,0.153,merge3,0.297,4.775,0.708,0.295,1473
bcsstm12,1473,Y,0.487,0.172,merge3,0.409,4.768,0.654,0.341,53615
bcsstm13,2003,Y,0.2984,0.301,merge3,0.537,10.642,0.644,0.562,90811
bcsstm19,817,Y,0.1224,0.116,merge3,0.291,1.096,0.532,0.284,817
bcsstm20,485,Y,0.2062,0.106,merge3,0.279,0.416,0.66,0.283,485
bcsstm21,3600,Y,0.0278,0.132,merge3,0.291,48.51,0.679,0.475,3600
bcsstm22,138,Y,0.7246,0.122,merge3,0.294,0.174,0.715,0.271,138
bcsstm23,3134,Y,0.0319,0.136,merge3,0.325,39.522,0.429,0.475,3134
bcsstm24,3562,Y,0.0281,0.132,merge3,0.295,56.799,0.637,0.48,3562
bcsstm25,15439,Y,0.0065,0.261,merge3,0.332,4395.13,0.659,0.366,15439
bcsstm26,1922,Y,0.052,0.123,merge3,0.304,9.33,0.423,0.31,1922
bcsstm27,1224,Y,1.914,0.316,merge3,0.829,2.677,0.721,0.643,138106
blckhole,2132,Y,0.187,0.178,merge3,0.377,11.998,0.679,0.469,41546
bp_0,822,N,0.4848,0.813,hash,0.284,1.062,0.671,0.446,9384
bp_1000,822,N,0.6898,0.807,hash,0.319,1.054,0.652,0.497,21373
bp_1200,822,N,0.6994,0.729,hash,0.304,1.059,0.742,0.497,22313
