name,cnnz,analysis,estimation,numeric,epilogue,total,bucket
1138_bus,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
494_bus,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
662_bus,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
685_bus,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
arc130,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
ash292,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
ash85,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr01,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr02,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr03,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr04,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr05,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr06,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr07,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr08,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr09,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcspwr10,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk01,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk02,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk03,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk04,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk05,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk06,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk07,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk08,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk09,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk10,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk11,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk12,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk13,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk14,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk15,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk16,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk17,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk18,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk19,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk20,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk21,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk22,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk23,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk24,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk25,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk26,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk27,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk28,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk29,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk30,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk31,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk32,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstk33,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm01,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm02,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm03,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm04,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm05,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm06,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm07,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm08,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm09,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm10,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm11,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm12,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm13,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm19,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm20,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm21,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm22,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm23,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm24,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm25,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm26,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bcsstm27,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
blckhole,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_0,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_1000,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_1200,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_1400,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_1600,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_200,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_400,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_600,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
bp_800,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_1054,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_1072,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_144,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_161,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_187,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_229,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_24,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_256,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_268,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_292,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_445,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_61,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
can_62,8946070,109.2,154.4,1780.1,219.5,2293.3,"巨大
(C>100K)"
