name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,workest,compute,copy,sort,reduce,final,numeric,pack,d2h,cu_cnnz,bucket
bcsstk02,Dense,cu,66,4356,0.0630000000001018,,,,,0.0459999999999354,0.1939999999999599,0.0390000000001009,,,,,0.016999999999939,0.086999999999989,4356,"中
(1K-10K)"
bcsstk02,Dense,gust,66,4356,0.0620000000000118,,0.0230000000000245,0.0339999999999918,0.0829999999999699,,,,0.2280000000000654,0.127999999999929,0.15300000000002,,0.0190000000000054,0.0090000000000145,4356,"中
(1K-10K)"
can_24,Dense,cu,24,160,0.0599999999999454,,,,,0.0389999999999872,0.1359999999999672,0.0410000000000536,,,,,0.0130000000000336,0.0209999999999581,336,"小
(C<1K)"
can_24,Dense,gust,24,160,0.0610000000000354,,0.0230000000000245,0.0319999999999254,0.0190000000000054,,,,0.0410000000000536,0.0359999999999445,0.0439999999999827,,0.01400000000001,0.0080000000000381,336,"小
(C<1K)"
bcsstk04,Dense,cu,132,3648,0.0790000000000645,,,,,0.0539999999999736,0.2069999999999936,0.0489999999999781,,,,,0.0149999999999863,0.08400000000006,11968,"大
(10K-100K)"
bcsstk04,Dense,gust,132,3648,0.0769999999999981,,0.0200000000000954,0.0339999999999918,0.0339999999999918,,,,0.2440000000000282,0.1159999999999854,0.1329999999999245,,0.0199999999999818,0.0120000000000572,11968,"大
(10K-100K)"
bcsstk01,Dense,cu,48,400,0.0629999999999881,,,,,0.0419999999999163,0.13900000000001,0.0430000000000063,,,,,0.01400000000001,0.0220000000000482,1292,"中
(1K-10K)"
bcsstk01,Dense,gust,48,400,0.0610000000000354,,0.0180000000000291,0.0319999999999254,0.0200000000000954,,,,0.1019999999999754,0.0339999999999918,0.0459999999999354,,0.01400000000001,0.0080000000000381,1292,"中
(1K-10K)"
can_61,Dense,cu,61,557,0.0640000000000782,,,,,0.0470000000000254,0.1459999999999581,0.04200000000003,,,,,0.01400000000001,0.0219999999999345,1793,"中
(1K-10K)"
can_61,Dense,gust,61,557,0.0609999999999217,,0.0180000000000291,0.0310000000000627,0.0269999999999299,,,,0.100999999999999,0.0339999999999918,0.0510000000000445,,0.01400000000001,0.0080000000000381,1793,"中
(1K-10K)"
bcsstk05,Dense,cu,153,2423,0.0660000000000309,,,,,0.0489999999999781,0.1469999999999345,0.0450000000000727,,,,,0.0149999999999863,0.0240000000000009,7245,"中
(1K-10K)"
bcsstk05,Dense,gust,153,2423,0.0659999999999172,,0.0180000000000291,0.0320000000000391,0.0249999999999772,,,,0.1190000000000282,0.0339999999999918,0.0519999999999072,,0.0150000000001,0.0099999999999909,7245,"中
(1K-10K)"
bcspwr01,Mildly sparse,cu,39,131,0.0620000000000118,,,,,0.0380000000000109,0.1449999999999818,0.0410000000000536,,,,,0.0129999999999199,0.0220000000000482,275,"小
(C<1K)"
bcspwr01,Mildly sparse,gust,39,131,0.0599999999999454,,0.0170000000000527,0.0319999999999254,0.0170000000000527,,,,0.0399999999999636,0.0320000000000391,0.0439999999999827,,0.0130000000000336,0.0079999999999245,275,"小
(C<1K)"
can_96,Mildly sparse,cu,96,768,0.0950000000000272,,,,,0.0629999999999881,0.1610000000000582,0.0610000000000354,,,,,0.0219999999999345,0.0310000000000627,1920,"中
(1K-10K)"
can_96,Mildly sparse,gust,96,768,0.1019999999999754,,0.0249999999999772,0.0470000000000254,0.0260000000000673,,,,0.1200000000000045,0.0539999999999736,0.0679999999999836,,0.0240000000000009,0.0109999999999672,1920,"中
(1K-10K)"
arc130,Mildly sparse,cu,130,1282,0.0629999999999881,,,,,0.0470000000000254,0.1709999999999354,0.0450000000000727,,,,,0.0139999999998963,0.0260000000000673,15631,"大
(10K-100K)"
arc130,Mildly sparse,gust,130,1282,0.0629999999999881,,0.0200000000000954,0.0319999999999254,0.0380000000000109,,,,0.1190000000000282,0.0380000000000109,0.0499999999999545,,0.0130000000000336,0.0119999999999436,15631,"大
(10K-100K)"
ash85,Mildly sparse,cu,85,523,0.0629999999999881,,,,,0.0470000000000254,0.1560000000000627,0.0419999999999163,,,,,0.01400000000001,0.0220000000000482,1317,"中
(1K-10K)"
