class,name,n,A_nnz,cu,gust,outer,colw,inner,gap,best
Dense,cage3,5.0,19.0,1.38,1.29,1.38,1.36,1.39,0.0,Gustavson
Dense,rgg010,10.0,76.0,1.38,1.27,1.38,1.32,1.34,0.0,Gustavson
Dense,mbeaflw,496.0,49920.0,2.35,3.45,3.65,3.64,4.08,0.0,cuSPARSE
Dense,mesh1e1,48.0,306.0,1.35,1.31,1.38,1.34,1.38,0.0,Gustavson
Dense,tomography,500.0,28726.0,2.66,3.43,3.74,3.79,3.87,0.0,cuSPARSE
Dense,GD01_b,18.0,37.0,1.31,1.23,1.38,1.3,1.42,0.0,Gustavson
Dense,lund_b,147.0,2441.0,1.44,1.4,1.49,1.47,1.51,0.0,Gustavson
Dense,heart1,3557.0,1387773.0,593.15,122.77,442.92,148.4,140.95,0.0,Gustavson
Mildly sparse,polbooks,105.0,882.0,1.35,1.31,1.42,1.36,1.46,0.0,Gustavson
Mildly sparse,impcol_b,59.0,312.0,1.35,1.24,1.34,1.31,1.36,0.0,Gustavson
Mildly sparse,can_73,73.0,377.0,1.34,1.24,1.34,1.32,1.34,0.0,Gustavson
Mildly sparse,cavity04,317.0,7327.0,1.62,1.86,1.96,2.01,1.97,0.0,cuSPARSE
Mildly sparse,tumorAntiAngiogenesis_5,460.0,4690.0,1.96,2.29,2.61,2.52,2.66,0.0,cuSPARSE
Mildly sparse,raefsky6,3402.0,137845.0,3.23,3.87,3.99,3.98,4.16,0.0,cuSPARSE
Mildly sparse,nemeth20,9506.0,971870.0,13.84,25.64,25.92,26.77,27.76,0.0,cuSPARSE
Mildly sparse,coater1,1348.0,19457.0,2.51,2.8,3.13,2.94,3.03,0.0,cuSPARSE
Highly sparse,nemeth19,9506.0,818302.0,11.18,19.37,19.47,19.61,20.2,0.0,cuSPARSE
Highly sparse,ex10hs,2548.0,57308.0,2.3,2.8,2.87,2.87,2.85,0.0,cuSPARSE
Highly sparse,ex9,3363.0,99471.0,3.14,3.69,3.83,3.77,3.83,0.0,cuSPARSE
Highly sparse,filter2D,1668.0,10750.0,1.72,1.43,1.59,1.79,1.79,0.0,Gustavson
Highly sparse,sherman5,3312.0,20793.0,1.3,1.6,1.8,1.76,1.7,0.0,cuSPARSE
Highly sparse,GD96_a,1096.0,1677.0,1.44,1.32,1.41,1.4,1.44,0.0,Gustavson
Highly sparse,Zewail,6752.0,54233.0,2.78,3.13,3.31,3.38,3.56,0.0,cuSPARSE
Highly sparse,vsp_bcsstk30_500sep_10in_1Kout,58348.0,4033156.0,92.17,153.58,140.95,130.44,139.6,0.0,cuSPARSE
Extremely sparse,hangGlider_3,10260.0,92703.0,389.59,468.16,511.01,467.35,529.32,0.0,cuSPARSE
Extremely sparse,eurqsa,7245.0,46142.0,2.29,2.67,2.76,2.76,2.76,0.0,cuSPARSE
Extremely sparse,email-Enron,36692.0,367662.0,125.34,137.15,144.92,133.67,166.51,0.0,cuSPARSE
Extremely sparse,c-63,44234.0,434704.0,57.56,66.4,92.43,72.69,107.79,0.0,cuSPARSE
Extremely sparse,poli_large,15575.0,33074.0,1.69,1.86,2.08,2.06,2.29,0.0,cuSPARSE
Extremely sparse,CurlCurl_1,226451.0,2472071.0,48.06,52.23,52.25,53.18,64.75,0.0,cuSPARSE
Extremely sparse,wi2010,253096.0,1209404.0,21.58,24.58,25.23,24.23,25.23,0.0,cuSPARSE
Extremely sparse,Raj1,263743.0,1302464.0,,,,,,,–
