id,name,group,n,nnz,density_pct,sparsity_pct,class,in_local_data,url_mm
24,bcsstk02,HB,66,4356,100.0,0.0,Dense,False,https://sparse.tamu.edu/MM/HB/bcsstk02.tar.gz
1524,Stranke94,Pajek,10,90,90.0,9.999999999999998,Dense,False,https://sparse.tamu.edu/MM/Pajek/Stranke94.tar.gz
1506,Journals,Pajek,124,12068,78.48595213319459,21.51404786680541,Dense,False,https://sparse.tamu.edu/MM/Pajek/Journals.tar.gz
238,rgg010,HB,10,76,76.0,24.0,Dense,False,https://sparse.tamu.edu/MM/HB/rgg010.tar.gz
904,cage3,vanHeukelum,5,19,76.0,24.0,Dense,False,https://sparse.tamu.edu/MM/vanHeukelum/cage3.tar.gz
186,jgl011,HB,11,76,62.8099173553719,37.1900826446281,Dense,False,https://sparse.tamu.edu/MM/HB/jgl011.tar.gz
185,jgl009,HB,9,50,61.72839506172839,38.27160493827161,Dense,False,https://sparse.tamu.edu/MM/HB/jgl009.tar.gz
905,cage4,vanHeukelum,9,49,60.49382716049383,39.50617283950617,Dense,False,https://sparse.tamu.edu/MM/vanHeukelum/cage4.tar.gz
2758,mycielskian2,Mycielski,2,2,50.0,50.0,Dense,False,https://sparse.tamu.edu/MM/Mycielski/mycielskian2.tar.gz
2203,Trefethen_20b,JGD_Trefethen,19,147,40.7202216066482,59.2797783933518,Dense,False,https://sparse.tamu.edu/MM/JGD_Trefethen/Trefethen_20b.tar.gz
2759,mycielskian3,Mycielski,5,10,40.0,60.0,Dense,False,https://sparse.tamu.edu/MM/Mycielski/mycielskian3.tar.gz
1528,Tina_DisCog,Pajek,11,48,39.6694214876033,60.33057851239669,Dense,False,https://sparse.tamu.edu/MM/Pajek/Tina_DisCog.tar.gz
2204,Trefethen_20,JGD_Trefethen,20,158,39.5,60.5,Dense,True,https://sparse.tamu.edu/MM/JGD_Trefethen/Trefethen_20.tar.gz
436,ex5,FIDAP,27,279,38.271604938271594,61.728395061728406,Dense,False,https://sparse.tamu.edu/MM/FIDAP/ex5.tar.gz
1527,Tina_DisCal,Pajek,11,41,33.88429752066115,66.11570247933885,Dense,False,https://sparse.tamu.edu/MM/Pajek/Tina_DisCal.tar.gz
2760,mycielskian4,Mycielski,11,40,33.057851239669425,66.94214876033058,Dense,False,https://sparse.tamu.edu/MM/Mycielski/mycielskian4.tar.gz
449,b1_ss,Grund,7,15,30.61224489795918,69.38775510204081,Dense,False,https://sparse.tamu.edu/MM/Grund/b1_ss.tar.gz
1526,Tina_AskCog,Pajek,11,36,29.75206611570248,70.24793388429752,Dense,False,https://sparse.tamu.edu/MM/Pajek/Tina_AskCog.tar.gz
97,can_24,HB,24,160,27.77777777777778,72.22222222222221,Dense,False,https://sparse.tamu.edu/MM/HB/can_24.tar.gz
