id,name,group
1,1138_bus,HB
2,494_bus,HB
3,662_bus,HB
4,685_bus,HB
5,abb313,HB
6,arc130,HB
7,ash219,HB
8,ash292,HB
9,ash331,HB
10,ash608,HB
11,ash85,HB
12,ash958,HB
13,bcspwr01,HB
14,bcspwr02,HB
15,bcspwr03,HB
16,bcspwr04,HB
17,bcspwr05,HB
18,bcspwr06,HB
19,bcspwr07,HB
20,bcspwr08,HB
21,bcspwr09,HB
22,bcspwr10,HB
23,bcsstk01,HB
24,bcsstk02,HB
25,bcsstk03,HB
26,bcsstk04,HB
27,bcsstk05,HB
28,bcsstk06,HB
29,bcsstk07,HB
30,bcsstk08,HB
31,bcsstk09,HB
32,bcsstk10,HB
33,bcsstk11,HB
34,bcsstk12,HB
35,bcsstk13,HB
36,bcsstk14,HB
37,bcsstk15,HB
38,bcsstk16,HB
39,bcsstk17,HB
40,bcsstk18,HB
41,bcsstk19,HB
42,bcsstk20,HB
43,bcsstk21,HB
44,bcsstk22,HB
45,bcsstk23,HB
46,bcsstk24,HB
47,bcsstk25,HB
48,bcsstk26,HB
49,bcsstk27,HB
50,bcsstk28,HB
51,bcsstk29,HB
52,bcsstk30,HB
53,bcsstk31,HB
54,bcsstk32,HB
55,bcsstk33,HB
56,bcsstm01,HB
57,bcsstm02,HB
58,bcsstm03,HB
59,bcsstm04,HB
60,bcsstm05,HB
61,bcsstm06,HB
62,bcsstm07,HB
63,bcsstm08,HB
64,bcsstm09,HB
65,bcsstm10,HB
66,bcsstm11,HB
67,bcsstm12,HB
68,bcsstm13,HB
69,bcsstm19,HB
70,bcsstm20,HB
71,bcsstm21,HB
72,bcsstm22,HB
73,bcsstm23,HB
74,bcsstm24,HB
75,bcsstm25,HB
76,bcsstm26,HB
77,bcsstm27,HB
78,beacxc,HB
79,beaflw,HB
80,beause,HB
81,blckhole,HB
82,bp_0,HB
83,bp_1000,HB
84,bp_1200,HB
85,bp_1400,HB
86,bp_1600,HB
87,bp_200,HB
88,bp_400,HB
89,bp_600,HB
90,bp_800,HB
91,can_1054,HB
92,can_1072,HB
93,can_144,HB
94,can_161,HB
95,can_187,HB
96,can_229,HB
97,can_24,HB
98,can_256,HB
99,can_268,HB
100,can_292,HB
