id,name,group,n
1,1138_bus,HB,1138
2,494_bus,HB,494
3,662_bus,HB,662
4,685_bus,HB,685
6,arc130,HB,130
8,ash292,HB,292
11,ash85,HB,85
13,bcspwr01,HB,39
14,bcspwr02,HB,49
15,bcspwr03,HB,118
16,bcspwr04,HB,274
17,bcspwr05,HB,443
18,bcspwr06,HB,1454
19,bcspwr07,HB,1612
20,bcspwr08,HB,1624
21,bcspwr09,HB,1723
22,bcspwr10,HB,5300
23,bcsstk01,HB,48
24,bcsstk02,HB,66
25,bcsstk03,HB,112
26,bcsstk04,HB,132
27,bcsstk05,HB,153
28,bcsstk06,HB,420
29,bcsstk07,HB,420
30,bcsstk08,HB,1074
31,bcsstk09,HB,1083
32,bcsstk10,HB,1086
33,bcsstk11,HB,1473
34,bcsstk12,HB,1473
35,bcsstk13,HB,2003
36,bcsstk14,HB,1806
37,bcsstk15,HB,3948
38,bcsstk16,HB,4884
39,bcsstk17,HB,10974
40,bcsstk18,HB,11948
41,bcsstk19,HB,817
42,bcsstk20,HB,485
43,bcsstk21,HB,3600
44,bcsstk22,HB,138
45,bcsstk23,HB,3134
46,bcsstk24,HB,3562
47,bcsstk25,HB,15439
48,bcsstk26,HB,1922
49,bcsstk27,HB,1224
50,bcsstk28,HB,4410
51,bcsstk29,HB,13992
52,bcsstk30,HB,28924
53,bcsstk31,HB,35588
54,bcsstk32,HB,44609
55,bcsstk33,HB,8738
56,bcsstm01,HB,48
57,bcsstm02,HB,66
58,bcsstm03,HB,112
59,bcsstm04,HB,132
60,bcsstm05,HB,153
61,bcsstm06,HB,420
62,bcsstm07,HB,420
63,bcsstm08,HB,1074
64,bcsstm09,HB,1083
65,bcsstm10,HB,1086
66,bcsstm11,HB,1473
67,bcsstm12,HB,1473
68,bcsstm13,HB,2003
69,bcsstm19,HB,817
70,bcsstm20,HB,485
71,bcsstm21,HB,3600
72,bcsstm22,HB,138
73,bcsstm23,HB,3134
74,bcsstm24,HB,3562
75,bcsstm25,HB,15439
76,bcsstm26,HB,1922
77,bcsstm27,HB,1224
81,blckhole,HB,2132
82,bp_0,HB,822
83,bp_1000,HB,822
84,bp_1200,HB,822
85,bp_1400,HB,822
86,bp_1600,HB,822
87,bp_200,HB,822
88,bp_400,HB,822
89,bp_600,HB,822
90,bp_800,HB,822
91,can_1054,HB,1054
92,can_1072,HB,1072
93,can_144,HB,144
94,can_161,HB,161
95,can_187,HB,187
96,can_229,HB,229
97,can_24,HB,24
98,can_256,HB,256
99,can_268,HB,268
100,can_292,HB,292
101,can_445,HB,445
102,can_61,HB,61
103,can_62,HB,62
104,can_634,HB,634
105,can_715,HB,715
106,can_73,HB,73
107,can_838,HB,838
108,can_96,HB,96
