name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,merge,compact,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcsstk02,Dense,cu,66,4356,0.06399999999996453,,,,,,,0.043000000000006366,0.18200000000001637,0.036999999999920874,,,,,0.014000000000010004,0.08100000000001728
bcsstk02,Dense,gust,66,4356,0.06000000000005912,,0.01999999999998181,0.03499999999996817,0.08100000000001728,,,,,,0.22800000000006548,0.12799999999992906,0.15300000000002,,0.01599999999996271,0.009000000000014552
bcsstk02,Dense,merge,66,4356,0.06100000000003547,,0.019000000000005457,0.03099999999994907,0.4410000000000309,0.8490000000000464,0.12400000000002365,,,,,,0.09600000000000364,,0.01599999999996271,0.009999999999990905
bcsstk02,Dense,mrg2,66,4356,0.06000000000005912,,0.019000000000005457,0.03099999999994907,,0.14600000000007185,0.07299999999997908,,,,,,0.03199999999992542,,0.016000000000076398,0.009000000000014552
can_24,Dense,cu,24,160,0.05899999999996908,,,,,,,0.03999999999996362,0.1449999999999818,0.04000000000007731,,,,,0.014000000000010004,0.02299999999991087
can_24,Dense,gust,24,160,0.05999999999994543,,0.01599999999996271,0.031000000000062755,0.01999999999998181,,,,,,0.04100000000005366,0.033999999999991815,0.04699999999991178,,0.013000000000033651,0.009000000000014552
can_24,Dense,merge,24,160,0.057999999999992724,,0.01599999999996271,0.028999999999996362,0.024999999999977263,0.043000000000006366,0.02100000000007185,,,,,,0.033999999999991815,,0.014999999999986358,0.009999999999990905
can_24,Dense,mrg2,24,160,0.06200000000001182,,0.014999999999986358,0.03099999999994907,,0.029999999999972715,0.020000000000095497,,,,,,0.028999999999996362,,0.012999999999919964,0.008000000000038199
bcsstk04,Dense,cu,132,3648,0.06200000000001182,,,,,,,0.04899999999997817,0.20899999999994634,0.04600000000004911,,,,,0.014000000000010004,0.07499999999993179
bcsstk04,Dense,gust,132,3648,0.057999999999992724,,0.018000000000029104,0.03099999999994907,0.03200000000003911,,,,,,0.21000000000003638,0.08799999999996544,0.09299999999996089,,0.014999999999986358,0.010000000000104592
bcsstk04,Dense,merge,132,3648,0.05700000000001637,,0.017999999999915417,0.028999999999996362,0.16300000000001091,0.6760000000000446,0.06999999999993634,,,,,,0.03700000000003456,,0.014999999999986358,0.014000000000010004
bcsstk04,Dense,mrg2,132,3648,0.06099999999992178,,0.016000000000076398,0.03199999999992542,,0.13999999999998636,0.01999999999998181,,,,,,0.02800000000002001,,0.014000000000010004,0.011000000000080945
bcsstk01,Dense,cu,48,400,0.08199999999999363,,,,,,,0.051000000000044565,0.15200000000004366,0.05199999999990723,,,,,0.018000000000029104,0.026000000000067303
bcsstk01,Dense,gust,48,400,0.07700000000011187,,0.01899999999989177,0.035000000000081855,0.019000000000005457,,,,,,0.10599999999999454,0.03499999999996817,0.051000000000044565,,0.01599999999996271,0.009999999999990905
