name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcsstk02,Dense,cu,66,4356,0.08100000000001728,,,,,0.07699999999999818,0.2279999999999518,0.04600000000004911,,,,,0.018000000000029104,0.09600000000000364
bcsstk02,Dense,gust,66,4356,0.07499999999993179,,0.023000000000024556,0.03899999999998727,0.09300000000007458,,,,0.24500000000000455,0.16099999999994452,0.17700000000002092,,0.020999999999958163,0.011000000000080945
bcsstk02,Dense,outer,66,4356,0.07500000000004547,0.09399999999993724,0.019000000000005457,0.033999999999991815,0.08299999999996999,,,,0.25499999999999545,0.1470000000000482,0.17600000000004457,,0.020999999999958163,0.025999999999953616
bcsstk02,Dense,colw,66,4356,0.07799999999997453,0.09500000000002728,0.021999999999934516,0.035000000000081855,0.09299999999996089,,,,0.25,0.14800000000002456,0.16999999999995907,,0.020999999999958163,0.012000000000057298
bcsstk02,Dense,inner,66,4356,0.07399999999995543,0.09200000000009823,0.020999999999958163,0.033999999999991815,0.08900000000005548,,,,0.2539999999999054,0.14600000000007185,0.16800000000000637,0.08600000000001273,0.01999999999998181,0.011999999999943611
can_24,Dense,cu,24,160,0.08100000000001728,,,,,0.06799999999998363,0.1570000000000391,0.05299999999999727,,,,,0.027000000000043656,0.025999999999953616
can_24,Dense,gust,24,160,0.07799999999997453,,0.019000000000005457,0.03899999999998727,0.01999999999998181,,,,0.04500000000007276,0.038000000000010914,0.05099999999993088,,0.01599999999996271,0.009000000000014552
can_24,Dense,outer,24,160,0.07200000000000273,0.06200000000001182,0.018000000000029104,0.033999999999991815,0.019000000000005457,,,,0.04899999999997817,0.033999999999991815,0.06100000000003547,,0.016999999999939064,0.009000000000014552
can_24,Dense,colw,24,160,0.08000000000004093,0.06600000000003092,0.01999999999998181,0.03499999999996817,0.018000000000029104,,,,0.043000000000006366,0.03499999999996817,0.049999999999954525,,0.01700000000005275,0.009000000000014552
can_24,Dense,inner,24,160,0.07100000000002638,0.06099999999992178,0.018000000000029104,0.033999999999991815,0.018000000000029104,,,,0.04200000000003001,0.03300000000001546,0.04800000000000182,0.02400000000000091,0.016999999999939064,0.008000000000038199
