class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,merge3_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,merge3_time,man_write,cu_compute_t,man_compute_t,merge_compute_t,merge2_compute_t,merge3_compute_t,phases,cublas_ms,ocean_ms
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,4356,0.0,,0.08399999999994634,0.25300000000004275,0.06200000000001182,0.1309999999999718,0.3990000000000009,0.759,,,,,1.343,2.21,0.737,0.413,,0.42399999999997817,1.024000000000001,1.9740000000000464,0.48900000000003274,0.17200000000002547,"{('cu', 'start'): 842.322, ('cu', 'h2dmalloc'): 842.416, ('cu', 'h2d'): 842.437, ('cu', 'workest'): 842.521, ('cu', 'compute'): 842.774, ('cu', 'copy'): 842.836, ('cu', 'pack'): 842.861, ('cu', 'd2h'): 842.992, ('gust', 'start'): 843.1, ('gust', 'h2d'): 843.201, ('gust', 'count'): 843.231, ('gust', 'scan'): 843.277, ('gust', 'expand'): 843.417, ('gust', 'sort'): 843.74, ('gust', 'reduce'): 843.962, ('gust', 'final'): 844.196, ('gust', 'pack'): 844.225, ('gust', 'd2h'): 844.236, ('merge', 'start'): 844.459, ('merge', 'h2d'): 844.567, ('merge', 'count'): 844.598, ('merge', 'scan'): 844.645, ('merge', 'expand'): 845.144, ('merge', 'merge'): 846.105, ('merge', 'final'): 846.301, ('merge', 'compact'): 846.502, ('merge', 'pack'): 846.541, ('merge', 'd2h'): 846.553, ('mrg2', 'start'): 846.688, ('mrg2', 'h2d'): 846.804, ('mrg2', 'count'): 846.835, ('mrg2', 'scan'): 846.883, ('mrg2', 'merge'): 847.091, ('mrg2', 'final'): 847.143, ('mrg2', 'compact'): 847.263, ('mrg2', 'pack'): 847.293, ('mrg2', 'd2h'): 847.305, ('mrg3', 'start'): 848.7, ('mrg3', 'h2d'): 848.802, ('mrg3', 'count'): 848.842, ('mrg3', 'scan'): 848.906, ('mrg3', 'merge'): 848.952, ('mrg3', 'pack'): 848.974, ('mrg3', 'd2h'): 848.985}",0.048649962991476,0.845782400574535
Dense,can_24,24,160,27.77777777777778,336,336,336,336,336,0.0,,0.07600000000002183,0.16999999999995907,0.06600000000003092,0.03099999999994907,0.3120000000000118,0.571,,,,,0.526,0.495,0.429,0.378,,0.33600000000001273,0.29300000000000637,0.2699999999999818,0.19899999999995543,0.1370000000000573,"{('cu', 'start'): 695.394, ('cu', 'h2dmalloc'): 695.478, ('cu', 'h2d'): 695.495, ('cu', 'workest'): 695.571, ('cu', 'compute'): 695.741, ('cu', 'copy'): 695.807, ('cu', 'pack'): 695.831, ('cu', 'd2h'): 695.862, ('gust', 'start'): 695.975, ('gust', 'h2d'): 696.077, ('gust', 'count'): 696.103, ('gust', 'scan'): 696.149, ('gust', 'expand'): 696.174, ('gust', 'sort'): 696.226, ('gust', 'reduce'): 696.277, ('gust', 'final'): 696.348, ('gust', 'pack'): 696.37, ('gust', 'd2h'): 696.38, ('merge', 'start'): 696.507, ('merge', 'h2d'): 696.605, ('merge', 'count'): 696.631, ('merge', 'scan'): 696.675, ('merge', 'expand'): 696.707, ('merge', 'merge'): 696.772, ('merge', 'final'): 696.824, ('merge', 'compact'): 696.854, ('merge', 'pack'): 696.875, ('merge', 'd2h'): 696.885, ('mrg2', 'start'): 697.011, ('mrg2', 'h2d'): 697.111, ('mrg2', 'count'): 697.136, ('mrg2', 'scan'): 697.179, ('mrg2', 'merge'): 697.218, ('mrg2', 'final'): 697.259, ('mrg2', 'compact'): 697.288, ('mrg2', 'pack'): 697.31, ('mrg2', 'd2h'): 697.32, ('mrg3', 'start'): 698.35, ('mrg3', 'h2d'): 698.448, ('mrg3', 'count'): 698.476, ('mrg3', 'scan'): 698.536, ('mrg3', 'merge'): 698.564, ('mrg3', 'pack'): 698.585, ('mrg3', 'd2h'): 698.595}",0.0485549680888652,0.2118751995731145
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,11968,0.0,,0.125,3.0879999999999654,0.10599999999999454,0.57000000000005,3.31899999999996,8.044,,,,,9.532,4.057,2.451,0.53,,3.3479999999999563,4.691000000000031,1.8999999999999773,1.9869999999999663,0.20800000000008367,"{('cu', 'start'): 593.251, ('cu', 'h2dmalloc'): 596.252, ('cu', 'h2d'): 596.317, ('cu', 'workest'): 596.442, ('cu', 'compute'): 599.53, ('cu', 'copy'): 599.636, ('cu', 'pack'): 599.665, ('cu', 'd2h'): 600.235, ('gust', 'start'): 601.441, ('gust', 'h2d'): 603.165, ('gust', 'count'): 603.225, ('gust', 'scan'): 603.292, ('gust', 'expand'): 603.338, ('gust', 'sort'): 606.179, ('gust', 'reduce'): 606.477, ('gust', 'final'): 607.802, ('gust', 'pack'): 607.856, ('gust', 'd2h'): 607.872, ('merge', 'start'): 612.289, ('merge', 'h2d'): 614.275, ('merge', 'count'): 614.343, ('merge', 'scan'): 614.414, ('merge', 'expand'): 614.593, ('merge', 'merge'): 615.786, ('merge', 'final'): 615.88, ('merge', 'compact'): 616.13, ('merge', 'pack'): 616.175, ('merge', 'd2h'): 616.191, ('mrg2', 'start'): 616.479, ('mrg2', 'h2d'): 616.739, ('mrg2', 'count'): 618.092, ('mrg2', 'scan'): 618.444, ('mrg2', 'merge'): 618.612, ('mrg2', 'final'): 618.663, ('mrg2', 'compact'): 618.698, ('mrg2', 'pack'): 618.726, ('mrg2', 'd2h'): 618.741, ('mrg3', 'start'): 621.496, ('mrg3', 'h2d'): 621.704, ('mrg3', 'count'): 621.758, ('mrg3', 'scan'): 621.83, ('mrg3', 'merge'): 621.886, ('mrg3', 'pack'): 621.912, ('mrg3', 'd2h'): 621.925}",0.032111071050167,0.5104191984981299
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,1292,0.0,,0.07900000000000773,0.17099999999999227,0.06499999999999773,0.03100000000000591,0.3149999999999977,0.577,,,,,0.612,0.528,0.443,0.371,,0.3380000000000223,0.3660000000000423,0.2829999999999586,0.21300000000002228,0.1500000000000341,"{('cu', 'start'): 503.919, ('cu', 'h2dmalloc'): 504.005, ('cu', 'h2d'): 504.022, ('cu', 'workest'): 504.101, ('cu', 'compute'): 504.272, ('cu', 'copy'): 504.337, ('cu', 'pack'): 504.36, ('cu', 'd2h'): 504.391, ('gust', 'start'): 504.514, ('gust', 'h2d'): 504.626, ('gust', 'count'): 504.651, ('gust', 'scan'): 504.697, ('gust', 'expand'): 504.725, ('gust', 'sort'): 504.845, ('gust', 'reduce'): 504.9, ('gust', 'final'): 504.97, ('gust', 'pack'): 504.992, ('gust', 'd2h'): 505.002, ('merge', 'start'): 505.142, ('merge', 'h2d'): 505.242, ('merge', 'count'): 505.267, ('merge', 'scan'): 505.311, ('merge', 'expand'): 505.349, ('merge', 'merge'): 505.423, ('merge', 'final'): 505.473, ('merge', 'compact'): 505.504, ('merge', 'pack'): 505.525, ('merge', 'd2h'): 505.536, ('mrg2', 'start'): 505.681, ('mrg2', 'h2d'): 505.784, ('mrg2', 'count'): 505.81, ('mrg2', 'scan'): 505.855, ('mrg2', 'merge'): 505.906, ('mrg2', 'final'): 505.946, ('mrg2', 'compact'): 505.975, ('mrg2', 'pack'): 505.997, ('mrg2', 'd2h'): 506.007, ('mrg3', 'start'): 507.072, ('mrg3', 'h2d'): 507.179, ('mrg3', 'count'): 507.211, ('mrg3', 'scan'): 507.275, ('mrg3', 'merge'): 507.307, ('mrg3', 'pack'): 507.329, ('mrg3', 'd2h'): 507.339}",0.0481798779219388,0.3136576025048271
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,1793,0.0,,0.08000000000004093,0.17399999999997817,0.06499999999994088,0.03200000000003911,0.31899999999996,0.59,,,,,0.599,0.625,0.459,0.377,,0.3429999999999609,0.36799999999993815,0.39400000000000546,0.2300000000000182,0.14699999999993452,"{('cu', 'start'): 686.311, ('cu', 'h2dmalloc'): 686.396, ('cu', 'h2d'): 686.413, ('cu', 'workest'): 686.493, ('cu', 'compute'): 686.667, ('cu', 'copy'): 686.732, ('cu', 'pack'): 686.756, ('cu', 'd2h'): 686.788, ('gust', 'start'): 686.918, ('gust', 'h2d'): 687.018, ('gust', 'count'): 687.043, ('gust', 'scan'): 687.09, ('gust', 'expand'): 687.119, ('gust', 'sort'): 687.24, ('gust', 'reduce'): 687.295, ('gust', 'final'): 687.363, ('gust', 'pack'): 687.386, ('gust', 'd2h'): 687.396, ('merge', 'start'): 687.535, ('merge', 'h2d'): 687.634, ('merge', 'count'): 687.66, ('merge', 'scan'): 687.705, ('merge', 'expand'): 687.755, ('merge', 'merge'): 687.911, ('merge', 'final'): 687.975, ('merge', 'compact'): 688.006, ('merge', 'pack'): 688.028, ('merge', 'd2h'): 688.039, ('mrg2', 'start'): 688.174, ('mrg2', 'h2d'): 688.275, ('mrg2', 'count'): 688.301, ('mrg2', 'scan'): 688.348, ('mrg2', 'merge'): 688.409, ('mrg2', 'final'): 688.452, ('mrg2', 'compact'): 688.482, ('mrg2', 'pack'): 688.505, ('mrg2', 'd2h'): 688.515, ('mrg3', 'start'): 689.577, ('mrg3', 'h2d'): 689.677, ('mrg3', 'count'): 689.708, ('mrg3', 'scan'): 689.769, ('mrg3', 'merge'): 689.803, ('mrg3', 'pack'): 689.824, ('mrg3', 'd2h'): 689.834}",0.0485938508063554,0.3365439999382942
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,7245,0.0,,0.12999999999999545,0.18799999999998818,0.07100000000002638,0.038000000000010914,0.38900000000001,4.177,,,,,5.531,26.205,0.73,0.482,,0.41700000000003,0.4980000000000473,0.49900000000002365,0.3290000000000646,0.1710000000000491,"{('cu', 'start'): 538.404, ('cu', 'h2dmalloc'): 541.7, ('cu', 'h2d'): 541.785, ('cu', 'workest'): 541.915, ('cu', 'compute'): 542.103, ('cu', 'copy'): 542.174, ('cu', 'pack'): 542.202, ('cu', 'd2h'): 542.24, ('gust', 'start'): 542.608, ('gust', 'h2d'): 546.034, ('gust', 'count'): 546.109, ('gust', 'scan'): 546.181, ('gust', 'expand'): 546.219, ('gust', 'sort'): 546.361, ('gust', 'reduce'): 546.427, ('gust', 'final'): 546.504, ('gust', 'pack'): 546.532, ('gust', 'd2h'): 546.545, ('merge', 'start'): 548.165, ('merge', 'h2d'): 548.43, ('merge', 'count'): 548.474, ('merge', 'scan'): 548.534, ('merge', 'expand'): 548.607, ('merge', 'merge'): 548.787, ('merge', 'final'): 548.862, ('merge', 'compact'): 548.9, ('merge', 'pack'): 548.929, ('merge', 'd2h'): 548.942, ('mrg2', 'start'): 574.392, ('mrg2', 'h2d'): 574.616, ('mrg2', 'count'): 574.667, ('mrg2', 'scan'): 574.739, ('mrg2', 'merge'): 574.819, ('mrg2', 'final'): 574.878, ('mrg2', 'compact'): 574.916, ('mrg2', 'pack'): 574.945, ('mrg2', 'd2h'): 574.958, ('mrg3', 'start'): 576.333, ('mrg3', 'h2d'): 576.448, ('mrg3', 'count'): 576.489, ('mrg3', 'scan'): 576.552, ('mrg3', 'merge'): 576.597, ('mrg3', 'pack'): 576.619, ('mrg3', 'd2h'): 576.631}",0.0504700001329183,0.3417184006422758
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,275,0.0,,0.07799999999997453,0.1650000000000773,0.06399999999996453,0.03200000000003911,0.30700000000001637,0.583,,,,,0.512,0.467,0.434,0.374,,0.3289999999999509,0.2799999999999727,0.2279999999999518,0.19700000000000273,0.1449999999999818,"{('cu', 'start'): 600.999, ('cu', 'h2dmalloc'): 601.089, ('cu', 'h2d'): 601.106, ('cu', 'workest'): 601.184, ('cu', 'compute'): 601.349, ('cu', 'copy'): 601.413, ('cu', 'pack'): 601.435, ('cu', 'd2h'): 601.467, ('gust', 'start'): 601.597, ('gust', 'h2d'): 601.695, ('gust', 'count'): 601.719, ('gust', 'scan'): 601.764, ('gust', 'expand'): 601.788, ('gust', 'sort'): 601.838, ('gust', 'reduce'): 601.885, ('gust', 'final'): 601.952, ('gust', 'pack'): 601.975, ('gust', 'd2h'): 601.985, ('merge', 'start'): 602.126, ('merge', 'h2d'): 602.225, ('merge', 'count'): 602.25, ('merge', 'scan'): 602.293, ('merge', 'expand'): 602.319, ('merge', 'merge'): 602.354, ('merge', 'final'): 602.403, ('merge', 'compact'): 602.432, ('merge', 'pack'): 602.453, ('merge', 'd2h'): 602.463, ('mrg2', 'start'): 602.604, ('mrg2', 'h2d'): 602.708, ('mrg2', 'count'): 602.734, ('mrg2', 'scan'): 602.779, ('mrg2', 'merge'): 602.813, ('mrg2', 'final'): 602.853, ('mrg2', 'compact'): 602.883, ('mrg2', 'pack'): 602.905, ('mrg2', 'd2h'): 602.914, ('mrg3', 'start'): 604.0, ('mrg3', 'h2d'): 604.112, ('mrg3', 'count'): 604.144, ('mrg3', 'scan'): 604.207, ('mrg3', 'merge'): 604.235, ('mrg3', 'pack'): 604.257, ('mrg3', 'd2h'): 604.267}",0.048565911129117,0.1975615999195724
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,1920,0.0,,0.08299999999996999,0.16300000000001091,0.05999999999994543,0.029999999999972715,0.30599999999992633,0.552,,,,,0.591,0.488,0.417,0.367,,0.3269999999999982,0.3529999999999518,0.25499999999999545,0.19900000000006912,0.1369999999999436,"{('cu', 'start'): 685.745, ('cu', 'h2dmalloc'): 685.827, ('cu', 'h2d'): 685.844, ('cu', 'workest'): 685.927, ('cu', 'compute'): 686.09, ('cu', 'copy'): 686.15, ('cu', 'pack'): 686.171, ('cu', 'd2h'): 686.201, ('gust', 'start'): 686.322, ('gust', 'h2d'): 686.432, ('gust', 'count'): 686.458, ('gust', 'scan'): 686.505, ('gust', 'expand'): 686.529, ('gust', 'sort'): 686.648, ('gust', 'reduce'): 686.699, ('gust', 'final'): 686.762, ('gust', 'pack'): 686.785, ('gust', 'd2h'): 686.795, ('merge', 'start'): 686.932, ('merge', 'h2d'): 687.034, ('merge', 'count'): 687.06, ('merge', 'scan'): 687.103, ('merge', 'expand'): 687.136, ('merge', 'merge'): 687.192, ('merge', 'final'): 687.24, ('merge', 'compact'): 687.269, ('merge', 'pack'): 687.289, ('merge', 'd2h'): 687.299, ('mrg2', 'start'): 687.434, ('mrg2', 'h2d'): 687.535, ('mrg2', 'count'): 687.561, ('mrg2', 'scan'): 687.603, ('mrg2', 'merge'): 687.646, ('mrg2', 'final'): 687.685, ('mrg2', 'compact'): 687.713, ('mrg2', 'pack'): 687.734, ('mrg2', 'd2h'): 687.743, ('mrg3', 'start'): 688.776, ('mrg3', 'h2d'): 688.878, ('mrg3', 'count'): 688.909, ('mrg3', 'scan'): 688.967, ('mrg3', 'merge'): 688.995, ('mrg3', 'pack'): 689.015, ('mrg3', 'd2h'): 689.024}",0.0494441483169794,0.3440511993598193
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,15631,0.0,,0.08000000000004093,0.19200000000000728,0.06600000000003092,0.03599999999994452,0.3380000000000791,0.603,,,,,0.654,1.844,0.624,0.444,,0.3610000000001037,0.3970000000000482,1.5780000000000882,0.3689999999999145,0.19600000000002638,"{('cu', 'start'): 835.755, ('cu', 'h2dmalloc'): 835.837, ('cu', 'h2d'): 835.858, ('cu', 'workest'): 835.938, ('cu', 'compute'): 836.13, ('cu', 'copy'): 836.196, ('cu', 'pack'): 836.219, ('cu', 'd2h'): 836.255, ('gust', 'start'): 836.459, ('gust', 'h2d'): 836.573, ('gust', 'count'): 836.602, ('gust', 'scan'): 836.649, ('gust', 'expand'): 836.694, ('gust', 'sort'): 836.829, ('gust', 'reduce'): 836.88, ('gust', 'final'): 836.949, ('gust', 'pack'): 836.97, ('gust', 'd2h'): 836.984, ('merge', 'start'): 837.202, ('merge', 'h2d'): 837.31, ('merge', 'count'): 837.338, ('merge', 'scan'): 837.384, ('merge', 'expand'): 837.524, ('merge', 'merge'): 838.773, ('merge', 'final'): 838.835, ('merge', 'compact'): 838.866, ('merge', 'pack'): 838.888, ('merge', 'd2h'): 838.902, ('mrg2', 'start'): 839.146, ('mrg2', 'h2d'): 839.268, ('mrg2', 'count'): 839.295, ('mrg2', 'scan'): 839.338, ('mrg2', 'merge'): 839.541, ('mrg2', 'final'): 839.585, ('mrg2', 'compact'): 839.615, ('mrg2', 'pack'): 839.637, ('mrg2', 'd2h'): 839.651, ('mrg3', 'start'): 841.163, ('mrg3', 'h2d'): 841.262, ('mrg3', 'count'): 841.316, ('mrg3', 'scan'): 841.376, ('mrg3', 'merge'): 841.438, ('mrg3', 'pack'): 841.458, ('mrg3', 'd2h'): 841.472}",0.0415011309087276,0.3729983993107453
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,1317,0.0,,0.07000000000005002,0.16300000000001091,0.056999999999902684,0.02699999999992997,0.2899999999999636,0.5,,,,,0.517,0.407,0.351,0.302,,0.3100000000000591,0.3249999999999318,0.22900000000004184,0.17200000000002547,0.1329999999999245,"{('cu', 'start'): 616.285, ('cu', 'h2dmalloc'): 616.353, ('cu', 'h2d'): 616.366, ('cu', 'workest'): 616.436, ('cu', 'compute'): 616.599, ('cu', 'copy'): 616.656, ('cu', 'pack'): 616.676, ('cu', 'd2h'): 616.703, ('gust', 'start'): 616.801, ('gust', 'h2d'): 616.883, ('gust', 'count'): 616.903, ('gust', 'scan'): 616.942, ('gust', 'expand'): 616.966, ('gust', 'sort'): 617.08, ('gust', 'reduce'): 617.128, ('gust', 'final'): 617.189, ('gust', 'pack'): 617.208, ('gust', 'd2h'): 617.218, ('merge', 'start'): 617.328, ('merge', 'h2d'): 617.409, ('merge', 'count'): 617.429, ('merge', 'scan'): 617.468, ('merge', 'expand'): 617.497, ('merge', 'merge'): 617.551, ('merge', 'final'): 617.592, ('merge', 'compact'): 617.618, ('merge', 'pack'): 617.638, ('merge', 'd2h'): 617.647, ('mrg2', 'start'): 617.746, ('mrg2', 'h2d'): 617.823, ('mrg2', 'count'): 617.842, ('mrg2', 'scan'): 617.88, ('mrg2', 'merge'): 617.918, ('mrg2', 'final'): 617.952, ('mrg2', 'compact'): 617.976, ('mrg2', 'pack'): 617.995, ('mrg2', 'd2h'): 618.005, ('mrg3', 'start'): 618.858, ('mrg3', 'h2d'): 618.936, ('mrg3', 'count'): 618.962, ('mrg3', 'scan'): 619.014, ('mrg3', 'merge'): 619.049, ('mrg3', 'pack'): 619.069, ('mrg3', 'd2h'): 619.078}",0.031420961022377,0.2157311994116753
