class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,outer_cnnz,colw_cnnz,inner_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,man_write,outer_time,colw_time,inner_time,phases
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,4356,0.0,,0.07099999999991269,0.2380000000000564,0.04899999999997817,0.11300000000005639,0.35799999999994725,0.658,,,,,1.086,,1.186,1.474,1.173,"{('cu', 'start'): 525.204, ('cu', 'h2dmalloc'): 525.275, ('cu', 'h2d'): 525.291, ('cu', 'workest'): 525.362, ('cu', 'compute'): 525.6, ('cu', 'copy'): 525.649, ('cu', 'pack'): 525.669, ('cu', 'd2h'): 525.782, ('gust', 'start'): 525.895, ('gust', 'h2d'): 525.975, ('gust', 'count'): 525.999, ('gust', 'scan'): 526.041, ('gust', 'expand'): 526.14, ('gust', 'sort'): 526.409, ('gust', 'reduce'): 526.562, ('gust', 'final'): 526.764, ('gust', 'pack'): 526.785, ('gust', 'd2h'): 526.802, ('outer', 'start'): 526.995, ('outer', 'h2d'): 527.075, ('outer', 'csc'): 527.172, ('outer', 'count'): 527.192, ('outer', 'scan'): 527.229, ('outer', 'expand'): 527.316, ('outer', 'sort'): 527.578, ('outer', 'reduce'): 527.728, ('outer', 'final'): 527.952, ('outer', 'pack'): 527.978, ('outer', 'd2h'): 528.008, ('colw', 'start'): 528.196, ('colw', 'h2d'): 528.28, ('colw', 'csc'): 528.375, ('colw', 'count'): 528.398, ('colw', 'scan'): 528.434, ('colw', 'expand'): 528.531, ('colw', 'sort'): 528.794, ('colw', 'reduce'): 529.26, ('colw', 'final'): 529.463, ('colw', 'pack'): 529.485, ('colw', 'd2h'): 529.503, ('inner', 'start'): 529.685, ('inner', 'h2d'): 529.763, ('inner', 'csc'): 529.858, ('inner', 'count'): 529.889, ('inner', 'scan'): 529.929, ('inner', 'expand'): 530.026, ('inner', 'sort'): 530.289, ('inner', 'reduce'): 530.435, ('inner', 'final'): 530.631, ('inner', 'numeric'): 530.73, ('inner', 'pack'): 530.752, ('inner', 'd2h'): 530.768}"
Dense,can_24,24,160,27.77777777777778,336,336,336,336,336,0.0,,0.06799999999998363,0.15899999999999181,0.053999999999973625,0.02800000000002001,0.28099999999994907,0.51,,,,,0.419,,0.508,0.469,0.48,"{('cu', 'start'): 532.286, ('cu', 'h2dmalloc'): 532.355, ('cu', 'h2d'): 532.368, ('cu', 'workest'): 532.436, ('cu', 'compute'): 532.595, ('cu', 'copy'): 532.649, ('cu', 'pack'): 532.669, ('cu', 'd2h'): 532.697, ('gust', 'start'): 532.812, ('gust', 'h2d'): 532.894, ('gust', 'count'): 532.914, ('gust', 'scan'): 532.953, ('gust', 'expand'): 532.975, ('gust', 'sort'): 533.021, ('gust', 'reduce'): 533.06, ('gust', 'final'): 533.114, ('gust', 'pack'): 533.131, ('gust', 'd2h'): 533.143, ('outer', 'start'): 533.243, ('outer', 'h2d'): 533.319, ('outer', 'csc'): 533.383, ('outer', 'count'): 533.403, ('outer', 'scan'): 533.438, ('outer', 'expand'): 533.457, ('outer', 'sort'): 533.5, ('outer', 'reduce'): 533.537, ('outer', 'final'): 533.594, ('outer', 'pack'): 533.612, ('outer', 'd2h'): 533.624, ('colw', 'start'): 533.765, ('colw', 'h2d'): 533.848, ('colw', 'csc'): 533.914, ('colw', 'count'): 533.932, ('colw', 'scan'): 533.967, ('colw', 'expand'): 533.986, ('colw', 'sort'): 534.028, ('colw', 'reduce'): 534.063, ('colw', 'final'): 534.112, ('colw', 'pack'): 534.129, ('colw', 'd2h'): 534.141, ('inner', 'start'): 534.247, ('inner', 'h2d'): 534.323, ('inner', 'csc'): 534.385, ('inner', 'count'): 534.403, ('inner', 'scan'): 534.437, ('inner', 'expand'): 534.455, ('inner', 'sort'): 534.498, ('inner', 'reduce'): 534.53, ('inner', 'final'): 534.578, ('inner', 'numeric'): 534.603, ('inner', 'pack'): 534.62, ('inner', 'd2h'): 534.632}"
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,11968,0.0,,0.07100000000002638,0.26900000000000546,0.06399999999996453,0.12400000000002365,0.40399999999999636,0.712,,,,,0.835,,0.92,0.898,0.937,"{('cu', 'start'): 525.521, ('cu', 'h2dmalloc'): 525.591, ('cu', 'h2d'): 525.606, ('cu', 'workest'): 525.677, ('cu', 'compute'): 525.946, ('cu', 'copy'): 526.01, ('cu', 'pack'): 526.029, ('cu', 'd2h'): 526.153, ('gust', 'start'): 526.249, ('gust', 'h2d'): 526.329, ('gust', 'count'): 526.352, ('gust', 'scan'): 526.391, ('gust', 'expand'): 526.426, ('gust', 'sort'): 526.687, ('gust', 'reduce'): 526.806, ('gust', 'final'): 526.94, ('gust', 'pack'): 526.96, ('gust', 'd2h'): 526.98, ('outer', 'start'): 527.104, ('outer', 'h2d'): 527.188, ('outer', 'csc'): 527.278, ('outer', 'count'): 527.298, ('outer', 'scan'): 527.334, ('outer', 'expand'): 527.357, ('outer', 'sort'): 527.617, ('outer', 'reduce'): 527.724, ('outer', 'final'): 527.86, ('outer', 'pack'): 527.881, ('outer', 'd2h'): 527.918, ('colw', 'start'): 528.038, ('colw', 'h2d'): 528.117, ('colw', 'csc'): 528.203, ('colw', 'count'): 528.225, ('colw', 'scan'): 528.259, ('colw', 'expand'): 528.293, ('colw', 'sort'): 528.55, ('colw', 'reduce'): 528.65, ('colw', 'final'): 528.788, ('colw', 'pack'): 528.813, ('colw', 'd2h'): 528.834, ('inner', 'start'): 528.95, ('inner', 'h2d'): 529.027, ('inner', 'csc'): 529.111, ('inner', 'count'): 529.132, ('inner', 'scan'): 529.168, ('inner', 'expand'): 529.202, ('inner', 'sort'): 529.459, ('inner', 'reduce'): 529.557, ('inner', 'final'): 529.688, ('inner', 'numeric'): 529.74, ('inner', 'pack'): 529.765, ('inner', 'd2h'): 529.786}"
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,1292,0.0,,0.06899999999995998,0.15999999999996817,0.055000000000063665,0.028999999999996362,0.2839999999999918,0.526,,,,,0.506,,0.61,0.554,0.578,"{('cu', 'start'): 521.969, ('cu', 'h2dmalloc'): 522.041, ('cu', 'h2d'): 522.056, ('cu', 'workest'): 522.125, ('cu', 'compute'): 522.285, ('cu', 'copy'): 522.34, ('cu', 'pack'): 522.359, ('cu', 'd2h'): 522.388, ('gust', 'start'): 522.512, ('gust', 'h2d'): 522.596, ('gust', 'count'): 522.615, ('gust', 'scan'): 522.658, ('gust', 'expand'): 522.681, ('gust', 'sort'): 522.791, ('gust', 'reduce'): 522.832, ('gust', 'final'): 522.889, ('gust', 'pack'): 522.908, ('gust', 'd2h'): 522.922, ('outer', 'start'): 523.033, ('outer', 'h2d'): 523.111, ('outer', 'csc'): 523.178, ('outer', 'count'): 523.198, ('outer', 'scan'): 523.234, ('outer', 'expand'): 523.254, ('outer', 'sort'): 523.361, ('outer', 'reduce'): 523.41, ('outer', 'final'): 523.482, ('outer', 'pack'): 523.501, ('outer', 'd2h'): 523.515, ('colw', 'start'): 523.659, ('colw', 'h2d'): 523.74, ('colw', 'csc'): 523.807, ('colw', 'count'): 523.826, ('colw', 'scan'): 523.862, ('colw', 'expand'): 523.882, ('colw', 'sort'): 523.992, ('colw', 'reduce'): 524.029, ('colw', 'final'): 524.079, ('colw', 'pack'): 524.098, ('colw', 'd2h'): 524.111, ('inner', 'start'): 524.227, ('inner', 'h2d'): 524.303, ('inner', 'csc'): 524.369, ('inner', 'count'): 524.387, ('inner', 'scan'): 524.434, ('inner', 'expand'): 524.455, ('inner', 'sort'): 524.561, ('inner', 'reduce'): 524.597, ('inner', 'final'): 524.648, ('inner', 'numeric'): 524.674, ('inner', 'pack'): 524.692, ('inner', 'd2h'): 524.705}"
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,1793,0.0,,0.08700000000010277,0.17599999999993088,0.057999999999992724,0.029999999999972715,0.3210000000000264,0.552,,,,,0.519,,0.965,0.597,0.599,"{('cu', 'start'): 519.724, ('cu', 'h2dmalloc'): 519.796, ('cu', 'h2d'): 519.81, ('cu', 'workest'): 519.897, ('cu', 'compute'): 520.073, ('cu', 'copy'): 520.131, ('cu', 'pack'): 520.15, ('cu', 'd2h'): 520.18, ('gust', 'start'): 520.294, ('gust', 'h2d'): 520.38, ('gust', 'count'): 520.402, ('gust', 'scan'): 520.444, ('gust', 'expand'): 520.469, ('gust', 'sort'): 520.58, ('gust', 'reduce'): 520.622, ('gust', 'final'): 520.68, ('gust', 'pack'): 520.698, ('gust', 'd2h'): 520.712, ('outer', 'start'): 520.828, ('outer', 'h2d'): 521.248, ('outer', 'csc'): 521.332, ('outer', 'count'): 521.352, ('outer', 'scan'): 521.389, ('outer', 'expand'): 521.409, ('outer', 'sort'): 521.519, ('outer', 'reduce'): 521.568, ('outer', 'final'): 521.621, ('outer', 'pack'): 521.64, ('outer', 'd2h'): 521.655, ('colw', 'start'): 521.81, ('colw', 'h2d'): 521.912, ('colw', 'csc'): 521.99, ('colw', 'count'): 522.01, ('colw', 'scan'): 522.047, ('colw', 'expand'): 522.07, ('colw', 'sort'): 522.179, ('colw', 'reduce'): 522.216, ('colw', 'final'): 522.269, ('colw', 'pack'): 522.286, ('colw', 'd2h'): 522.3, ('inner', 'start'): 522.42, ('inner', 'h2d'): 522.502, ('inner', 'csc'): 522.576, ('inner', 'count'): 522.595, ('inner', 'scan'): 522.631, ('inner', 'expand'): 522.654, ('inner', 'sort'): 522.759, ('inner', 'reduce'): 522.795, ('inner', 'final'): 522.855, ('inner', 'numeric'): 522.883, ('inner', 'pack'): 522.902, ('inner', 'd2h'): 522.916}"
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,7245,0.0,,0.07100000000002638,0.18299999999999272,0.05599999999992633,0.03300000000001546,0.30999999999994543,0.554,,,,,0.546,,0.611,0.596,0.63,"{('cu', 'start'): 527.966, ('cu', 'h2dmalloc'): 528.04, ('cu', 'h2d'): 528.067, ('cu', 'workest'): 528.138, ('cu', 'compute'): 528.321, ('cu', 'copy'): 528.377, ('cu', 'pack'): 528.396, ('cu', 'd2h'): 528.429, ('gust', 'start'): 528.538, ('gust', 'h2d'): 528.624, ('gust', 'count'): 528.645, ('gust', 'scan'): 528.685, ('gust', 'expand'): 528.711, ('gust', 'sort'): 528.851, ('gust', 'reduce'): 528.89, ('gust', 'final'): 528.947, ('gust', 'pack'): 528.965, ('gust', 'd2h'): 528.981, ('outer', 'start'): 529.098, ('outer', 'h2d'): 529.182, ('outer', 'csc'): 529.258, ('outer', 'count'): 529.277, ('outer', 'scan'): 529.313, ('outer', 'expand'): 529.333, ('outer', 'sort'): 529.453, ('outer', 'reduce'): 529.497, ('outer', 'final'): 529.55, ('outer', 'pack'): 529.567, ('outer', 'd2h'): 529.597, ('colw', 'start'): 529.731, ('colw', 'h2d'): 529.819, ('colw', 'csc'): 529.896, ('colw', 'count'): 529.917, ('colw', 'scan'): 529.952, ('colw', 'expand'): 529.977, ('colw', 'sort'): 530.097, ('colw', 'reduce'): 530.133, ('colw', 'final'): 530.185, ('colw', 'pack'): 530.202, ('colw', 'd2h'): 530.219, ('inner', 'start'): 530.34, ('inner', 'h2d'): 530.429, ('inner', 'csc'): 530.503, ('inner', 'count'): 530.524, ('inner', 'scan'): 530.559, ('inner', 'expand'): 530.582, ('inner', 'sort'): 530.7, ('inner', 'reduce'): 530.744, ('inner', 'final'): 530.802, ('inner', 'numeric'): 530.833, ('inner', 'pack'): 530.851, ('inner', 'd2h'): 530.867}"
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,275,0.0,,0.07000000000005002,0.15899999999999181,0.056999999999902684,0.03099999999994907,0.2859999999999445,0.523,,,,,0.434,,0.521,0.488,0.502,"{('cu', 'start'): 522.834, ('cu', 'h2dmalloc'): 522.904, ('cu', 'h2d'): 522.918, ('cu', 'workest'): 522.988, ('cu', 'compute'): 523.147, ('cu', 'copy'): 523.204, ('cu', 'pack'): 523.234, ('cu', 'd2h'): 523.265, ('gust', 'start'): 523.374, ('gust', 'h2d'): 523.458, ('gust', 'count'): 523.478, ('gust', 'scan'): 523.519, ('gust', 'expand'): 523.539, ('gust', 'sort'): 523.585, ('gust', 'reduce'): 523.625, ('gust', 'final'): 523.682, ('gust', 'pack'): 523.7, ('gust', 'd2h'): 523.713, ('outer', 'start'): 523.824, ('outer', 'h2d'): 523.9, ('outer', 'csc'): 523.964, ('outer', 'count'): 523.984, ('outer', 'scan'): 524.02, ('outer', 'expand'): 524.038, ('outer', 'sort'): 524.081, ('outer', 'reduce'): 524.126, ('outer', 'final'): 524.178, ('outer', 'pack'): 524.196, ('outer', 'd2h'): 524.222, ('colw', 'start'): 524.361, ('colw', 'h2d'): 524.443, ('colw', 'csc'): 524.51, ('colw', 'count'): 524.529, ('colw', 'scan'): 524.565, ('colw', 'expand'): 524.583, ('colw', 'sort'): 524.626, ('colw', 'reduce'): 524.661, ('colw', 'final'): 524.713, ('colw', 'pack'): 524.731, ('colw', 'd2h'): 524.744, ('inner', 'start'): 524.863, ('inner', 'h2d'): 524.939, ('inner', 'csc'): 525.001, ('inner', 'count'): 525.019, ('inner', 'scan'): 525.054, ('inner', 'expand'): 525.071, ('inner', 'sort'): 525.114, ('inner', 'reduce'): 525.15, ('inner', 'final'): 525.201, ('inner', 'numeric'): 525.234, ('inner', 'pack'): 525.252, ('inner', 'd2h'): 525.265}"
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,1920,0.0,,0.07300000000009277,0.15699999999992542,0.05299999999999727,0.02800000000002001,0.28300000000001546,0.528,,,,,0.525,,0.612,0.554,0.565,"{('cu', 'start'): 516.741, ('cu', 'h2dmalloc'): 516.836, ('cu', 'h2d'): 516.853, ('cu', 'workest'): 516.926, ('cu', 'compute'): 517.083, ('cu', 'copy'): 517.136, ('cu', 'pack'): 517.155, ('cu', 'd2h'): 517.183, ('gust', 'start'): 517.29, ('gust', 'h2d'): 517.401, ('gust', 'count'): 517.424, ('gust', 'scan'): 517.467, ('gust', 'expand'): 517.487, ('gust', 'sort'): 517.598, ('gust', 'reduce'): 517.636, ('gust', 'final'): 517.688, ('gust', 'pack'): 517.707, ('gust', 'd2h'): 517.72, ('outer', 'start'): 517.831, ('outer', 'h2d'): 517.93, ('outer', 'csc'): 517.997, ('outer', 'count'): 518.017, ('outer', 'scan'): 518.05, ('outer', 'expand'): 518.066, ('outer', 'sort'): 518.172, ('outer', 'reduce'): 518.215, ('outer', 'final'): 518.262, ('outer', 'pack'): 518.28, ('outer', 'd2h'): 518.296, ('colw', 'start'): 518.46, ('colw', 'h2d'): 518.561, ('colw', 'csc'): 518.631, ('colw', 'count'): 518.651, ('colw', 'scan'): 518.683, ('colw', 'expand'): 518.701, ('colw', 'sort'): 518.805, ('colw', 'reduce'): 518.839, ('colw', 'final'): 518.886, ('colw', 'pack'): 518.903, ('colw', 'd2h'): 518.916, ('inner', 'start'): 519.028, ('inner', 'h2d'): 519.128, ('inner', 'csc'): 519.191, ('inner', 'count'): 519.211, ('inner', 'scan'): 519.242, ('inner', 'expand'): 519.26, ('inner', 'sort'): 519.366, ('inner', 'reduce'): 519.401, ('inner', 'final'): 519.446, ('inner', 'numeric'): 519.47, ('inner', 'pack'): 519.487, ('inner', 'd2h'): 519.5}"
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,15631,0.0,,0.07100000000002638,0.18000000000006366,0.053999999999973625,0.038000000000010914,0.30500000000006366,0.528,,,,,0.531,,0.632,0.627,0.666,"{('cu', 'start'): 530.599, ('cu', 'h2dmalloc'): 530.672, ('cu', 'h2d'): 530.689, ('cu', 'workest'): 530.76, ('cu', 'compute'): 530.94, ('cu', 'copy'): 530.994, ('cu', 'pack'): 531.011, ('cu', 'd2h'): 531.049, ('gust', 'start'): 531.142, ('gust', 'h2d'): 531.224, ('gust', 'count'): 531.247, ('gust', 'scan'): 531.286, ('gust', 'expand'): 531.325, ('gust', 'sort'): 531.447, ('gust', 'reduce'): 531.485, ('gust', 'final'): 531.543, ('gust', 'pack'): 531.561, ('gust', 'd2h'): 531.583, ('outer', 'start'): 531.685, ('outer', 'h2d'): 531.765, ('outer', 'csc'): 531.87, ('outer', 'count'): 531.889, ('outer', 'scan'): 531.924, ('outer', 'expand'): 531.955, ('outer', 'sort'): 532.072, ('outer', 'reduce'): 532.114, ('outer', 'final'): 532.168, ('outer', 'pack'): 532.185, ('outer', 'd2h'): 532.22, ('colw', 'start'): 532.329, ('colw', 'h2d'): 532.409, ('colw', 'csc'): 532.513, ('colw', 'count'): 532.535, ('colw', 'scan'): 532.569, ('colw', 'expand'): 532.618, ('colw', 'sort'): 532.736, ('colw', 'reduce'): 532.77, ('colw', 'final'): 532.824, ('colw', 'pack'): 532.842, ('colw', 'd2h'): 532.863, ('inner', 'start'): 532.968, ('inner', 'h2d'): 533.048, ('inner', 'csc'): 533.15, ('inner', 'count'): 533.173, ('inner', 'scan'): 533.206, ('inner', 'expand'): 533.244, ('inner', 'sort'): 533.361, ('inner', 'reduce'): 533.395, ('inner', 'final'): 533.452, ('inner', 'numeric'): 533.501, ('inner', 'pack'): 533.518, ('inner', 'd2h'): 533.539}"
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,1317,0.0,,0.06600000000003092,0.16600000000005366,0.05599999999992633,0.027000000000043656,0.2880000000000109,0.499,,,,,0.468,,0.561,0.522,0.551,"{('cu', 'start'): 533.763, ('cu', 'h2dmalloc'): 533.833, ('cu', 'h2d'): 533.848, ('cu', 'workest'): 533.914, ('cu', 'compute'): 534.08, ('cu', 'copy'): 534.136, ('cu', 'pack'): 534.154, ('cu', 'd2h'): 534.181, ('gust', 'start'): 534.278, ('gust', 'h2d'): 534.358, ('gust', 'count'): 534.376, ('gust', 'scan'): 534.413, ('gust', 'expand'): 534.434, ('gust', 'sort'): 534.542, ('gust', 'reduce'): 534.58, ('gust', 'final'): 534.633, ('gust', 'pack'): 534.65, ('gust', 'd2h'): 534.662, ('outer', 'start'): 534.758, ('outer', 'h2d'): 534.835, ('outer', 'csc'): 534.895, ('outer', 'count'): 534.914, ('outer', 'scan'): 534.956, ('outer', 'expand'): 534.976, ('outer', 'sort'): 535.081, ('outer', 'reduce'): 535.124, ('outer', 'final'): 535.172, ('outer', 'pack'): 535.189, ('outer', 'd2h'): 535.202, ('colw', 'start'): 535.333, ('colw', 'h2d'): 535.414, ('colw', 'csc'): 535.477, ('colw', 'count'): 535.496, ('colw', 'scan'): 535.53, ('colw', 'expand'): 535.548, ('colw', 'sort'): 535.652, ('colw', 'reduce'): 535.686, ('colw', 'final'): 535.735, ('colw', 'pack'): 535.751, ('colw', 'd2h'): 535.764, ('inner', 'start'): 535.867, ('inner', 'h2d'): 535.953, ('inner', 'csc'): 536.016, ('inner', 'count'): 536.034, ('inner', 'scan'): 536.069, ('inner', 'expand'): 536.086, ('inner', 'sort'): 536.19, ('inner', 'reduce'): 536.224, ('inner', 'final'): 536.277, ('inner', 'numeric'): 536.301, ('inner', 'pack'): 536.318, ('inner', 'd2h'): 536.33}"
