class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,outer_cnnz,colw_cnnz,inner_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,man_write,outer_time,colw_time,inner_time,phases
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,4356,0.0,,0.07699999999999818,0.2279999999999518,0.04600000000004911,0.09600000000000364,0.3509999999999991,0.612,,,,,0.98,,1.074,1.064,1.074,"{('cu', 'start'): 630.558, ('cu', 'h2dmalloc'): 630.622, ('cu', 'h2d'): 630.639, ('cu', 'workest'): 630.716, ('cu', 'compute'): 630.944, ('cu', 'copy'): 630.99, ('cu', 'pack'): 631.008, ('cu', 'd2h'): 631.104, ('gust', 'start'): 631.182, ('gust', 'h2d'): 631.257, ('gust', 'count'): 631.28, ('gust', 'scan'): 631.319, ('gust', 'expand'): 631.412, ('gust', 'sort'): 631.657, ('gust', 'reduce'): 631.818, ('gust', 'final'): 631.995, ('gust', 'pack'): 632.016, ('gust', 'd2h'): 632.027, ('outer', 'start'): 632.173, ('outer', 'h2d'): 632.248, ('outer', 'csc'): 632.342, ('outer', 'count'): 632.361, ('outer', 'scan'): 632.395, ('outer', 'expand'): 632.478, ('outer', 'sort'): 632.733, ('outer', 'reduce'): 632.88, ('outer', 'final'): 633.056, ('outer', 'pack'): 633.077, ('outer', 'd2h'): 633.103, ('colw', 'start'): 633.258, ('colw', 'h2d'): 633.336, ('colw', 'csc'): 633.431, ('colw', 'count'): 633.453, ('colw', 'scan'): 633.488, ('colw', 'expand'): 633.581, ('colw', 'sort'): 633.831, ('colw', 'reduce'): 633.979, ('colw', 'final'): 634.149, ('colw', 'pack'): 634.17, ('colw', 'd2h'): 634.182, ('inner', 'start'): 634.332, ('inner', 'h2d'): 634.406, ('inner', 'csc'): 634.498, ('inner', 'count'): 634.519, ('inner', 'scan'): 634.553, ('inner', 'expand'): 634.642, ('inner', 'sort'): 634.896, ('inner', 'reduce'): 635.042, ('inner', 'final'): 635.21, ('inner', 'numeric'): 635.296, ('inner', 'pack'): 635.316, ('inner', 'd2h'): 635.328}"
Dense,can_24,24,160,27.77777777777778,336,336,336,336,336,0.0,,0.06799999999998363,0.1570000000000391,0.05299999999999727,0.025999999999953616,0.27800000000002,0.492,,,,,0.399,,0.496,0.464,0.459,"{('cu', 'start'): 688.078, ('cu', 'h2dmalloc'): 688.147, ('cu', 'h2d'): 688.159, ('cu', 'workest'): 688.227, ('cu', 'compute'): 688.384, ('cu', 'copy'): 688.437, ('cu', 'pack'): 688.464, ('cu', 'd2h'): 688.49, ('gust', 'start'): 688.581, ('gust', 'h2d'): 688.659, ('gust', 'count'): 688.678, ('gust', 'scan'): 688.717, ('gust', 'expand'): 688.737, ('gust', 'sort'): 688.782, ('gust', 'reduce'): 688.82, ('gust', 'final'): 688.871, ('gust', 'pack'): 688.887, ('gust', 'd2h'): 688.896, ('outer', 'start'): 688.991, ('outer', 'h2d'): 689.063, ('outer', 'csc'): 689.125, ('outer', 'count'): 689.143, ('outer', 'scan'): 689.177, ('outer', 'expand'): 689.196, ('outer', 'sort'): 689.245, ('outer', 'reduce'): 689.279, ('outer', 'final'): 689.34, ('outer', 'pack'): 689.357, ('outer', 'd2h'): 689.366, ('colw', 'start'): 689.496, ('colw', 'h2d'): 689.576, ('colw', 'csc'): 689.642, ('colw', 'count'): 689.662, ('colw', 'scan'): 689.697, ('colw', 'expand'): 689.715, ('colw', 'sort'): 689.758, ('colw', 'reduce'): 689.793, ('colw', 'final'): 689.843, ('colw', 'pack'): 689.86, ('colw', 'd2h'): 689.869, ('inner', 'start'): 689.971, ('inner', 'h2d'): 690.042, ('inner', 'csc'): 690.103, ('inner', 'count'): 690.121, ('inner', 'scan'): 690.155, ('inner', 'expand'): 690.173, ('inner', 'sort'): 690.215, ('inner', 'reduce'): 690.248, ('inner', 'final'): 690.296, ('inner', 'numeric'): 690.32, ('inner', 'pack'): 690.337, ('inner', 'd2h'): 690.345}"
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,11968,0.0,,0.07000000000005002,0.25699999999994816,0.057999999999992724,0.11599999999998545,0.3849999999999909,0.687,,,,,0.824,,0.907,0.897,0.92,"{('cu', 'start'): 669.58, ('cu', 'h2dmalloc'): 669.648, ('cu', 'h2d'): 669.664, ('cu', 'workest'): 669.734, ('cu', 'compute'): 669.991, ('cu', 'copy'): 670.049, ('cu', 'pack'): 670.069, ('cu', 'd2h'): 670.185, ('gust', 'start'): 670.283, ('gust', 'h2d'): 670.364, ('gust', 'count'): 670.386, ('gust', 'scan'): 670.426, ('gust', 'expand'): 670.461, ('gust', 'sort'): 670.737, ('gust', 'reduce'): 670.84, ('gust', 'final'): 670.975, ('gust', 'pack'): 670.995, ('gust', 'd2h'): 671.011, ('outer', 'start'): 671.119, ('outer', 'h2d'): 671.195, ('outer', 'csc'): 671.283, ('outer', 'count'): 671.303, ('outer', 'scan'): 671.339, ('outer', 'expand'): 671.362, ('outer', 'sort'): 671.621, ('outer', 'reduce'): 671.731, ('outer', 'final'): 671.866, ('outer', 'pack'): 671.887, ('outer', 'd2h'): 671.918, ('colw', 'start'): 672.039, ('colw', 'h2d'): 672.118, ('colw', 'csc'): 672.204, ('colw', 'count'): 672.225, ('colw', 'scan'): 672.26, ('colw', 'expand'): 672.292, ('colw', 'sort'): 672.562, ('colw', 'reduce'): 672.663, ('colw', 'final'): 672.794, ('colw', 'pack'): 672.815, ('colw', 'd2h'): 672.832, ('inner', 'start'): 672.948, ('inner', 'h2d'): 673.024, ('inner', 'csc'): 673.108, ('inner', 'count'): 673.129, ('inner', 'scan'): 673.164, ('inner', 'expand'): 673.196, ('inner', 'sort'): 673.451, ('inner', 'reduce'): 673.562, ('inner', 'final'): 673.693, ('inner', 'numeric'): 673.736, ('inner', 'pack'): 673.755, ('inner', 'd2h'): 673.772}"
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,1292,0.0,,0.07100000000002638,0.1570000000000391,0.05499999999994998,0.024999999999977263,0.28300000000001546,0.503,,,,,0.515,,0.582,0.555,0.559,"{('cu', 'start'): 668.202, ('cu', 'h2dmalloc'): 668.276, ('cu', 'h2d'): 668.29, ('cu', 'workest'): 668.361, ('cu', 'compute'): 668.518, ('cu', 'copy'): 668.573, ('cu', 'pack'): 668.591, ('cu', 'd2h'): 668.616, ('gust', 'start'): 668.721, ('gust', 'h2d'): 668.803, ('gust', 'count'): 668.822, ('gust', 'scan'): 668.863, ('gust', 'expand'): 668.885, ('gust', 'sort'): 668.997, ('gust', 'reduce'): 669.049, ('gust', 'final'): 669.106, ('gust', 'pack'): 669.124, ('gust', 'd2h'): 669.134, ('outer', 'start'): 669.247, ('outer', 'h2d'): 669.327, ('outer', 'csc'): 669.393, ('outer', 'count'): 669.412, ('outer', 'scan'): 669.448, ('outer', 'expand'): 669.468, ('outer', 'sort'): 669.583, ('outer', 'reduce'): 669.621, ('outer', 'final'): 669.676, ('outer', 'pack'): 669.694, ('outer', 'd2h'): 669.704, ('colw', 'start'): 669.84, ('colw', 'h2d'): 669.92, ('colw', 'csc'): 669.985, ('colw', 'count'): 670.003, ('colw', 'scan'): 670.043, ('colw', 'expand'): 670.065, ('colw', 'sort'): 670.173, ('colw', 'reduce'): 670.211, ('colw', 'final'): 670.261, ('colw', 'pack'): 670.279, ('colw', 'd2h'): 670.289, ('inner', 'start'): 670.406, ('inner', 'h2d'): 670.484, ('inner', 'csc'): 670.548, ('inner', 'count'): 670.566, ('inner', 'scan'): 670.6, ('inner', 'expand'): 670.62, ('inner', 'sort'): 670.728, ('inner', 'reduce'): 670.764, ('inner', 'final'): 670.813, ('inner', 'numeric'): 670.838, ('inner', 'pack'): 670.856, ('inner', 'd2h'): 670.866}"
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,1793,0.0,,0.06799999999998363,0.15800000000001546,0.06100000000003547,0.02400000000000091,0.28700000000003456,0.495,,,,,0.477,,0.575,0.53,0.573,"{('cu', 'start'): 667.859, ('cu', 'h2dmalloc'): 667.928, ('cu', 'h2d'): 667.942, ('cu', 'workest'): 668.01, ('cu', 'compute'): 668.168, ('cu', 'copy'): 668.229, ('cu', 'pack'): 668.251, ('cu', 'd2h'): 668.275, ('gust', 'start'): 668.365, ('gust', 'h2d'): 668.448, ('gust', 'count'): 668.467, ('gust', 'scan'): 668.506, ('gust', 'expand'): 668.529, ('gust', 'sort'): 668.636, ('gust', 'reduce'): 668.676, ('gust', 'final'): 668.731, ('gust', 'pack'): 668.747, ('gust', 'd2h'): 668.756, ('outer', 'start'): 668.852, ('outer', 'h2d'): 668.93, ('outer', 'csc'): 668.999, ('outer', 'count'): 669.018, ('outer', 'scan'): 669.051, ('outer', 'expand'): 669.07, ('outer', 'sort'): 669.191, ('outer', 'reduce'): 669.228, ('outer', 'final'): 669.283, ('outer', 'pack'): 669.3, ('outer', 'd2h'): 669.31, ('colw', 'start'): 669.436, ('colw', 'h2d'): 669.517, ('colw', 'csc'): 669.586, ('colw', 'count'): 669.606, ('colw', 'scan'): 669.639, ('colw', 'expand'): 669.661, ('colw', 'sort'): 669.763, ('colw', 'reduce'): 669.798, ('colw', 'final'): 669.847, ('colw', 'pack'): 669.864, ('colw', 'd2h'): 669.874, ('inner', 'start'): 669.974, ('inner', 'h2d'): 670.05, ('inner', 'csc'): 670.118, ('inner', 'count'): 670.136, ('inner', 'scan'): 670.168, ('inner', 'expand'): 670.192, ('inner', 'sort'): 670.3, ('inner', 'reduce'): 670.345, ('inner', 'final'): 670.397, ('inner', 'numeric'): 670.423, ('inner', 'pack'): 670.441, ('inner', 'd2h'): 670.45}"
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,7245,0.0,,0.06799999999998363,0.17200000000002547,0.05499999999994998,0.03999999999996362,0.2949999999999591,0.519,,,,,0.508,,0.598,0.569,0.594,"{('cu', 'start'): 668.465, ('cu', 'h2dmalloc'): 668.534, ('cu', 'h2d'): 668.552, ('cu', 'workest'): 668.62, ('cu', 'compute'): 668.792, ('cu', 'copy'): 668.847, ('cu', 'pack'): 668.865, ('cu', 'd2h'): 668.905, ('gust', 'start'): 668.996, ('gust', 'h2d'): 669.083, ('gust', 'count'): 669.105, ('gust', 'scan'): 669.143, ('gust', 'expand'): 669.169, ('gust', 'sort'): 669.293, ('gust', 'reduce'): 669.331, ('gust', 'final'): 669.389, ('gust', 'pack'): 669.406, ('gust', 'd2h'): 669.419, ('outer', 'start'): 669.515, ('outer', 'h2d'): 669.595, ('outer', 'csc'): 669.669, ('outer', 'count'): 669.687, ('outer', 'scan'): 669.72, ('outer', 'expand'): 669.74, ('outer', 'sort'): 669.865, ('outer', 'reduce'): 669.91, ('outer', 'final'): 669.965, ('outer', 'pack'): 669.984, ('outer', 'd2h'): 670.013, ('colw', 'start'): 670.124, ('colw', 'h2d'): 670.209, ('colw', 'csc'): 670.284, ('colw', 'count'): 670.304, ('colw', 'scan'): 670.338, ('colw', 'expand'): 670.363, ('colw', 'sort'): 670.481, ('colw', 'reduce'): 670.518, ('colw', 'final'): 670.569, ('colw', 'pack'): 670.587, ('colw', 'd2h'): 670.6, ('inner', 'start'): 670.701, ('inner', 'h2d'): 670.781, ('inner', 'csc'): 670.853, ('inner', 'count'): 670.874, ('inner', 'scan'): 670.918, ('inner', 'expand'): 670.943, ('inner', 'sort'): 671.061, ('inner', 'reduce'): 671.096, ('inner', 'final'): 671.146, ('inner', 'numeric'): 671.179, ('inner', 'pack'): 671.196, ('inner', 'd2h'): 671.209}"
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,275,0.0,,0.06899999999995998,0.1650000000000773,0.05599999999992633,0.02400000000000091,0.2899999999999636,0.497,,,,,0.404,,0.507,0.455,0.466,"{('cu', 'start'): 670.158, ('cu', 'h2dmalloc'): 670.228, ('cu', 'h2d'): 670.24, ('cu', 'workest'): 670.309, ('cu', 'compute'): 670.474, ('cu', 'copy'): 670.53, ('cu', 'pack'): 670.549, ('cu', 'd2h'): 670.573, ('gust', 'start'): 670.666, ('gust', 'h2d'): 670.746, ('gust', 'count'): 670.765, ('gust', 'scan'): 670.804, ('gust', 'expand'): 670.823, ('gust', 'sort'): 670.868, ('gust', 'reduce'): 670.907, ('gust', 'final'): 670.961, ('gust', 'pack'): 670.977, ('gust', 'd2h'): 670.986, ('outer', 'start'): 671.081, ('outer', 'h2d'): 671.157, ('outer', 'csc'): 671.218, ('outer', 'count'): 671.238, ('outer', 'scan'): 671.271, ('outer', 'expand'): 671.289, ('outer', 'sort'): 671.333, ('outer', 'reduce'): 671.369, ('outer', 'final'): 671.436, ('outer', 'pack'): 671.454, ('outer', 'd2h'): 671.463, ('colw', 'start'): 671.599, ('colw', 'h2d'): 671.677, ('colw', 'csc'): 671.739, ('colw', 'count'): 671.759, ('colw', 'scan'): 671.792, ('colw', 'expand'): 671.81, ('colw', 'sort'): 671.851, ('colw', 'reduce'): 671.886, ('colw', 'final'): 671.936, ('colw', 'pack'): 671.953, ('colw', 'd2h'): 671.962, ('inner', 'start'): 672.063, ('inner', 'h2d'): 672.136, ('inner', 'csc'): 672.195, ('inner', 'count'): 672.213, ('inner', 'scan'): 672.247, ('inner', 'expand'): 672.264, ('inner', 'sort'): 672.305, ('inner', 'reduce'): 672.338, ('inner', 'final'): 672.385, ('inner', 'numeric'): 672.409, ('inner', 'pack'): 672.434, ('inner', 'd2h'): 672.443}"
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,1920,0.0,,0.07299999999997908,0.1750000000000682,0.05700000000001637,0.02400000000000091,0.30500000000006366,0.532,,,,,0.504,,0.567,0.552,0.552,"{('cu', 'start'): 686.878, ('cu', 'h2dmalloc'): 686.954, ('cu', 'h2d'): 686.972, ('cu', 'workest'): 687.045, ('cu', 'compute'): 687.22, ('cu', 'copy'): 687.277, ('cu', 'pack'): 687.295, ('cu', 'd2h'): 687.319, ('gust', 'start'): 687.425, ('gust', 'h2d'): 687.509, ('gust', 'count'): 687.53, ('gust', 'scan'): 687.571, ('gust', 'expand'): 687.592, ('gust', 'sort'): 687.705, ('gust', 'reduce'): 687.745, ('gust', 'final'): 687.8, ('gust', 'pack'): 687.818, ('gust', 'd2h'): 687.828, ('outer', 'start'): 687.94, ('outer', 'h2d'): 688.02, ('outer', 'csc'): 688.085, ('outer', 'count'): 688.104, ('outer', 'scan'): 688.139, ('outer', 'expand'): 688.157, ('outer', 'sort'): 688.266, ('outer', 'reduce'): 688.302, ('outer', 'final'): 688.359, ('outer', 'pack'): 688.377, ('outer', 'd2h'): 688.388, ('colw', 'start'): 688.518, ('colw', 'h2d'): 688.598, ('colw', 'csc'): 688.662, ('colw', 'count'): 688.694, ('colw', 'scan'): 688.73, ('colw', 'expand'): 688.747, ('colw', 'sort'): 688.855, ('colw', 'reduce'): 688.89, ('colw', 'final'): 688.94, ('colw', 'pack'): 688.958, ('colw', 'd2h'): 688.968, ('inner', 'start'): 689.08, ('inner', 'h2d'): 689.159, ('inner', 'csc'): 689.222, ('inner', 'count'): 689.242, ('inner', 'scan'): 689.276, ('inner', 'expand'): 689.293, ('inner', 'sort'): 689.4, ('inner', 'reduce'): 689.435, ('inner', 'final'): 689.483, ('inner', 'numeric'): 689.507, ('inner', 'pack'): 689.524, ('inner', 'd2h'): 689.535}"
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,15631,0.0,,0.09100000000000819,0.18700000000001182,0.05499999999994998,0.033999999999991815,0.33299999999997,0.577,,,,,0.557,,0.651,0.655,0.681,"{('cu', 'start'): 689.984, ('cu', 'h2dmalloc'): 690.064, ('cu', 'h2d'): 690.086, ('cu', 'workest'): 690.177, ('cu', 'compute'): 690.364, ('cu', 'copy'): 690.419, ('cu', 'pack'): 690.438, ('cu', 'd2h'): 690.472, ('gust', 'start'): 690.574, ('gust', 'h2d'): 690.661, ('gust', 'count'): 690.686, ('gust', 'scan'): 690.726, ('gust', 'expand'): 690.765, ('gust', 'sort'): 690.889, ('gust', 'reduce'): 690.929, ('gust', 'final'): 690.99, ('gust', 'pack'): 691.006, ('gust', 'd2h'): 691.024, ('outer', 'start'): 691.14, ('outer', 'h2d'): 691.223, ('outer', 'csc'): 691.329, ('outer', 'count'): 691.35, ('outer', 'scan'): 691.384, ('outer', 'expand'): 691.415, ('outer', 'sort'): 691.534, ('outer', 'reduce'): 691.57, ('outer', 'final'): 691.633, ('outer', 'pack'): 691.65, ('outer', 'd2h'): 691.691, ('colw', 'start'): 691.801, ('colw', 'h2d'): 691.881, ('colw', 'csc'): 691.985, ('colw', 'count'): 692.009, ('colw', 'scan'): 692.051, ('colw', 'expand'): 692.096, ('colw', 'sort'): 692.223, ('colw', 'reduce'): 692.26, ('colw', 'final'): 692.315, ('colw', 'pack'): 692.332, ('colw', 'd2h'): 692.35, ('inner', 'start'): 692.466, ('inner', 'h2d'): 692.551, ('inner', 'csc'): 692.655, ('inner', 'count'): 692.679, ('inner', 'scan'): 692.713, ('inner', 'expand'): 692.751, ('inner', 'sort'): 692.87, ('inner', 'reduce'): 692.904, ('inner', 'final'): 692.957, ('inner', 'numeric'): 693.006, ('inner', 'pack'): 693.023, ('inner', 'd2h'): 693.054}"
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,1317,0.0,,0.06800000000009732,0.16800000000000637,0.053999999999973625,0.023999999999887223,0.2900000000000773,0.508,,,,,0.504,,0.581,0.565,0.566,"{('cu', 'start'): 681.843, ('cu', 'h2dmalloc'): 681.915, ('cu', 'h2d'): 681.93, ('cu', 'workest'): 681.998, ('cu', 'compute'): 682.166, ('cu', 'copy'): 682.22, ('cu', 'pack'): 682.238, ('cu', 'd2h'): 682.262, ('gust', 'start'): 682.365, ('gust', 'h2d'): 682.448, ('gust', 'count'): 682.468, ('gust', 'scan'): 682.509, ('gust', 'expand'): 682.531, ('gust', 'sort'): 682.644, ('gust', 'reduce'): 682.684, ('gust', 'final'): 682.741, ('gust', 'pack'): 682.759, ('gust', 'd2h'): 682.769, ('outer', 'start'): 682.88, ('outer', 'h2d'): 682.961, ('outer', 'csc'): 683.026, ('outer', 'count'): 683.045, ('outer', 'scan'): 683.081, ('outer', 'expand'): 683.099, ('outer', 'sort'): 683.213, ('outer', 'reduce'): 683.252, ('outer', 'final'): 683.307, ('outer', 'pack'): 683.325, ('outer', 'd2h'): 683.335, ('colw', 'start'): 683.471, ('colw', 'h2d'): 683.552, ('colw', 'csc'): 683.626, ('colw', 'count'): 683.647, ('colw', 'scan'): 683.681, ('colw', 'expand'): 683.701, ('colw', 'sort'): 683.809, ('colw', 'reduce'): 683.847, ('colw', 'final'): 683.9, ('colw', 'pack'): 683.918, ('colw', 'd2h'): 683.928, ('inner', 'start'): 684.046, ('inner', 'h2d'): 684.125, ('inner', 'csc'): 684.188, ('inner', 'count'): 684.206, ('inner', 'scan'): 684.241, ('inner', 'expand'): 684.26, ('inner', 'sort'): 684.366, ('inner', 'reduce'): 684.402, ('inner', 'final'): 684.453, ('inner', 'numeric'): 684.477, ('inner', 'pack'): 684.494, ('inner', 'd2h'): 684.504}"
