class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,outer_cnnz,colw_cnnz,inner_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,man_write,outer_time,colw_time,inner_time
Dense,cage3,5,19,76.0,25.0,25.0,25.0,25.0,25.0,0.0,6943.0,0.0,0.20000000000004547,0.0,0.0,0.20000000000004547,1.004,,,,,0.933,,1.015,0.974,0.999
Dense,mesh1e1,48,306,13.28125,772.0,772.0,772.0,772.0,772.0,0.0,53191.0,0.10000000000002274,0.0999999999999659,0.10000000000002274,0.0,0.30000000000001137,1.037,,,,,0.934,,0.999,0.973,0.99
Dense,tomography,500,28726,11.4904,208298.0,208298.0,208298.0,208298.0,208298.0,0.0,87983879.0,0.0999999999999659,0.4000000000000341,0.10000000000002274,0.0999999999999659,0.6000000000000227,1.945,,,,,2.709,,2.913,2.963,3.146
Dense,GD01_b,18,37,11.41975308641975,64.0,64.0,64.0,64.0,64.0,0.0,6991.0,0.10000000000002274,0.0999999999999659,0.0,0.0,0.19999999999998863,1.018,,,,,0.967,,1.01,0.978,0.988
Dense,heart1,3557,1387773,10.94917591330995,5273361.0,5273361.0,5273361.0,5273361.0,5273361.0,0.0,14318003359.0,0.8999999999998636,467.60000000000014,0.0,1.7999999999999545,468.5,498.56,,,,,121.312,,535.9,128.29,200.837
Mildly sparse,polbooks,105,882,8.0,4073.0,4073.0,4073.0,4073.0,4073.0,0.0,257767.0,0.0,0.10000000000002274,0.10000000000002274,0.0,0.20000000000004547,1.009,,,,,1.0,,1.074,1.063,1.081
Mildly sparse,can_73,73,377,7.0744980296490905,1377.0,1377.0,1377.0,1377.0,1377.0,0.0,60079.0,0.0,0.19999999999998863,0.0,0.0,0.19999999999998863,1.04,,,,,0.957,,1.041,1.026,1.021
Mildly sparse,cavity04,317,7327,5.89417747216113,27556.0,27556.0,27556.0,27556.0,27556.0,0.0,5420479.0,0.10000000000002274,0.19999999999998863,0.10000000000002274,0.0,0.4000000000000341,1.457,,,,,1.517,,1.616,1.555,1.584
Mildly sparse,raefsky6,3402,137845,1.12645119013921,356032.0,356032.0,356032.0,356032.0,356032.0,0.0,91781375.0,0.10000000000002274,0.5,0.10000000000002274,0.0999999999999659,0.7000000000000455,2.261,,,,,2.848,,2.974,2.989,3.112
Mildly sparse,coater1,1348,19457,1.07076975230916,130920.0,130920.0,130920.0,130920.0,130920.0,0.0,7958991.0,0.10000000000002274,0.19999999999998863,0.0,0.0999999999999659,0.30000000000001137,1.35,,,,,1.548,,1.695,1.688,1.69
Highly sparse,nemeth19,9506,818302,0.90556158868335,1784266.0,1784266.0,1784266.0,1784266.0,1784266.0,0.0,1705066919.0,0.1999999999999318,2.7000000000000455,0.09999999999990905,0.5,2.9999999999998863,10.874,,,,,18.831,,18.857,19.116,19.855
Highly sparse,ex10hs,2548,57308,0.8827066631506999,205230.0,205230.0,205230.0,205230.0,205230.0,0.0,38782311.0,0.0,0.6000000000000227,0.0,0.10000000000002274,0.6000000000000227,2.402,,,,,2.723,,2.332,2.332,2.313
Highly sparse,sherman5,3312,20793,0.18955554680389,78821.0,78821.0,78821.0,78821.0,78821.0,0.0,5742975.0,0.8999999999999773,0.40000000000009095,0.0,0.0,1.3000000000000682,2.315,,,,,2.332,,2.023,3.127,2.564
Highly sparse,GD96_a,1096,1677,0.13960853002291,2137.0,2137.0,2137.0,2137.0,2137.0,0.0,67379.0,0.0,0.19999999999998863,0.0,0.0,0.19999999999998863,1.031,,,,,0.948,,1.042,1.006,1.026
Highly sparse,vsp_bcsstk30_500sep_10in_1Kout,58348,4033156,0.1184658219426,18175907.0,18175907.0,18175907.0,18175907.0,18175907.0,0.0,8146314983.0,0.2999999999999545,17.90000000000009,0.3000000000001819,5.2000000000000455,18.500000000000227,85.625,,,,,138.527,,119.732,126.786,138.188
Extremely sparse,hangGlider_3,10260,92703,0.08806413369355,83182632.0,83182632.0,83182632.0,83182632.0,83182632.0,0.0,2015331711.0,0.20000000000027285,9.099999999999909,1.099999999999909,28.40000000000009,10.400000000000091,304.787,,,,,361.969,,408.313,365.913,402.579
Extremely sparse,email-Enron,36692,367662,0.02730901120626,30492154.0,30492154.0,30492154.0,30492154.0,30492154.0,0.0,1237112791.0,0.20000000000004547,5.7999999999999545,0.3999999999998636,8.599999999999909,6.399999999999864,108.995,,,,,138.148,,125.772,127.909,131.414
Extremely sparse,poli_large,15575,33074,0.0136173282594099,59649.0,59649.0,59649.0,59649.0,59649.0,0.0,2024511.0,0.0,0.30000000000001137,0.10000000000002274,0.0,0.4000000000000341,1.298,,,,,1.476,,1.676,1.613,1.866
Extremely sparse,CurlCurl_1,226451,2472071,0.0048207260711184,12165785.0,12165785.0,12165785.0,12165785.0,12165785.0,0.0,655198007.0,0.20000000000004547,1.099999999999909,0.20000000000004547,4.2999999999999545,1.5,46.649,,,,,49.942,,54.052,51.003,52.195
Extremely sparse,Raj1,263743,1302464,0.0018692554382388,,,,,,,,16.199999999999932,,,,16.199999999999932,,,,,,,,,,
