class,id,name,group,n,nnz,density_pct,sparsity_pct,in_local_data,url_mm
Dense,1479,GD01_b,Pajek,18,37,11.41975308641975,88.58024691358025,False,https://sparse.tamu.edu/MM/Pajek/GD01_b.tar.gz
Dense,872,mesh1e1,Pothen,48,306,13.28125,86.71875,False,https://sparse.tamu.edu/MM/Pothen/mesh1e1.tar.gz
Dense,1328,tomography,MathWorks,500,28726,11.4904,88.5096,False,https://sparse.tamu.edu/MM/MathWorks/tomography.tar.gz
Dense,890,heart1,Norris,3557,1385317,10.94917591330995,89.05082408669004,False,https://sparse.tamu.edu/MM/Norris/heart1.tar.gz
Dense,904,cage3,vanHeukelum,5,19,76.0,24.0,False,https://sparse.tamu.edu/MM/vanHeukelum/cage3.tar.gz
Mildly sparse,106,can_73,HB,73,377,7.0744980296490905,92.92550197035092,False,https://sparse.tamu.edu/MM/HB/can_73.tar.gz
Mildly sparse,383,cavity04,DRIVCAV,317,5923,5.89417747216113,94.10582252783888,False,https://sparse.tamu.edu/MM/DRIVCAV/cavity04.tar.gz
Mildly sparse,819,raefsky6,Simon,3402,130371,1.12645119013921,98.87354880986078,False,https://sparse.tamu.edu/MM/Simon/raefsky6.tar.gz
Mildly sparse,375,coater1,Brethour,1348,19457,1.07076975230916,98.92923024769084,False,https://sparse.tamu.edu/MM/Brethour/coater1.tar.gz
Mildly sparse,2403,polbooks,Newman,105,882,8.0,92.0,False,https://sparse.tamu.edu/MM/Newman/polbooks.tar.gz
Highly sparse,1488,GD96_a,Pajek,1096,1677,0.13960853002291,99.86039146997707,False,https://sparse.tamu.edu/MM/Pajek/GD96_a.tar.gz
Highly sparse,246,sherman5,HB,3312,20793,0.18955554680389,99.81044445319613,False,https://sparse.tamu.edu/MM/HB/sherman5.tar.gz
Highly sparse,783,nemeth19,Nemeth,9506,818302,0.90556158868335,99.09443841131664,False,https://sparse.tamu.edu/MM/Nemeth/nemeth19.tar.gz
Highly sparse,2633,vsp_bcsstk30_500sep_10in_1Kout,DIMACS10,58348,4033156,0.1184658219426,99.8815341780574,False,https://sparse.tamu.edu/MM/DIMACS10/vsp_bcsstk30_500sep_10in_1Kout.tar.gz
Highly sparse,408,ex10hs,FIDAP,2548,57308,0.8827066631506999,99.11729333684929,False,https://sparse.tamu.edu/MM/FIDAP/ex10hs.tar.gz
Extremely sparse,468,poli_large,Grund,15575,33033,0.0136173282594099,99.9863826717406,False,https://sparse.tamu.edu/MM/Grund/poli_large.tar.gz
Extremely sparse,2290,email-Enron,SNAP,36692,367662,0.02730901120626,99.97269098879372,False,https://sparse.tamu.edu/MM/SNAP/email-Enron.tar.gz
Extremely sparse,2570,CurlCurl_1,Bodendiek,226451,2472071,0.0048207260711184,99.99517927392888,False,https://sparse.tamu.edu/MM/Bodendiek/CurlCurl_1.tar.gz
Extremely sparse,1863,Raj1,Rajat,263743,1300261,0.0018692554382388,99.99813074456176,False,https://sparse.tamu.edu/MM/Rajat/Raj1.tar.gz
Extremely sparse,2693,hangGlider_3,VDOL,10260,92703,0.08806413369355,99.91193586630644,False,https://sparse.tamu.edu/MM/VDOL/hangGlider_3.tar.gz
Dense,207,lund_b,HB,147,2441,11.29621916793928,88.70378083206072,False,https://sparse.tamu.edu/MM/HB/lund_b.tar.gz
Dense,210,mbeaflw,HB,496,49920,20.29136316337148,79.70863683662851,False,https://sparse.tamu.edu/MM/HB/mbeaflw.tar.gz
Dense,238,rgg010,HB,10,76,76.0,24.0,False,https://sparse.tamu.edu/MM/HB/rgg010.tar.gz
Mildly sparse,784,nemeth20,Nemeth,9506,971870,1.07550530390209,98.92449469609792,False,https://sparse.tamu.edu/MM/Nemeth/nemeth20.tar.gz
Mildly sparse,2752,tumorAntiAngiogenesis_5,VDOL,460,4690,2.2164461247637,97.7835538752363,False,https://sparse.tamu.edu/MM/VDOL/tumorAntiAngiogenesis_5.tar.gz
Mildly sparse,172,impcol_b,HB,59,271,7.78511921861534,92.21488078138464,False,https://sparse.tamu.edu/MM/HB/impcol_b.tar.gz
Highly sparse,1534,Zewail,Pajek,6752,54233,0.1189593990757099,99.88104060092428,False,https://sparse.tamu.edu/MM/Pajek/Zewail.tar.gz
Highly sparse,1430,filter2D,Oberwolfach,1668,10750,0.38638154224821,99.61361845775178,False,https://sparse.tamu.edu/MM/Oberwolfach/filter2D.tar.gz
Highly sparse,440,ex9,FIDAP,3363,99471,0.87951398476838,99.1204860152316,False,https://sparse.tamu.edu/MM/FIDAP/ex9.tar.gz
Extremely sparse,2629,wi2010,DIMACS10,253096,1209404,0.0018879949906352,99.99811200500936,False,https://sparse.tamu.edu/MM/DIMACS10/wi2010.tar.gz
Extremely sparse,1224,c-63,GHS_indef,44234,434704,0.02221678484718,99.9777832151528,False,https://sparse.tamu.edu/MM/GHS_indef/c-63.tar.gz
Extremely sparse,1891,eurqsa,Marini,7245,46142,0.08790622599246,99.91209377400752,False,https://sparse.tamu.edu/MM/Marini/eurqsa.tar.gz
